20.2.1.7. A 15–64 évesek foglalkoztatási rátájának alakulása;;;;;;;;;;;;
Megnevezés;Foglalkoztatási ráta, 2021 Január–Március, %;Foglalkoztatási ráta, 2021 Április–Június, %;Foglalkoztatási ráta, 2021 Július–Szeptember, %;Foglalkoztatási ráta, 2021 Október–December, %;Foglalkoztatási ráta, 2022 Január–Március, %;Foglalkoztatási ráta, 2022 Április–Június, %;Foglalkoztatási ráta, 2022 Július–Szeptember, %;Foglalkoztatási ráta, 2022 Október–December, %;Változás az elõzõ év azonos idõszakához képest, 2022–2021 Január–Március, százalékpont;Változás az elõzõ év azonos idõszakához képest, 2022–2021 Április–Június, százalékpont;Változás az elõzõ év azonos idõszakához képest, 2022–2021 Július–Szeptember, százalékpont;Változás az elõzõ év azonos idõszakához képest, 2022–2021 Október–December, százalékpont
Foglalkoztatási ráta;71,8;72,8;73,6;74,1;74,0;74,3;74,6;;2,2;1,5;1,0;
Korcsoport, éves;;;;;;;;;;;;
15–19;4,3;4,4;5,9;5,3;5,1;4,8;6,3;;0,9;0,4;0,4;
20–24;48,2;48,7;49,0;49,9;49,0;47,7;50,5;;0,8;-1,0;1,4;
25–29;80,0;80,5;81,9;83,0;83,0;83,8;82,8;;2,9;3,3;0,9;
30–34;83,6;85,5;86,4;87,0;87,5;88,0;88,2;;3,9;2,5;1,8;
35–39;86,0;87,5;88,0;88,4;88,0;88,3;88,9;;2,0;0,8;0,9;
40–44;88,2;89,6;89,8;90,5;89,9;90,2;90,8;;1,7;0,7;1,0;
45–49;87,4;88,8;89,6;90,1;90,1;90,3;90,3;;2,7;1,5;0,7;
50–54;87,0;87,7;87,3;87,4;87,2;88,3;87,5;;0,2;0,6;0,2;
55–59;77,3;78,9;79,7;78,7;79,2;80,5;79,8;;1,9;1,6;0,1;
60–64;46,4;46,5;48,5;50,0;50,3;50,1;51,0;;3,9;3,6;2,5;
Legmagasabb iskolai végzettség;;;;;;;;;;;;
legfeljebb alapfok;37,8;38,9;41,0;39,0;38,3;38,1;40,0;;0,5;-0,8;-1,0;
középfok érettségi nélkül;79,3;80,7;80,9;81,2;81,1;81,4;81,8;;1,7;0,7;1,0;
középfok érettségivel;73,1;74,6;74,9;76,1;76,6;76,7;76,1;;3,5;2,1;1,2;
felsõfok;89,1;89,7;90,0;90,8;90,9;91,8;91,5;;1,7;2,0;1,5;
A lakóhely régiója;;;;;;;;;;;;
Budapest;76,0;78,0;78,6;79,6;79,9;79,5;79,4;;3,9;1,5;0,8;
Pest;74,5;75,5;76,0;76,8;75,9;76,4;76,3;;1,3;0,9;0,3;
Közép-Dunántúl;75,0;75,2;75,8;76,9;77,0;77,0;77,5;;2,1;1,8;1,7;
Nyugat-Dunántúl;74,9;75,8;77,1;77,8;77,0;76,5;77,0;;2,1;0,7;-0,1;
Dél-Dunántúl;66,2;67,4;68,0;68,5;69,0;69,5;70,5;;2,8;2,1;2,5;
Észak-Magyarország;66,2;67,1;68,1;67,7;67,7;68,8;70,1;;1,6;1,6;2,0;
Észak-Alföld;67,1;68,4;69,5;69,2;69,3;70,2;70,8;;2,2;1,9;1,3;
Dél-Alföld;72,1;72,4;72,7;73,0;72,9;73,5;72,9;;0,7;1,1;0,2;
