20.2.1.8. A 15–74 éves munkanélküliek számának alakulása [ezer fõ];;;;;;;;
Megnevezés;Munkanélküliek száma, 2021 Január–Március;Munkanélküliek száma, 2021 Április–Június;Munkanélküliek száma, 2021 Július–Szeptember;Munkanélküliek száma, 2021 Október–December;Munkanélküliek száma, 2022 Január–Március;Munkanélküliek száma, 2022 Április–Június;Munkanélküliek száma, 2022 Július–Szeptember;Munkanélküliek száma, 2022 Október–December
Munkanélküliek száma összesen;214,8;198,0;189,7;180,3;181,1;156,9;178,3;
Legmagasabb iskolai végzettség;;;;;;;;
legfeljebb alapfok;59,8;59,5;57,5;58,2;59,7;54,7;56,3;
középfok érettségi nélkül;56,7;51,3;49,1;44,2;46,2;43,0;45,4;
középfok érettségivel;68,6;61,8;59,6;52,9;51,5;42,6;50,8;
felsõfok;29,7;25,4;23,5;25,0;23,6;16,6;25,8;
A lakóhely régiója;;;;;;;;
Budapest;30,9;27,0;21,5;25,4;19,9;19,1;25,0;
Pest;25,7;19,6;18,0;16,9;15,4;11,2;15,5;
Közép-Dunántúl;12,7;12,9;11,0;8,6;9,4;8,8;10,6;
Nyugat-Dunántúl;11,8;12,2;11,9;9,9;11,4;8,8;14,7;
Dél-Dunántúl;21,0;17,9;18,5;18,3;19,4;18,1;19,1;
Észak-Magyarország;28,4;29,9;35,1;33,2;34,4;29,8;31,6;
Észak-Alföld;50,2;51,7;48,4;47,0;47,4;40,5;40,0;
Dél-Alföld;34,1;26,9;25,3;20,9;23,8;20,7;21,8;
Egy évvel korábbi gazdasági aktivitás (önbesorolás alapján);;;;;;;;
dolgozott;97,4;75,5;61,2;58,4;66,3;54,7;59,1;
munkanélküli volt;73,1;87,3;87,3;90,4;88,6;78,1;81,6;
inaktív volt;44,3;35,2;41,3;31,5;26,2;24,2;37,5;
ebbõl: tanult;20,0;18,1;22,2;15,0;11,6;9,7;15,9;
Az utolsó munka megszûnésének oka;;;;;;;;
elveszítette állását, vállalkozása tönkrement;94,8;81,2;82,0;71,8;71,5;61,2;61,3;
felmondott, vállalkozása megszûnt;23,2;21,7;22,8;25,8;28,2;27,0;30,2;
idõszakos, szezonális munkája befejezõdött;14,2;13,6;7,8;14,0;13,5;8,4;12,2;
közfoglalkoztatása befejezõdött;13,7;18,6;16,8;16,8;15,9;13,5;15,5;
családi kötöttségek miatt;7,1;6,6;5,0;6,3;7,4;5,9;7,4;
egyéb okból;31,0;24,0;18,0;16,7;21,3;20,9;23,0;
soha nem dolgozott;30,7;32,2;37,3;29,0;23,3;20,1;28,6;
Az utolsó munkahely nemzetgazdasági ága;;;;;;;;
mezõgazdaság;6,7;8,3;5,3;8,6;9,3;7,6;6,3;
ipar;65,4;54,2;51,5;47,5;53,9;48,8;51,7;
ebbõl:;;;;;;;;
C – feldolgozóipar;42,7;35,7;37,9;33,7;34,8;32,2;35,9;
F – építõipar;18,4;16,3;12,7;12,2;17,1;13,7;13,7;
szolgáltatások;104,3;94,6;89,4;88,2;84,7;69,1;79,2;
G–N piaci szolgáltatások;69,7;58,0;52,5;48,9;49,2;37,3;40,8;
O–U nem piaci szolgáltatás;34,6;36,6;36,9;39,3;35,4;31,8;38,3;
8 éve vagy régebben dolgozott vagy soha nem dolgozott vagy ismeretlen;38,3;40,9;43,5;36,0;33,2;31,4;41,0;
