20.2.1.9. A 15–74 évesek munkanélküliségi rátájának alakulása;;;;;;;;;;;;
Megnevezés;Munkanélküliségi ráta, 2021 Január–Március, %;Munkanélküliségi ráta, 2021 Április–Június, %;Munkanélküliségi ráta, 2021 Július–Szeptember, %;Munkanélküliségi ráta, 2021 Október–December, %;Munkanélküliségi ráta, 2022 Január–Március, %;Munkanélküliségi ráta, 2022 Április–Június, %;Munkanélküliségi ráta, 2022 Július–Szeptember, %;Munkanélküliségi ráta, 2022 Október–December, %;Változás az elõzõ év azonos idõszakához képest, 2022–2021 Január–Március, százalékpont;Változás az elõzõ év azonos idõszakához képest, 2022–2021 Április–Június, százalékpont;Változás az elõzõ év azonos idõszakához képest, 2022–2021 Július–Szeptember, százalékpont;Változás az elõzõ év azonos idõszakához képest, 2022–2021 Október–December, százalékpont
Munkanélküliségi ráta;4,5;4,1;3,9;3,7;3,7;3,2;3,6;;-0,8;-0,9;-0,3;
Korcsoport, éves;;;;;;;;;;;;
15–24;13,6;13,3;14,5;12,5;10,4;10,0;10,8;;-3,2;-3,4;-3,7;
25–29;5,8;5,5;4,6;4,1;4,5;3,2;5,1;;-1,3;-2,3;0,5;
30–34;5,2;3,9;3,6;3,7;3,7;3,0;2,9;;-1,5;-0,9;-0,8;
35–39;4,4;3,8;3,5;3,2;3,2;3,4;3,5;;-1,2;-0,4;0,0;
40–44;3,4;2,7;2,9;2,9;2,8;2,5;2,6;;-0,6;-0,2;-0,3;
45–49;3,3;2,9;2,3;2,5;2,7;2,2;2,5;;-0,6;-0,7;0,2;
50–54;2,6;3,5;3,1;2,9;3,6;2,7;3,1;;1,0;-0,8;0,0;
55–59;3,0;2,9;3,1;3,5;3,2;2,4;2,6;;0,2;-0,5;-0,5;
60–64;3,2;2,9;2,3;2,1;3,2;3,8;3,9;;0,0;0,9;1,6;
65–74;4,6;2,9;2,3;2,4;1,9;2,7;2,1;;-2,6;-0,2;-0,2;
Legmagasabb iskolai végzettség;;;;;;;;;;;;
legfeljebb alapfok;11,4;11,0;10,4;11,1;11,5;10,8;10,8;;0,0;-0,3;0,5;
középfok érettségi nélkül;4,6;4,2;4,0;3,7;3,9;3,7;3,8;;-0,6;-0,5;-0,2;
középfok érettségivel;4,4;3,9;3,7;3,2;3,1;2,6;3,0;;-1,3;-1,3;-0,7;
felsõfok;2,0;1,7;1,6;1,7;1,6;1,1;1,7;;-0,5;-0,6;0,1;
A lakóhely régiója;;;;;;;;;;;;
Budapest;3,5;3,0;2,4;2,8;2,2;2,1;2,7;;-1,3;-0,9;0,3;
Pest;3,8;2,9;2,6;2,5;2,3;1,6;2,3;;-1,6;-1,3;-0,4;
Közép-Dunántúl;2,4;2,4;2,0;1,6;1,7;1,6;1,9;;-0,6;-0,8;-0,1;
Nyugat-Dunántúl;2,3;2,4;2,3;1,9;2,2;1,7;2,8;;-0,1;-0,7;0,5;
Dél-Dunántúl;5,4;4,5;4,7;4,6;4,9;4,5;4,7;;-0,5;0,0;0,1;
Észak-Magyarország;5,7;5,9;6,8;6,5;6,7;5,8;6,0;;1,0;-0,1;-0,8;
Észak-Alföld;7,3;7,4;6,9;6,7;6,8;5,8;5,7;;-0,5;-1,6;-1,2;
Dél-Alföld;5,6;4,5;4,2;3,5;4,0;3,5;3,7;;-1,6;-1,0;-0,5;
