20.2.1.11. A 15–64 éves népesség gazdasági aktivitása nemenként, negyedévente;;;;;;;;;;
Év;Negyedév;Foglalkoztatottak, ezer fõ;Munkanélküliek, ezer fõ;Gazdaságilag aktívak, ezer fõ;Gazdaságilag nem aktívak, ezer fõ;15–64 éves népesség, ezer fõ;Ebbõl: Potenciális munkaerõ-tartalék, ezer fõ;Aktivitási arány, %;Munkanélküliségi ráta, %;Foglalkoztatási ráta, %
Együtt ;;;;;;;;;;
2009.;I.;3 848,7;403,6;4 252,3;2 508,2;6 760,5;653,4;62,9;9,5;56,9
;II.;3 879,3;400,0;4 279,4;2 476,7;6 756,1;639,6;63,3;9,3;57,4
;III.;3 868,6;430,3;4 298,9;2 452,7;6 751,6;688,2;63,7;10,0;57,3
;IV.;3 859,3;434,4;4 293,7;2 453,4;6 747,1;701,0;63,6;10,1;57,2
2010.;I.;3 791,0;493,8;4 284,7;2 458,0;6 742,7;765,8;63,5;11,5;56,2
;II.;3 840,1;470,5;4 310,6;2 427,7;6 738,2;731,6;64,0;10,9;57,0
;III.;3 876,0;457,7;4 333,7;2 400,1;6 733,8;718,1;64,4;10,6;57,6
;IV.;3 863,9;453,7;4 317,6;2 411,8;6 729,4;725,0;64,2;10,5;57,4
2011.;I.;3 799,9;492,0;4 291,9;2 433,0;6 724,9;789,3;63,8;11,5;56,5
;II.;3 867,3;458,2;4 325,6;2 394,9;6 720,5;744,7;64,4;10,6;57,5
;III.;3 905,3;456,1;4 361,4;2 354,5;6 716,0;751,9;64,9;10,5;58,1
;IV.;3 900,2;454,5;4 354,6;2 358,0;6 712,7;753,1;64,9;10,4;58,1
2012.;I.;3 835,6;505,0;4 340,6;2 368,5;6 709,1;806,8;64,7;11,6;57,2
;II.;3 914,8;470,5;4 385,4;2 313,4;6 698,7;777,2;65,5;10,7;58,4
;III.;3 985,9;452,7;4 438,6;2 250,5;6 689,0;768,8;66,4;10,2;59,6
;IV.;3 960,8;458,7;4 419,5;2 260,2;6 679,7;787,7;66,2;10,4;59,3
