20.2.1.13. A 15–74 éves népesség gazdasági aktivitása korcsoportok szerint, nemenként, negyedévente;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Korcsoport, éves;Foglalkoztatottak, ezer fõ, 2009;Munkanélküliek, ezer fõ, 2009;Gazdaságilag aktívak, ezer fõ, 2009;Gazdaságilag nem aktívak, ezer fõ, 2009;15–74 éves népesség, ezer fõ, 2009;Ebbõl: Potenciális munkaerõ-tartalék, ezer fõ, 2009;Aktivitási arány, %, 2009;Munkanélküliségi ráta, %, 2009;Foglalkoztatási ráta, %, 2009;Foglalkoztatottak, ezer fõ, 2010;Munkanélküliek, ezer fõ, 2010;Gazdaságilag aktívak, ezer fõ, 2010;Gazdaságilag nem aktívak, ezer fõ, 2010;15–74 éves népesség, ezer fõ, 2010;Ebbõl: Potenciális munkaerõ-tartalék, ezer fõ, 2010;Aktivitási arány, %, 2010;Munkanélküliségi ráta, %, 2010;Foglalkoztatási ráta, %, 2010;Foglalkoztatottak, ezer fõ, 2011;Munkanélküliek, ezer fõ, 2011;Gazdaságilag aktívak, ezer fõ, 2011;Gazdaságilag nem aktívak, ezer fõ, 2011;15–74 éves népesség, ezer fõ, 2011;Ebbõl: Potenciális munkaerõ-tartalék, ezer fõ, 2011;Aktivitási arány, %, 2011;Munkanélküliségi ráta, %, 2011;Foglalkoztatási ráta, %, 2011;Foglalkoztatottak, ezer fõ, 2012;Munkanélküliek, ezer fõ, 2012;Gazdaságilag aktívak, ezer fõ, 2012;Gazdaságilag nem aktívak, ezer fõ, 2012;15–74 éves népesség, ezer fõ, 2012;Ebbõl: Potenciális munkaerõ-tartalék, ezer fõ, 2012;Aktivitási arány, %, 2012;Munkanélküliségi ráta, %, 2012;Foglalkoztatási ráta, %, 2012;Foglalkoztatottak, ezer fõ, 2013;Munkanélküliek, ezer fõ, 2013;Gazdaságilag aktívak, ezer fõ, 2013;Gazdaságilag nem aktívak, ezer fõ, 2013;15–74 éves népesség, ezer fõ, 2013;Ebbõl: Potenciális munkaerõ-tartalék, ezer fõ, 2013;Aktivitási arány, %, 2013;Munkanélküliségi ráta, %, 2013;Foglalkoztatási ráta, %, 2013;Foglalkoztatottak, ezer fõ, 2014;Munkanélküliek, ezer fõ, 2014;Gazdaságilag aktívak, ezer fõ, 2014;Gazdaságilag nem aktívak, ezer fõ, 2014;15–74 éves népesség, ezer fõ, 2014;Ebbõl: Potenciális munkaerõ-tartalék, ezer fõ, 2014;Aktivitási arány, %, 2014;Munkanélküliségi ráta, %, 2014;Foglalkoztatási ráta, %, 2014;Foglalkoztatottak, ezer fõ, 2015;Munkanélküliek, ezer fõ, 2015;Gazdaságilag aktívak, ezer fõ, 2015;Gazdaságilag nem aktívak, ezer fõ, 2015;15–74 éves népesség, ezer fõ, 2015;Ebbõl: Potenciális munkaerõ-tartalék, ezer fõ, 2015;Aktivitási arány, %, 2015;Munkanélküliségi ráta, %, 2015;Foglalkoztatási ráta, %, 2015;Foglalkoztatottak, ezer fõ, 2016;Munkanélküliek, ezer fõ, 2016;Gazdaságilag aktívak, ezer fõ, 2016;Gazdaságilag nem aktívak, ezer fõ, 2016;15–74 éves népesség, ezer fõ, 2016;Ebbõl: Potenciális munkaerõ-tartalék, ezer fõ, 2016;Aktivitási arány, %, 2016;Munkanélküliségi ráta, %, 2016;Foglalkoztatási ráta, %, 2016;Foglalkoztatottak, ezer fõ, 2017;Munkanélküliek, ezer fõ, 2017;Gazdaságilag aktívak, ezer fõ, 2017;Gazdaságilag nem aktívak, ezer fõ, 2017;15–74 éves népesség, ezer fõ, 2017;Ebbõl: Potenciális munkaerõ-tartalék, ezer fõ, 2017;Aktivitási arány, %, 2017;Munkanélküliségi ráta, %, 2017;Foglalkoztatási ráta, %, 2017;Foglalkoztatottak, ezer fõ, 2018;Munkanélküliek, ezer fõ, 2018;Gazdaságilag aktívak, ezer fõ, 2018;Gazdaságilag nem aktívak, ezer fõ, 2018;15–74 éves népesség, ezer fõ, 2018;Ebbõl: Potenciális munkaerõ-tartalék, ezer fõ, 2018;Aktivitási arány, %, 2018;Munkanélküliségi ráta, %, 2018;Foglalkoztatási ráta, %, 2018;Foglalkoztatottak, ezer fõ, 2019;Munkanélküliek, ezer fõ, 2019;Gazdaságilag aktívak, ezer fõ, 2019;Gazdaságilag nem aktívak, ezer fõ, 2019;15–74 éves népesség, ezer fõ, 2019;Ebbõl: Potenciális munkaerõ-tartalék, ezer fõ, 2019;Aktivitási arány, %, 2019;Munkanélküliségi ráta, %, 2019;Foglalkoztatási ráta, %, 2019;Foglalkoztatottak, ezer fõ, 2020;Munkanélküliek, ezer fõ, 2020;Gazdaságilag aktívak, ezer fõ, 2020;Gazdaságilag nem aktívak, ezer fõ, 2020;15–74 éves népesség, ezer fõ, 2020;Ebbõl: Potenciális munkaerõ-tartalék, ezer fõ, 2020;Aktivitási arány, %, 2020;Munkanélküliségi ráta, %, 2020;Foglalkoztatási ráta, %, 2020;Foglalkoztatottak, ezer fõ, 2021;Munkanélküliek, ezer fõ, 2021;Gazdaságilag aktívak, ezer fõ, 2021;Gazdaságilag nem aktívak, ezer fõ, 2021;15–74 éves népesség, ezer fõ, 2021;Ebbõl: Potenciális munkaerõ-tartalék, ezer fõ, 2021;Aktivitási arány, %, 2021;Munkanélküliségi ráta, %, 2021;Foglalkoztatási ráta, %, 2021;Foglalkoztatottak, ezer fõ, 2022;Munkanélküliek, ezer fõ, 2022;Gazdaságilag aktívak, ezer fõ, 2022;Gazdaságilag nem aktívak, ezer fõ, 2022;15–74 éves népesség, ezer fõ, 2022;Ebbõl: Potenciális munkaerõ-tartalék, ezer fõ, 2022;Aktivitási arány, %, 2022;Munkanélküliségi ráta, %, 2022;Foglalkoztatási ráta, %, 2022
I. negyedév;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Együtt;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15–19;11,3;12,0;23,3;565,9;589,2;19,0;4,0;51,6;1,9;9,7;9,7;19,4;562,8;582,2;16,0;3,3;49,9;1,7;10,7;7,6;18,2;557,0;575,2;14,0;3,2;41,6;1,9;8,3;8,0;16,4;548,0;564,3;14,9;2,9;49,0;1,5;10,4;11,4;21,8;522,7;544,5;19,6;4,0;52,2;1,9;16,3;11,6;27,9;495,3;523,2;22,1;5,3;41,6;3,1;16,1;10,5;26,7;476,4;503,1;17,3;5,3;39,5;3,2;22,9;8,0;31,0;459,5;490,4;16,5;6,3;25,9;4,7;24,0;8,1;32,1;450,9;482,9;14,6;6,6;25,1;5,0;24,4;7,6;32,0;446,3;478,3;12,4;6,7;23,7;5,1;29,1;10,4;39,5;437,1;476,5;16,2;8,3;26,3;6,1;24,2;8,4;32,7;445,0;477,7;13,7;6,8;25,8;5,1;20,5;9,0;29,5;448,9;478,4;18,7;6,2;30,5;4,3;24,8;7,2;32,0;451,3;483,3;13,0;6,6;22,4;5,1
20–24;211,6;60,0;271,5;353,9;625,5;84,7;43,4;22,1;33,8;210,5;70,9;281,4;336,4;617,8;97,7;45,6;25,2;34,1;204,8;68,6;273,4;336,8;610,2;98,2;44,8;25,1;33,6;196,4;71,3;267,6;342,5;610,1;101,1;43,9;26,6;32,2;206,9;79,2;286,2;326,1;612,3;119,2;46,7;27,7;33,8;246,2;56,5;302,7;307,1;609,8;87,8;49,6;18,7;40,4;253,2;53,2;306,4;296,7;603,1;79,2;50,8;17,4;42,0;274,2;39,9;314,1;276,1;590,2;63,6;53,2;12,7;46,5;282,5;26,2;308,7;262,7;571,4;50,5;54,0;8,5;49,4;270,9;25,4;296,3;256,5;552,9;40,4;53,6;8,6;49,0;263,4;25,6;289,0;248,1;537,2;41,5;53,8;8,9;49,0;263,8;28,0;291,9;230,4;522,2;48,3;55,9;9,6;50,5;244,7;32,7;277,4;230,3;507,7;58,2;54,6;11,8;48,2;244,6;24,1;268,7;230,4;499,1;37,3;53,8;9,0;49,0
25–29;518,3;60,6;578,9;117,7;696,5;88,1;83,1;10,5;74,4;463,3;82,4;545,7;115,9;661,5;111,6;82,5;15,1;70,0;446,1;65,8;511,9;114,7;626,5;98,8;81,7;12,8;71,2;435,6;65,3;500,9;105,5;606,5;97,2;82,6;13,0;71,8;429,9;67,8;497,8;103,1;600,8;99,5;82,8;13,6;71,6;456,1;48,6;504,7;96,0;600,6;83,4;84,0;9,6;75,9;470,8;45,1;515,9;86,1;602,0;68,7;85,7;8,7;78,2;478,4;35,1;513,5;90,0;603,4;56,5;85,1;6,8;79,3;487,3;32,0;519,3;88,6;608,0;50,3;85,4;6,2;80,2;499,7;22,5;522,3;86,9;609,2;34,4;85,7;4,3;82,0;505,6;22,7;528,3;83,8;612,1;32,9;86,3;4,3;82,6;501,5;25,3;526,8;86,4;613,2;40,9;85,9;4,8;81,8;482,1;29,8;511,9;90,5;602,4;56,5;85,0;5,8;80,0;482,9;22,9;505,9;76,2;582,1;33,7;86,9;4,5;83,0
30–34;614,8;59,9;674,7;98,6;773,3;92,3;87,3;8,9;79,5;596,2;67,3;663,4;103,8;767,2;102,1;86,5;10,1;77,7;602,5;61,9;664,4;96,8;761,2;94,8;87,3;9,3;79,2;590,7;62,4;653,1;92,9;746,0;98,8;87,5;9,6;79,2;556,9;65,3;622,2;84,0;706,2;102,6;88,1;10,5;78,9;559,5;40,7;600,2;66,4;666,6;70,2;90,0;6,8;83,9;528,6;37,5;566,0;66,3;632,4;59,9;89,5;6,6;83,6;524,1;28,4;552,6;61,4;614,0;47,1;90,0;5,1;85,4;524,7;20,0;544,7;57,1;601,8;37,0;90,5;3,7;87,2;520,7;22,3;543,0;53,0;596,0;34,3;91,1;4,1;87,4;530,3;14,2;544,4;57,8;602,2;24,4;90,4;2,6;88,1;525,5;15,3;540,8;70,6;611,4;33,1;88,5;2,8;86,0;512,0;28,0;540,1;72,4;612,4;49,8;88,2;5,2;83,6;538,0;20,6;558,6;56,1;614,7;31,6;90,9;3,7;87,5
35–39;601,7;48,0;649,6;101,4;751,0;82,4;86,5;7,4;80,1;608,4;69,3;677,7;94,5;772,2;108,3;87,8;10,2;78,8;615,6;69,9;685,4;108,0;793,5;113,3;86,4;10,2;77,6;644,6;73,1;717,7;98,7;816,5;111,8;87,9;10,2;79,0;669,9;65,5;735,4;103,0;838,3;116,7;87,7;8,9;79,9;718,6;47,8;766,4;80,3;846,7;85,6;90,5;6,2;84,9;693,3;46,9;740,2;82,3;822,6;80,6;90,0;6,3;84,3;670,3;36,4;706,7;76,3;783,0;63,6;90,2;5,1;85,6;647,4;24,3;671,7;72,7;744,3;45,8;90,2;3,6;87,0;622,7;20,6;643,3;60,5;703,8;40,5;91,4;3,2;88,5;594,6;19,1;613,7;55,0;668,7;34,2;91,8;3,1;88,9;560,1;21,1;581,2;60,3;641,5;37,8;90,6;3,6;87,3;537,9;24,7;562,6;62,9;625,5;46,3;89,9;4,4;86,0;538,5;17,6;556,1;55,5;611,7;29,7;90,9;3,2;88,0
40–44;533,4;52,3;585,6;98,4;684,1;85,5;85,6;8,9;78,0;541,8;58,6;600,4;92,2;692,6;91,7;86,7;9,8;78,2;537,6;62,6;600,2;100,9;701,1;99,8;85,6;10,4;76,7;562,0;58,1;620,1;89,9;710,0;96,0;87,3;9,4;79,2;567,7;61,3;629,0;86,2;715,3;102,6;87,9;9,8;79,4;599,8;46,0;645,8;72,4;718,1;83,8;89,9;7,1;83,5;635,1;41,1;676,2;70,5;746,7;71,2;90,6;6,1;85,1;681,9;31,8;713,7;70,1;783,8;59,1;91,1;4,5;87,0;718,1;25,0;743,1;71,0;814,0;49,9;91,3;3,4;88,2;742,2;26,8;769,0;64,6;833,6;44,1;92,3;3,5;89,0;756,2;22,1;778,3;65,2;843,5;41,1;92,3;2,8;89,6;729,8;22,2;752,0;71,6;823,5;42,7;91,3;2,9;88,6;695,5;24,3;719,8;69,0;788,9;51,6;91,3;3,4;88,2;673,7;19,1;692,9;56,9;749,8;32,3;92,4;2,8;89,9
45–49;497,8;46,4;544,2;128,6;672,8;81,0;80,9;8,5;74,0;476,8;56,8;533,6;109,8;643,4;94,0;82,9;10,6;74,1;457,4;57,1;514,5;99,5;614,0;93,0;83,8;11,1;74,5;453,3;56,8;510,1;87,8;597,9;91,7;85,3;11,1;75,8;482,4;51,5;533,9;86,7;620,6;95,7;86,0;9,6;77,7;522,3;41,9;564,2;81,2;645,3;82,9;87,4;7,4;80,9;557,3;35,8;593,1;75,5;668,6;64,0;88,7;6,0;83,4;581,9;26,6;608,5;81,6;690,1;54,7;88,2;4,4;84,3;618,0;20,1;638,1;66,4;704,5;43,2;90,6;3,1;87,7;627,7;15,4;643,2;65,0;708,1;29,3;90,8;2,4;88,6;636,0;18,0;654,0;62,1;716,1;34,0;91,3;2,8;88,8;656,6;21,2;677,8;70,0;747,8;38,3;90,6;3,1;87,8;683,7;23,3;707,0;75,3;782,3;48,9;90,4;3,3;87,4;731,4;20,1;751,6;60,5;812,1;33,9;92,5;2,7;90,1
50–54;449,9;35,3;485,2;165,6;650,8;61,6;74,6;7,3;69,1;446,6;43,1;489,7;160,8;650,5;74,8;75,3;8,8;68,7;443,5;50,4;493,9;156,3;650,2;84,4;76,0;10,2;68,2;451,2;55,5;506,7;131,4;638,1;91,8;79,4;11,0;70,7;437,9;45,4;483,3;130,0;613,2;89,3;78,8;9,4;71,4;452,1;30,4;482,4;113,4;595,9;68,5;81,0;6,3;75,9;455,4;32,1;487,5;98,0;585,5;60,7;83,3;6,6;77,8;467,7;28,0;495,8;83,4;579,2;47,9;85,6;5,7;80,8;483,5;20,4;503,9;79,7;583,6;37,4;86,3;4,0;82,9;514,0;19,7;533,6;71,5;605,2;36,5;88,2;3,7;84,9;545,1;14,8;560,0;71,4;631,4;28,0;88,7;2,7;86,3;563,2;14,3;577,5;80,0;657,5;34,1;87,8;2,5;85,7;590,4;15,9;606,3;72,2;678,6;39,0;89,4;2,6;87,0;603,8;22,8;626,7;66,1;692,7;34,1;90,5;3,6;87,2
