20.2.1.14. A 15–74 éves népesség száma legmagasabb iskolai végzettség szerint, nemenként, negyedévente [ezer fõ];;;;;;;;;
Év;Negyedév;8 általános iskolánál kevesebb;Általános iskola 8. osztálya;Középfokú végzettség érettségi nélkül, szakmai végzettséggel;Középfokú végzettség érettségivel, szakmai végzettség nélkül;Középfokú végzettség érettségivel, szakmai végzettséggel;Felsõfokú végzettség, fõiskola vagy alapképzés;Felsõfokú végzettség, egyetem vagy mesterképzés;Összesen
Együtt ;;;;;;;;;
2009.;I.;194,1;2 096,9;1 783,7;864,7;1 503,1;758,9;479,8;7 681,3
;II.;198,6;2 081,6;1 800,3;860,7;1 491,2;764,2;481,2;7 678,0
;III.;186,5;2 056,4;1 801,2;860,8;1 504,0;770,3;495,3;7 674,5
;IV.;173,8;2 054,5;1 821,7;874,5;1 497,9;764,5;484,2;7 671,1
2010.;I.;171,8;2 045,4;1 811,8;867,4;1 526,5;747,9;497,0;7 667,8
;II.;174,8;2 028,1;1 831,4;851,7;1 525,9;744,8;507,7;7 664,3
;III.;163,7;1 998,6;1 821,9;860,3;1 545,0;763,4;508,0;7 661,0
;IV.;158,6;1 996,4;1 805,1;862,6;1 538,5;789,0;507,2;7 657,6
2011.;I.;156,3;1 996,5;1 799,0;857,2;1 528,2;800,4;516,7;7 654,2
;II.;158,0;1 999,6;1 818,6;848,4;1 511,3;789,7;525,2;7 650,8
;III.;152,6;1 963,9;1 820,9;856,8;1 502,4;808,2;542,5;7 647,4
;IV.;142,4;1 944,8;1 802,8;866,6;1 516,5;827,3;544,4;7 644,9
2012.;I.;140,9;1 916,1;1 809,5;858,5;1 525,5;842,4;550,5;7 643,4
;II.;146,3;1 909,8;1 812,6;839,6;1 531,9;847,9;549,5;7 637,5
;III.;132,0;1 878,4;1 806,3;855,4;1 540,5;872,9;547,6;7 633,0
;IV.;135,8;1 872,6;1 831,9;841,7;1 518,3;877,1;551,8;7 629,2
2013.;I.;140,2;1 854,0;1 843,3;839,7;1 500,9;889,3;555,5;7 622,8
;II.;139,2;1 823,8;1 845,2;868,7;1 494,0;883,7;559,0;7 613,4
;III.;126,3;1 787,8;1 866,4;902,1;1 486,2;878,5;558,1;7 605,3
;IV.;130,9;1 769,9;1 876,8;895,9;1 478,2;873,3;572,4;7 597,3
2014.;I.;127,1;1 752,7;1 866,0;884,5;1 488,4;886,4;582,8;7 587,8
;II.;128,1;1 731,8;1 854,2;899,9;1 482,3;898,6;582,6;7 577,5
;III.;119,6;1 690,2;1 810,2;938,5;1 496,9;912,0;601,2;7 568,6
;IV.;123,6;1 704,5;1 815,1;941,5;1 453,9;918,2;602,2;7 559,1
2015.;I.;133,2;1 701,8;1 814,0;939,8;1 446,5;918,8;593,8;7 547,8
;II.;133,9;1 676,4;1 799,2;961,8;1 431,4;924,2;612,7;7 539,5
;III.;114,8;1 644,7;1 802,3;1 015,5;1 425,6;917,4;616,2;7 536,5
;IV.;124,9;1 638,0;1 813,6;1 017,1;1 417,8;909,1;607,5;7 527,9
2016.;I.;126,9;1 647,6;1 813,4;1 014,5;1 411,4;911,0;590,9;7 515,6
;II.;120,6;1 633,1;1 823,3;1 021,6;1 424,9;909,2;575,1;7 507,8
;III.;109,3;1 602,8;1 823,6;1 052,2;1 426,1;907,2;585,9;7 507,1
;IV.;106,6;1 606,7;1 827,6;1 026,7;1 415,3;923,1;593,8;7 499,6
2017.;I.;113,5;1 578,2;1 841,1;1 009,6;1 421,3;921,8;598,5;7 484,0
;II.;120,4;1 552,9;1 854,8;996,6;1 410,2;927,0;603,1;7 465,0
;III.;104,4;1 529,0;1 867,2;1 037,3;1 421,4;902,4;590,3;7 452,1
;IV.;109,8;1 500,8;1 883,4;1 020,7;1 412,3;908,5;604,7;7 440,3
2018.;I.;117,1;1 488,8;1 873,9;1 007,3;1 387,7;912,9;648,7;7 436,4
;II.;117,9;1 493,9;1 873,2;1 014,5;1 381,1;889,9;665,7;7 436,2
;III.;94,8;1 441,1;1 853,8;1 034,1;1 433,8;877,0;697,2;7 431,8
;IV.;100,6;1 453,1;1 856,5;1 000,3;1 412,5;868,2;733,1;7 424,3
2019.;I.;105,4;1 465,0;1 829,5;1 002,1;1 390,6;880,7;746,8;7 420,0
;II.;110,4;1 466,2;1 818,7;1 017,5;1 393,6;904,9;710,0;7 421,3
;III.;100,2;1 427,8;1 797,1;1 078,1;1 385,0;924,2;707,3;7 419,8
;IV.;96,2;1 415,0;1 832,0;1 075,7;1 373,2;900,9;722,1;7 415,0
2020.;I.;101,4;1 452,2;1 807,6;1 050,9;1 364,6;907,6;727,2;7 411,4
;II.;90,6;1 346,2;1 775,1;1 025,9;1 444,0;942,8;785,0;7 409,7
;III.;96,5;1 407,0;1 786,6;1 051,1;1 355,5;912,8;798,6;7 408,2
;IV.;99,8;1 390,4;1 773,7;1 041,2;1 325,4;913,5;861,6;7 405,5
