20.2.1.16. A foglalkoztatottak száma legmagasabb iskolai végzettségük szerint, nemenként, negyedévente [ezer fõ];;;;;;;;;
Év;Negyedév;8 általános iskolánál kevesebb;Általános iskola 8. osztálya;Középfokú végzettség érettségi nélkül, szakmai végzettséggel;Középfokú végzettség érettségivel, szakmai végzettség nélkül;Középfokú végzettség érettségivel, szakmai végzettséggel;Felsõfokú végzettség, fõiskola vagy alapképzés;Felsõfokú végzettség, egyetem vagy mesterképzés;Összesen
Együtt ;;;;;;;;;
2009.;I.;7,9;428,9;1 141,9;357,7;991,7;579,5;369,5;3 877,0
;II.;11,7;440,2;1 159,6;367,2;981,0;581,4;369,2;3 910,4
;III.;11,3;446,2;1 148,6;366,6;971,5;581,4;374,0;3 899,4
;IV.;11,5;439,1;1 162,0;366,7;968,9;575,2;367,7;3 891,1
2010.;I.;11,1;413,5;1 114,1;358,9;983,3;564,5;376,3;3 821,8
;II.;13,6;422,4;1 150,1;355,2;982,0;561,6;386,0;3 870,9
;III.;16,0;434,7;1 159,4;355,6;990,5;567,8;383,8;3 907,8
;IV.;13,3;428,1;1 135,6;347,2;992,1;589,4;389,0;3 894,7
2011.;I.;9,1;396,9;1 096,9;350,5;977,4;601,8;399,3;3 831,9
;II.;11,4;431,4;1 130,7;356,4;960,7;599,4;410,7;3 900,8
;III.;13,0;437,9;1 138,7;363,5;959,4;611,6;418,2;3 942,2
;IV.;10,2;419,6;1 127,6;365,6;973,3;623,1;417,4;3 936,9
2012.;I.;7,8;388,6;1 099,9;358,0;963,1;631,1;421,7;3 870,3
;II.;12,1;416,6;1 116,0;362,1;982,4;642,8;418,2;3 950,3
;III.;13,3;428,6;1 133,9;368,4;992,2;661,0;422,2;4 019,6
;IV.;13,5;404,6;1 131,1;362,5;984,3;668,4;430,3;3 994,7
2013.;I.;11,2;367,0;1 101,8;365,2;956,4;670,8;434,3;3 906,6
;II.;15,1;401,9;1 148,5;387,6;968,1;666,0;441,0;4 028,3
;III.;13,8;418,2;1 174,5;401,4;976,3;656,4;441,1;4 081,7
;IV.;13,1;428,8;1 181,5;398,1;976,8;650,2;452,0;4 100,5
2014.;I.;12,9;441,5;1 186,5;403,7;995,1;669,1;456,3;4 165,1
;II.;12,4;449,2;1 181,9;423,7;993,8;678,3;457,0;4 196,3
;III.;17,3;458,0;1 176,8;438,0;1 021,1;685,3;473,7;4 270,1
;IV.;16,7;461,0;1 168,1;452,0;991,2;687,7;482,2;4 258,8
2015.;I.;17,7;451,2;1 154,4;452,3;981,3;699,3;479,7;4 235,8
;II.;19,3;471,4;1 170,0;475,6;985,5;706,5;495,6;4 324,0
;III.;18,7;492,9;1 181,5;508,1;989,9;702,2;497,2;4 390,4
;IV.;20,9;489,4;1 190,2;519,2;981,8;700,0;488,7;4 390,2
2016.;I.;17,5;484,8;1 174,6;530,5;986,7;710,2;486,2;4 390,5
;II.;21,6;502,4;1 207,2;551,1;1 005,4;719,5;469,1;4 476,4
;III.;22,8;514,4;1 214,7;580,6;1 005,0;714,0;469,6;4 521,1
;IV.;20,6;532,9;1 222,1;558,8;996,0;729,5;481,0;4 540,9
2017.;I.;18,5;512,4;1 216,6;542,1;1 004,7;715,7;487,9;4 498,0
;II.;19,1;513,8;1 238,8;548,5;1 001,9;723,1;495,9;4 541,0
;III.;21,1;519,9;1 261,7;567,2;1 014,8;706,2;484,5;4 575,2
;IV.;21,6;509,1;1 281,0;555,6;1 006,0;711,2;494,8;4 579,3
2018.;I.;22,1;493,1;1 271,8;542,2;979,5;719,2;542,6;4 570,6
;II.;22,1;507,7;1 285,1;561,8;984,2;690,8;555,2;4 606,9
;III.;16,5;498,6;1 265,5;576,2;1 014,1;675,4;581,1;4 627,4
;IV.;17,5;507,1;1 267,7;552,1;994,0;666,9;615,2;4 620,6
2019.;I.;16,7;494,8;1 257,3;559,4;994,7;685,9;622,2;4 631,0
;II.;18,6;507,3;1 251,1;567,1;991,7;716,3;591,0;4 643,1
;III.;23,0;483,7;1 254,1;603,0;990,0;727,1;573,2;4 654,2
;IV.;19,9;478,8;1 278,3;603,4;974,8;705,7;589,1;4 649,9
2020.;I.;19,2;481,0;1 239,0;600,5;969,4;707,5;590,1;4 606,8
;II.;15,9;422,6;1 183,7;571,8;999,1;723,7;639,4;4 556,4
;III.;20,1;479,1;1 212,9;606,7;951,6;702,5;654,2;4 627,2
;IV.;21,1;468,5;1 198,6;596,4;928,6;697,7;711,8;4 622,6
2021.;I.;19,6;443,2;1 176,7;558,2;935,0;710,6;724,3;4 567,6
;II.;16,0;463,3;1 175,4;580,5;946,6;724,9;712,5;4 619,2
;III.;18,2;479,3;1 173,2;569,4;962,5;739,4;721,5;4 663,4
;IV.;17,8;446,1;1 157,3;571,7;1 007,4;757,3;730,3;4 687,9
2022.;I.;17,9;442,3;1 125,3;584,9;1 014,0;768,3;721,7;4 674,3
;II.;19,8;433,1;1 133,3;575,4;1 020,6;775,2;735,8;4 693,2
;III.;22,2;440,2;1 155,8;596,5;1 031,3;751,1;714,9;4 712,2
;IV.;;;;;;;;
Ebbõl:;;;;;;;;;
férfi;;;;;;;;;
2009.;I.;4,9;205,2;770,6;124,5;489,5;219,8;199,9;2 014,5
;II.;7,3;214,6;785,9;130,8;488,8;212,3;200,7;2 040,4
;III.;6,4;224,2;782,8;130,3;475,0;211,8;198,4;2 029,0
;IV.;6,5;216,6;791,3;132,1;470,4;207,8;195,6;2 020,2
2010.;I.;6,0;197,1;748,5;126,2;473,3;205,0;197,6;1 953,8
;II.;7,3;201,9;771,7;126,5;480,9;201,2;201,0;1 990,6
;III.;7,5;213,6;777,1;126,7;487,9;202,8;205,0;2 020,6
;IV.;6,6;207,6;755,6;123,9;492,2;216,0;208,7;2 010,7
2011.;I.;4,4;191,9;727,5;127,5;483,4;221,8;213,5;1 970,1
;II.;6,9;214,2;753,0;127,8;480,3;226,0;215,5;2 023,8
;III.;7,0;222,2;766,9;132,2;480,2;225,4;219,4;2 053,3
;IV.;5,7;213,9;756,5;134,2;481,2;235,3;216,6;2 043,4
2012.;I.;4,0;199,2;738,1;129,7;471,1;234,8;222,8;1 999,6
;II.;7,2;215,9;746,5;129,4;484,8;245,7;213,4;2 043,0
;III.;8,1;217,9;765,1;134,9;493,2;250,2;208,8;2 078,2
;IV.;8,4;212,5;767,8;135,5;485,6;253,0;214,0;2 076,9
2013.;I.;5,3;184,1;742,4;135,9;470,9;252,3;222,9;2 013,8
;II.;8,3;208,8;785,6;150,0;482,2;247,8;224,4;2 107,0
;III.;8,7;216,8;798,6;153,1;492,0;249,4;226,1;2 144,6
;IV.;6,9;222,3;797,9;154,6;491,5;244,1;235,8;2 153,0
2014.;I.;6,0;228,8;793,8;159,0;504,8;256,9;235,9;2 185,2
;II.;6,4;237,0;799,8;168,9;501,8;252,0;241,9;2 207,8
;III.;10,3;242,4;803,0;175,1;518,9;253,5;249,4;2 252,6
;IV.;10,9;247,2;787,5;175,9;509,5;259,3;247,8;2 238,1
2015.;I.;11,2;236,2;773,8;172,6;509,8;267,7;249,7;2 220,9
;II.;12,1;254,4;781,8;190,1;512,8;271,1;255,6;2 278,0
;III.;11,1;268,6;796,8;199,3;523,9;269,2;250,3;2 319,3
;IV.;11,8;269,2;796,0;205,1;518,3;271,2;246,3;2 318,0
2016.;I.;10,2;258,5;787,5;220,5;514,9;281,1;241,6;2 314,2
;II.;10,6;272,2;815,4;226,6;519,8;275,6;238,9;2 359,1
;III.;11,1;274,8;831,5;238,7;523,3;267,6;237,2;2 384,2
;IV.;10,0;278,5;834,4;230,4;510,7;278,7;250,5;2 393,1
2017.;I.;8,5;265,4;822,4;229,3;518,4;277,6;256,3;2 378,0
;II.;9,7;268,8;850,3;228,3;517,0;282,0;261,5;2 417,6
;III.;10,6;269,3;871,5;238,3;519,0;275,0;253,5;2 437,2
;IV.;11,3;266,6;881,1;237,5;506,7;282,3;251,4;2 437,0
2018.;I.;12,0;262,3;877,5;228,6;485,3;279,7;281,9;2 427,2
;II.;10,6;274,8;877,7;236,1;496,8;264,7;282,3;2 443,1
;III.;8,1;267,0;862,4;244,4;523,4;254,9;297,9;2 458,1
;IV.;7,8;276,1;862,2;235,8;521,3;245,1;308,3;2 456,6
2019.;I.;7,6;266,6;858,6;240,6;533,7;254,6;311,1;2 472,8
;II.;8,8;273,5;851,4;233,8;534,1;271,8;299,0;2 472,4
;III.;11,0;273,1;857,8;260,5;532,3;272,6;280,0;2 487,4
;IV.;9,2;269,8;879,7;252,1;523,0;260,6;293,3;2 487,7
2020.;I.;8,9;257,2;861,0;253,4;513,1;266,4;297,5;2 457,6
;II.;6,9;230,0;821,7;246,2;534,7;277,8;315,6;2 432,9
;III.;11,1;265,1;831,0;260,1;515,7;271,1;323,6;2 477,6
;IV.;10,3;260,7;819,0;261,5;502,5;261,4;364,7;2 480,1
2021.;I.;9,0;248,3;821,6;252,4;489,8;265,6;369,5;2 456,1
;II.;7,0;258,9;802,5;253,8;506,7;271,1;363,8;2 463,8
;III.;8,2;265,4;801,9;250,6;518,9;268,1;366,1;2 479,1
;IV.;7,9;251,2;790,9;252,3;533,5;281,3;371,1;2 488,2
2022.;I.;9,2;245,3;776,7;248,4;546,3;294,3;361,7;2 481,9
;II.;9,9;240,5;783,9;241,6;553,8;301,8;360,2;2 491,6
;III.;10,3;245,1;797,5;251,0;558,8;286,7;353,8;2 503,2
;IV.;;;;;;;;
nõ;;;;;;;;;
2009.;I.;3,0;223,7;371,3;233,2;502,1;359,7;169,6;1 862,6
;II.;4,5;225,6;373,7;236,4;492,2;369,1;168,5;1 870,0
;III.;4,8;222,0;365,8;236,3;496,4;369,6;175,6;1 870,5
;IV.;5,0;222,4;370,7;234,6;498,5;367,4;172,1;1 870,8
2010.;I.;5,0;216,4;365,6;232,7;510,0;359,5;178,6;1 867,9
;II.;6,3;220,5;378,5;228,6;501,0;360,3;185,0;1 880,2
;III.;8,5;221,1;382,3;228,9;502,6;365,0;178,8;1 887,2
;IV.;6,7;220,4;380,1;223,3;499,9;373,3;180,3;1 884,1
2011.;I.;4,6;205,0;369,4;223,0;494,1;380,0;185,7;1 861,8
;II.;4,5;217,3;377,7;228,6;480,4;373,4;195,2;1 877,0
;III.;6,0;215,7;371,8;231,3;479,2;386,2;198,7;1 888,9
;IV.;4,5;205,7;371,1;231,4;492,2;387,8;200,8;1 893,5
2012.;I.;3,8;189,5;361,8;228,3;492,0;396,3;199,0;1 870,7
;II.;4,9;200,7;369,5;232,7;497,5;397,0;204,8;1 907,2
;III.;5,2;210,6;368,8;233,5;499,1;410,8;213,4;1 941,4
;IV.;5,1;192,1;363,2;227,0;498,6;415,5;216,2;1 917,8
2013.;I.;5,9;182,9;359,4;229,3;485,5;418,5;211,3;1 892,8
;II.;6,9;193,1;362,9;237,6;486,0;418,3;216,6;1 921,3
;III.;5,1;201,4;375,9;248,3;484,4;407,0;215,0;1 937,1
;IV.;6,1;206,5;383,6;243,5;485,3;406,2;216,2;1 947,5
2014.;I.;6,9;212,7;392,7;244,7;490,3;412,3;220,4;1 980,0
;II.;6,0;212,2;382,1;254,8;492,0;426,3;215,1;1 988,6
;III.;7,0;215,6;373,8;262,9;502,2;431,9;224,3;2 017,6
;IV.;5,8;213,8;380,6;276,1;481,7;428,4;234,4;2 020,7
2015.;I.;6,5;215,0;380,6;279,7;471,5;431,6;230,0;2 014,9
;II.;7,2;217,0;388,3;285,5;472,7;435,4;239,9;2 046,0
;III.;7,5;224,2;384,7;308,8;466,0;433,0;246,8;2 071,1
;IV.;9,1;220,2;394,2;314,1;463,5;428,8;242,3;2 072,2
2016.;I.;7,3;226,3;387,1;310,0;471,8;429,1;244,6;2 076,3
;II.;11,0;230,2;391,8;324,5;485,7;443,9;230,2;2 117,3
;III.;11,7;239,6;383,2;341,9;481,7;446,4;232,4;2 136,8
;IV.;10,6;254,4;387,7;328,4;485,3;450,8;230,5;2 147,8
2017.;I.;9,9;247,0;394,3;312,9;486,4;438,1;231,5;2 120,0
;II.;9,4;245,0;388,5;320,2;484,8;441,0;234,4;2 123,4
;III.;10,5;250,5;390,2;328,8;495,8;431,2;231,0;2 138,0
;IV.;10,3;242,5;399,9;318,1;499,4;428,8;243,4;2 142,4
