20.2.1.18. A foglalkoztatottak száma foglalkozási fõcsoport szerint, nemenként, negyedévente – FEOR'08 [ezer fõ];;;;;;;;;;;;;;;;
Év;Negyedév;Gazdasági, igazgatási, érdek-képviseleti vezetõk, törvényhozók 1.;Felsõfokú képzettség önálló alkalmazását igénylõ foglalkozások 2.;Egyéb felsõfokú vagy középfokú képzettséget igénylõ foglalkozások 3.;Irodai és ügyviteli (ügyfélkapcsolati) foglalkozások 4.;Szellemi foglalkozások összesen 1–4.;Kereskedelmi és szolgáltatási foglalkozások 5.;Mezõgazdasági és erdõgazdálkodási foglalkozások 6.;Ipari és építõipari foglalkozások 7.;Gépkezelõk, összeszerelõk, jármûvezetõk 8.;Szakképzettséget nem igénylõ (egyszerû) foglalkozások 9.;Fizikai foglalkozások összesen 5–9.;Fegyveres szervek foglalkozásai 0.;Összesen 0–9.;Nem besorolt;Foglalkoztatottak összesen
Együtt ;;;;;;;;;;;;;;;;
2011.;I.;223,6;619,0;596,6;290,1;1 729,2;602,3;96,6;554,9;516,6;313,0;2 083,4;13,2;3 825,7;6,3;3 831,9
;II.;224,3;632,9;591,3;290,2;1 738,7;603,8;104,5;556,8;518,3;361,2;2 144,6;12,6;3 896,0;4,9;3 900,8
;III.;223,1;637,2;593,3;289,3;1 742,9;599,1;114,9;567,6;526,4;375,0;2 183,0;12,1;3 938,0;4,3;3 942,2
;IV.;217,6;646,6;592,6;296,6;1 753,4;599,9;113,0;558,8;535,7;359,7;2 167,0;10,7;3 931,1;5,8;3 936,9
2012.;I.;203,1;654,9;599,8;289,0;1 746,8;592,1;111,2;538,7;529,1;332,8;2 104,0;13,2;3 864,0;6,4;3 870,3
;II.;197,3;653,1;614,1;294,0;1 758,5;615,7;120,0;547,0;518,8;372,7;2 174,2;13,0;3 945,6;4,7;3 950,3
;III.;196,1;670,3;619,4;291,8;1 777,6;641,9;117,1;551,6;521,7;394,3;2 226,5;11,8;4 015,9;3,7;4 019,6
;IV.;187,9;679,7;634,7;292,6;1 794,9;623,7;110,6;555,0;522,8;373,1;2 185,1;11,2;3 991,1;3,5;3 994,7
2013.;I.;190,9;681,1;644,6;288,2;1 804,8;604,1;97,4;530,9;522,9;328,8;2 084,1;12,1;3 901,1;5,5;3 906,6
;II.;190,8;682,7;650,6;274,3;1 798,3;622,4;98,1;553,6;534,6;404,3;2 213,1;11,9;4 023,3;5,0;4 028,3
;III.;192,1;671,3;658,4;275,6;1 797,4;634,7;97,8;574,7;545,4;413,5;2 266,2;13,1;4 076,7;5,0;4 081,7
;IV.;194,7;663,3;675,4;278,9;1 812,3;628,8;92,8;571,7;548,3;417,9;2 259,5;16,3;4 088,1;12,4;4 100,5
2014.;I.;199,0;671,1;689,5;294,2;1 853,9;627,7;94,5;569,0;555,1;402,9;2 249,2;14,6;4 117,6;47,5;4 165,1
;II.;205,0;673,4;693,5;300,6;1 872,5;628,1;96,6;578,7;561,4;432,2;2 297,0;13,8;4 183,3;13,0;4 196,3
;III.;206,0;685,6;698,5;307,1;1 897,2;639,1;98,0;599,5;565,5;449,9;2 351,9;14,7;4 263,8;6,3;4 270,1
;IV.;207,0;684,4;690,5;310,8;1 892,7;634,6;104,5;604,4;557,8;444,2;2 345,5;13,9;4 252,1;6,7;4 258,8
2015.;I.;200,6;690,5;695,0;308,4;1 894,5;647,4;103,0;593,2;543,7;421,7;2 309,0;12,6;4 216,1;19,7;4 235,8
;II.;205,7;702,9;703,5;302,7;1 914,7;661,2;110,4;605,0;554,2;459,8;2 390,6;11,4;4 316,8;7,2;4 324,0
;III.;202,2;704,3;712,1;318,7;1 937,3;667,3;110,0;607,2;565,7;484,1;2 434,3;12,1;4 383,8;6,6;4 390,4
;IV.;201,5;702,4;710,3;313,9;1 928,0;657,6;115,0;608,9;583,2;481,4;2 446,1;9,9;4 383,9;6,3;4 390,2
2016.;I.;207,7;699,8;724,0;321,7;1 953,2;658,0;123,5;584,9;587,5;467,4;2 421,3;8,6;4 383,2;7,3;4 390,5
;II.;210,0;688,1;738,8;315,5;1 952,4;678,9;130,8;590,7;612,6;493,8;2 506,8;10,5;4 469,7;6,7;4 476,4
;III.;208,0;677,8;759,1;318,4;1 963,3;666,0;129,0;613,0;632,0;498,6;2 538,5;12,5;4 514,3;6,8;4 521,1
;IV.;205,8;703,1;735,3;313,6;1 957,7;691,2;127,6;605,7;640,8;496,4;2 561,7;14,5;4 533,9;7,0;4 540,9
2017.;I.;211,4;698,8;742,5;304,0;1 956,7;682,4;127,3;607,3;633,6;472,0;2 522,6;15,1;4 494,3;3,6;4 498,0
;II.;204,5;691,4;781,5;310,5;1 987,9;671,1;129,3;607,9;638,4;490,8;2 537,5;13,7;4 539,1;1,9;4 541,0
;III.;206,1;681,6;753,6;323,0;1 964,3;683,3;129,2;634,0;653,9;495,2;2 595,6;13,2;4 573,2;1,9;4 575,2
;IV.;201,3;681,0;756,8;326,3;1 965,3;674,8;135,9;643,8;656,5;487,1;2 598,1;14,1;4 577,5;1,8;4 579,3
2018.;I.;193,8;729,8;751,1;326,4;2 001,0;663,3;142,2;631,4;667,8;451,2;2 555,9;10,6;4 567,6;3,0;4 570,6
;II.;198,0;710,3;761,3;329,3;1 998,9;664,0;138,8;647,3;677,3;469,5;2 596,9;8,4;4 604,2;2,7;4 606,9
;III.;202,3;721,5;740,0;347,8;2 011,6;691,1;131,6;644,1;684,3;452,7;2 603,9;7,9;4 623,4;4,0;4 627,4
;IV.;212,5;736,5;730,5;344,5;2 024,0;678,3;129,8;640,8;672,4;461,4;2 582,8;10,2;4 617,0;3,6;4 620,6
2019.;I.;198,6;770,8;734,2;340,7;2 044,2;689,8;122,4;634,2;678,1;445,2;2 569,8;11,7;4 625,7;5,3;4 631,0
;II.;181,4;780,7;732,2;344,9;2 039,1;693,8;132,9;646,1;662,5;448,1;2 583,4;14,3;4 636,8;6,3;4 643,1
;III.;169,2;799,6;747,1;322,2;2 038,1;723,4;118,5;653,0;647,8;451,4;2 594,0;17,0;4 649,1;5,1;4 654,2
;IV.;162,4;840,1;724,0;318,6;2 045,0;712,2;117,4;672,8;651,5;429,0;2 582,9;17,3;4 645,2;4,7;4 649,9
2020.;I.;158,0;840,3;718,9;315,6;2 032,8;690,1;125,2;673,5;642,7;420,1;2 551,7;17,8;4 602,4;4,4;4 606,8
;II.;160,8;899,8;732,6;323,1;2 116,2;643,1;122,0;657,7;617,9;378,0;2 418,7;16,5;4 551,4;5,0;4 556,4
;III.;173,0;904,5;712,3;317,0;2 106,9;683,7;125,1;662,2;599,2;431,0;2 501,1;15,8;4 623,9;3,3;4 627,2
;IV.;196,8;926,4;718,5;303,1;2 144,9;664,1;128,1;673,9;576,0;416,8;2 458,9;15,6;4 619,4;3,2;4 622,6
2021.;I.;184,3;900,6;739,2;328,4;2 152,6;627,8;118,6;636,7;604,1;413,7;2 400,8;14,2;4 567,6;0,0;4 567,6
;II.;190,5;904,3;752,9;327,9;2 175,6;651,8;122,3;634,6;602,9;416,9;2 428,5;15,1;4 619,2;0,0;4 619,2
;III.;187,5;914,3;766,0;319,0;2 186,7;660,4;120,1;629,4;616,6;437,2;2 463,7;13,0;4 663,4;0,0;4 663,4
;IV.;198,0;913,9;786,7;325,6;2 224,2;660,8;117,6;611,8;619,1;438,6;2 447,9;15,8;4 687,9;0,0;4 687,9
