20.2.1.20. Foglalkoztatottak száma rész- vagy teljes munkaidõs foglalkozásuk szerint, nemenként, negyedévente [ezer fõ];;;;;;;;;;
Év;Negyedév;Részmunkaidõs, férfi;Részmunkaidõs, nõ;Részmunkaidõs, együtt;Teljes munkaidõs, férfi;Teljes munkaidõs, nõ;Teljes munkaidõs, együtt;Összesen;Nem besorolt;Foglalkoztatottak összesen
2009.;I.;69,5;119,5;188,9;1 944,6;1 599,8;3 544,4;3 733,4;143,7;3 877,0
;II.;79,6;129,8;209,5;1 960,0;1 594,6;3 554,5;3 764,0;146,4;3 910,4
;III.;86,8;134,0;220,7;1 941,1;1 586,6;3 527,8;3 748,5;150,9;3 899,4
;IV.;83,8;128,4;212,2;1 934,9;1 598,4;3 533,3;3 745,4;145,6;3 891,1
2010.;I.;74,3;134,7;209,0;1 877,9;1 591,9;3 469,8;3 678,7;143,0;3 821,8
;II.;75,0;139,0;214,0;1 913,8;1 601,0;3 514,9;3 728,9;142,0;3 870,9
;III.;83,2;145,4;228,7;1 936,2;1 606,3;3 542,5;3 771,2;136,6;3 907,8
;IV.;83,6;144,0;227,6;1 926,2;1 597,0;3 523,2;3 750,8;144,0;3 894,7
2011.;I.;82,3;147,6;229,8;1 886,9;1 568,7;3 455,6;3 685,4;146,6;3 831,9
;II.;101,5;159,9;261,4;1 920,9;1 576,8;3 497,8;3 759,2;141,7;3 900,8
;III.;104,6;164,1;268,8;1 946,2;1 583,5;3 529,8;3 798,6;143,7;3 942,2
;IV.;100,0;163,0;263,0;1 941,5;1 588,5;3 529,9;3 793,0;143,9;3 936,9
2012.;I.;92,0;160,9;252,9;1 906,6;1 575,7;3 482,3;3 735,2;135,1;3 870,3
;II.;95,8;170,9;266,7;1 946,6;1 608,3;3 554,9;3 821,6;128,7;3 950,3
;III.;97,9;182,3;280,2;1 980,0;1 627,1;3 607,1;3 887,3;132,2;4 019,6
;IV.;100,5;182,3;282,8;1 975,8;1 606,1;3 581,9;3 864,7;129,9;3 994,7
2013.;I.;91,1;169,8;260,9;1 921,7;1 589,9;3 511,5;3 772,4;134,1;3 906,6
;II.;100,3;169,9;270,2;2 006,3;1 612,3;3 618,6;3 888,7;139,6;4 028,3
;III.;94,6;167,0;261,7;2 048,8;1 629,9;3 678,7;3 940,3;141,4;4 081,7
;IV.;95,8;163,2;259,0;2 056,4;1 654,2;3 710,5;3 969,5;131,0;4 100,5
2014.;I.;98,5;162,3;260,7;2 063,6;1 670,1;3 733,7;3 994,4;170,7;4 165,1
;II.;97,8;158,7;256,6;2 103,8;1 704,5;3 808,2;4 064,8;131,5;4 196,3
;III.;104,5;163,7;268,2;2 145,9;1 730,7;3 876,6;4 144,8;125,4;4 270,1
;IV.;96,7;164,4;261,1;2 139,2;1 736,5;3 875,7;4 136,8;122,1;4 258,8
2015.;I.;101,0;165,1;266,1;2 112,3;1 722,9;3 835,1;4 101,2;134,6;4 235,8
;II.;102,0;157,8;259,8;2 172,9;1 764,1;3 937,0;4 196,8;127,2;4 324,0
;III.;100,8;151,7;252,5;2 215,8;1 793,0;4 008,8;4 261,3;129,1;4 390,4
;IV.;93,6;145,3;238,9;2 221,3;1 795,4;4 016,7;4 255,6;134,6;4 390,2
2016.;I.;82,1;142,7;224,8;2 230,0;1 803,3;4 033,3;4 258,1;132,4;4 390,5
;II.;85,8;143,7;229,5;2 272,1;1 838,8;4 110,9;4 340,4;136,0;4 476,4
;III.;84,0;146,4;230,3;2 298,9;1 858,0;4 157,0;4 387,3;133,8;4 521,1
;IV.;81,4;146,5;227,9;2 309,9;1 869,2;4 179,1;4 407,1;133,8;4 540,9
2017.;I.;78,1;138,8;216,9;2 299,5;1 851,5;4 151,0;4 367,9;130,0;4 498,0
;II.;78,4;136,2;214,6;2 339,2;1 865,8;4 204,9;4 419,6;121,4;4 541,0
;III.;74,6;128,2;202,8;2 362,5;1 885,3;4 247,8;4 450,7;124,5;4 575,2
;IV.;69,7;145,9;215,7;2 367,2;1 864,5;4 231,7;4 447,4;132,0;4 579,4
2018.;I.;68,1;137,5;205,6;2 359,0;1 870,6;4 229,6;4 435,2;135,4;4 570,6
;II.;78,0;136,0;214,0;2 365,1;1 895,5;4 260,6;4 474,6;132,3;4 606,9
;III.;78,1;145,1;223,2;2 379,9;1 883,6;4 263,6;4 486,8;140,6;4 627,4
;IV.;83,0;139,7;222,7;2 373,6;1 885,0;4 258,6;4 481,3;139,3;4 620,6
2019.;I.;76,9;150,8;227,7;2 395,8;1 873,5;4 269,4;4 497,1;133,9;4 631,0
;II.;81,5;154,4;235,9;2 390,6;1 884,4;4 275,0;4 510,9;132,3;4 643,1
;III.;87,3;153,7;241,0;2 399,1;1 880,9;4 280,0;4 521,0;133,2;4 654,2
;IV.;76,9;152,2;229,1;2 410,5;1 880,0;4 290,5;4 519,6;130,4;4 649,9
2020.;I.;83,8;159,5;243,2;2 372,9;1 849,6;4 222,5;4 465,8;141,0;4 606,8
;II.;99,3;185,1;284,4;2 331,8;1 792,0;4 123,8;4 408,2;148,1;4 556,4
;III.;86,9;162,3;249,2;2 389,9;1 846,4;4 236,3;4 485,5;141,7;4 627,2
;IV.;79,4;152,1;231,4;2 399,9;1 851,0;4 250,9;4 482,3;140,3;4 622,6
2021.;I.;85,1;170,3;255,4;2 371,0;1 941,1;4 312,2;4 567,6;0,0;4 567,6
;II.;86,2;169,2;255,4;2 377,6;1 986,2;4 363,8;4 619,2;0,0;4 619,2
;III.;86,2;162,2;248,3;2 392,9;2 022,2;4 415,1;4 663,4;0,0;4 663,4
;IV.;84,9;164,8;249,7;2 403,3;2 034,9;4 438,2;4 687,9;0,0;4 687,9
2022.;I.;85,4;153,5;238,9;2 396,5;2 038,9;4 435,5;4 674,3;0,0;4 674,3
;II.;84,2;154,2;238,4;2 407,4;2 047,4;4 454,8;4 693,2;0,0;4 693,2
;III.;83,4;157,6;241,0;2 419,8;2 051,3;4 471,1;4 712,2;0,0;4 712,2
;IV.;;;;;;;;;
