20.2.1.22. A 15–74 éves foglalkoztatottak távmunkavégzésének alakulása, háromhavi mozgóátlag;;;;;;;
Év;Idõszak;Az elmúlt 4 hétben távmunkát végzett rendszeresen, fõ;Az elmúlt 4 hétben távmunkát végzett alkalmanként, fõ;Az elmúlt 4 hétben távmunkát nem végzett, fõ;Együtt, fõ;Gyermekgondozási ellátás miatt tartósan távol, fõ;Együtt, fõ
2019. ;január–március; 28 642    ; 64 802    ; 4 403 608    ; 4 497 051    ; 133 950    ; 4 631 001    
;február–április; 30 649    ; 54 548    ; 4 406 444    ; 4 491 641    ; 131 149    ; 4 622 790    
;március–május; 37 885    ; 51 656    ; 4 410 815    ; 4 500 356    ; 133 663    ; 4 634 019    
;április–június; 36 795    ; 47 925    ; 4 426 139    ; 4 510 859    ; 132 281    ; 4 643 141    
;május–július; 42 313    ; 48 843    ; 4 426 750    ; 4 517 906    ; 130 689    ; 4 648 596    
;június–augusztus; 38 574    ; 50 089    ; 4 428 828    ; 4 517 492    ; 133 788    ; 4 651 280    
;július–szeptember; 40 335    ; 45 601    ; 4 435 054    ; 4 520 990    ; 133 199    ; 4 654 189    
;augusztus–október; 38 577    ; 49 603    ; 4 432 273    ; 4 520 453    ; 136 338    ; 4 656 791    
;szeptember–november; 39 758    ; 48 159    ; 4 429 125    ; 4 517 042    ; 132 717    ; 4 649 760    
;október–december; 38 185    ; 59 168    ; 4 422 228    ; 4 519 581    ; 130 354    ; 4 649 935    
;november–2020. január; 40 572    ; 67 751    ; 4 389 362    ; 4 497 685    ; 128 783    ; 4 626 468    
;december–2020. február; 42 846    ; 67 724    ; 4 379 031    ; 4 489 600    ; 134 073    ; 4 623 673    
2020.;január–március; 83 596    ; 107 098    ; 4 275 062    ; 4 465 756    ; 141 017    ; 4 606 773    
;február–április; 188 258    ; 202 270    ; 4 045 401    ; 4 435 929    ; 148 100    ; 4 584 030    
;március–május; 273 992    ; 334 451    ; 3 794 619    ; 4 403 062    ; 146 949    ; 4 550 011    
;április–június; 292 155    ; 403 646    ; 3 712 423    ; 4 408 224    ; 148 139    ; 4 556 363    
;május–július; 199 176    ; 365 413    ; 3 874 345    ; 4 438 933    ; 146 460    ; 4 585 393    
;június–augusztus; 120 288    ; 274 125    ; 4 082 859    ; 4 477 272    ; 142 367    ; 4 619 639    
;július–szeptember; 83 786    ; 197 047    ; 4 204 705    ; 4 485 538    ; 141 666    ; 4 627 204    
;augusztus–október; 90 443    ; 191 070    ; 4 200 931    ; 4 482 445    ; 141 871    ; 4 624 316    
;szeptember–november; 117 299    ; 203 932    ; 4 155 218    ; 4 476 449    ; 140 448    ; 4 616 897    
;október–december; 144 154    ; 228 788    ; 4 109 377    ; 4 482 318    ; 140 259    ; 4 622 577    
;november–2021. január; 172 178    ; 258 690    ; 4 035 486    ; 4 466 355    ; 134 603    ; 4 600 958    
;december–2021. február; 186 585    ; 282 744    ; 3 966 400    ; 4 435 729    ; 137 848    ; 4 573 577    
2021.;január–március; 229 154    ; 339 370    ; 3 859 016    ; 4 427 541    ; 140 064    ; 4 567 605    
;február–április; 259 646    ; 334 804    ; 3 838 492    ; 4 432 943    ; 142 222    ; 4 575 164    
;március–május; 254 385    ; 324 110    ; 3 877 001    ; 4 455 496    ; 138 446    ; 4 593 942    
;április–június; 195 060    ; 279 686    ; 4 005 487    ; 4 480 233    ; 139 015    ; 4 619 249    
;május–július; 135 880    ; 255 878    ; 4 112 432    ; 4 504 190    ; 142 731    ; 4 646 920    
;június–augusztus; 106 008    ; 220 830    ; 4 187 333    ; 4 514 172    ; 145 064    ; 4 659 236    
;július–szeptember; 95 309    ; 199 528    ; 4 225 185    ; 4 520 022    ; 143 396    ; 4 663 417    
;augusztus–október; 89 486    ; 193 785    ; 4 253 701    ; 4 536 972    ; 140 427    ; 4 677 400    
;szeptember–november; 102 892    ; 217 654    ; 4 226 531    ; 4 547 077    ; 140 038    ; 4 687 115    
;október–december; 111 940    ; 225 972    ; 4 208 528    ; 4 546 441    ; 141 488    ; 4 687 929    
;november–2022. január; 124 417    ; 243 856    ; 4 163 273    ; 4 531 546    ; 144 587    ; 4 676 133    
;december–2022. február; 130 586    ; 255 101    ; 4 147 548    ; 4 533 235    ; 141 801    ; 4 675 036    
2022.;január–március; 124 969    ; 252 965    ; 4 159 111    ; 4 537 044    ; 137 281    ; 4 674 325    
;február–április; 112 003    ; 243 636    ; 4 190 424    ; 4 546 064    ; 138 207    ; 4 684 271    
;március–május; 99 105    ; 242 725    ; 4 213 684    ; 4 555 514    ; 137 822    ; 4 693 335    
;április–június; 92 849    ; 252 523    ; 4 208 470    ; 4 553 842    ; 139 379    ; 4 693 221    
;május–július; 83 044    ; 258 853    ; 4 218 022    ; 4 559 920    ; 138 736    ; 4 698 656    
;június–augusztus; 84 375    ; 250 047    ; 4 235 824    ; 4 570 246    ; 141 140    ; 4 711 386    
;július–szeptember; 82 380    ; 248 980    ; 4 239 165    ; 4 570 525    ; 141 649    ; 4 712 174    
;augusztus–október; 84 585    ; 237 896    ; 4 255 858    ; 4 578 339    ; 135 984    ; 4 714 322    
;szeptember–november;;;;;;
;október–december;;;;;;
;november–2023. január;;;;;;
;december–2023. február;;;;;;
