20.2.1.23. A 15–74 éves foglalkoztatottak távmunkavégzésének alakulása, havonta;;;;;;;
Év;Hónap;Az elmúlt 4 hétben távmunkát végzett rendszeresen, fõ;Az elmúlt 4 hétben távmunkát végzett alkalmanként, fõ;Az elmúlt 4 hétben távmunkát nem végzett, fõ;Együtt, fõ;Gyermekgondozási ellátás miatt tartósan távol, fõ;Együtt, fõ
2019.;január; 26 785    ; 69 015    ; 4 424 383    ; 4 520 183    ; 142 000    ; 4 662 183    
;február; 25 019    ; 68 077    ; 4 414 186    ; 4 507 282    ; 134 354    ; 4 641 636    
;március; 34 121    ; 57 313    ; 4 372 255    ; 4 463 689    ; 125 495    ; 4 589 184    
;április; 32 808    ; 38 253    ; 4 432 892    ; 4 503 953    ; 133 596    ; 4 637 549    
;május; 46 727    ; 59 402    ; 4 427 297    ; 4 533 426    ; 141 897    ; 4 675 323    
;június; 30 850    ; 46 120    ; 4 418 229    ; 4 495 199    ; 121 351    ; 4 616 550    
;július; 49 361    ; 41 008    ; 4 434 725    ; 4 525 094    ; 128 820    ; 4 653 914    
;augusztus; 35 511    ; 63 140    ; 4 433 531    ; 4 532 182    ; 151 194    ; 4 683 376    
;szeptember; 36 133    ; 32 654    ; 4 436 907    ; 4 505 694    ; 119 584    ; 4 625 278    
;október; 44 086    ; 53 016    ; 4 426 381    ; 4 523 483    ; 138 235    ; 4 661 718    
;november; 39 054    ; 58 808    ; 4 424 088    ; 4 521 950    ; 140 333    ; 4 662 283    
;december; 31 415    ; 65 680    ; 4 416 216    ; 4 513 311    ; 112 494    ; 4 625 805    
2020.;január; 51 246    ; 78 766    ; 4 327 782    ; 4 457 794    ; 133 522    ; 4 591 316    
;február; 45 877    ; 58 725    ; 4 393 094    ; 4 497 696    ; 156 202    ; 4 653 898    
;március; 153 665    ; 183 802    ; 4 104 311    ; 4 441 778    ; 133 327    ; 4 575 105    
;április; 365 233    ; 364 282    ; 3 638 799    ; 4 368 314    ; 154 771    ; 4 523 085    
;május; 303 079    ; 455 267    ; 3 640 748    ; 4 399 094    ; 152 749    ; 4 551 843    
;június; 208 153    ; 391 389    ; 3 857 722    ; 4 457 264    ; 136 898    ; 4 594 162    
;július; 86 295    ; 249 581    ; 4 124 564    ; 4 460 440    ; 149 732    ; 4 610 173    
;augusztus; 66 415    ; 181 404    ; 4 266 293    ; 4 514 112    ; 140 470    ; 4 654 582    
;szeptember; 98 649    ; 160 155    ; 4 223 259    ; 4 482 063    ; 134 796    ; 4 616 859    
;október; 106 267    ; 231 649    ; 4 113 243    ; 4 451 159    ; 150 348    ; 4 601 507    
;november; 146 980    ; 219 992    ; 4 129 152    ; 4 496 124    ; 136 201    ; 4 632 325    
;december; 179 214    ; 234 722    ; 4 085 735    ; 4 499 671    ; 134 228    ; 4 633 899    
2021.;január; 190 341    ; 321 357    ; 3 891 572    ; 4 403 270    ; 133 380    ; 4 536 650    
;február; 190 199    ; 292 154    ; 3 921 893    ; 4 404 246    ; 145 935    ; 4 550 181    
;március; 306 921    ; 404 601    ; 3 763 585    ; 4 475 106    ; 140 877    ; 4 615 983    
;április; 281 819    ; 307 659    ; 3 829 998    ; 4 419 476    ; 139 853    ; 4 559 329    
;május; 174 415    ; 260 072    ; 4 037 419    ; 4 471 906    ; 134 608    ; 4 606 514    
;június; 128 948    ; 271 326    ; 4 149 045    ; 4 549 319    ; 142 585    ; 4 691 904    
;július;;;;;;
;augusztus;;;;;;
;szeptember;;;;;;
;október;;;;;;
;november;;;;;;
;december;;;;;;
