20.2.1.25. A munkanélküliek száma korcsoportok szerint, nemenként, negyedévente [ezer fõ];;;;;;;;;;;;;;;
Év;Negyedév;15–19 éves;20–24 éves;25–29 éves;30–34 éves;35–39 éves;40–44 éves;45–49 éves;50–54 éves;55–59 éves;60–64 éves;65–69 éves;70–74 éves;Összesen;"Ebbõl:
15–24 éves"
Együtt ;;;;;;;;;;;;;;;
2009.;I.;12,0;60,0;60,6;59,9;48,0;52,3;46,4;35,3;25,8;3,4;...;...;403,6;72,0
;II.;10,4;63,5;61,6;53,3;51,7;49,0;47,0;34,6;26,1;3,0;...;...;400,3;73,8
;III.;10,7;74,1;63,2;55,1;55,0;53,1;48,8;40,4;27,0;3,0;...;...;431,2;84,8
;IV.;12,4;72,0;67,8;53,7;59,5;50,3;48,3;40,4;27,9;2,0;...;...;434,7;84,5
2010.;I.;9,7;70,9;82,4;67,3;69,3;58,6;56,8;43,1;33,1;2,5;...;...;493,8;80,6
;II.;8,8;68,5;70,6;63,7;63,6;57,0;52,8;46,5;35,4;3,6;...;...;470,6;77,2
;III.;10,2;69,6;66,6;62,8;61,6;56,1;45,2;44,8;36,6;4,1;...;...;457,9;79,8
;IV.;10,7;64,6;63,3;60,3;59,1;56,3;50,3;46,6;38,6;4,0;...;...;454,1;75,3
2011.;I.;7,6;68,6;65,8;61,9;69,9;62,6;57,1;50,4;43,4;4,8;...;...;492,2;76,1
;II.;6,6;60,8;58,3;55,7;66,0;61,0;53,9;45,5;45,9;4,6;...;...;458,3;67,4
;III.;10,3;67,9;53,3;54,2;62,7;58,2;51,6;48,0;44,4;5,4;...;...;456,3;78,2
;IV.;9,1;66,9;58,7;49,6;64,9;56,2;47,8;49,2;46,4;5,6;...;...;455,0;76,0
2012.;I.;8,0;71,3;65,3;62,4;73,1;58,1;56,8;55,5;49,3;5,2;...;...;506,0;79,3
;II.;9,7;71,1;64,7;60,7;67,9;49,3;45,4;52,5;42,8;6,4;...;...;471,9;80,8
;III.;13,9;77,8;64,8;56,0;63,1;50,2;41,4;42,7;36,5;6,4;...;...;453,7;91,6
;IV.;11,5;75,3;66,2;57,1;66,6;53,4;45,0;42,1;35,3;6,1;...;...;459,5;86,8
2013.;I.;11,4;79,2;67,8;65,3;65,5;61,3;51,5;45,4;41,1;4,9;...;...;494,7;90,6
;II.;13,9;63,9;53,2;56,9;58,2;56,9;46,6;39,9;42,2;7,1;...;...;439,8;77,8
;III.;14,9;73,4;50,5;50,2;58,3;52,3;41,6;38,5;41,1;7,5;...;...;428,9;88,3
;IV.;13,8;63,3;51,4;42,3;47,6;52,6;48,1;34,1;34,3;9,5;...;...;397,4;77,2
2014.;I.;11,6;56,5;48,6;40,7;47,8;46,0;41,9;30,4;29,8;9,5;...;...;363,0;68,2
