20.2.1.26. A munkanélküliek száma legmagasabb iskolai végzettségük szerint, nemenként, negyedévente [ezer fõ];;;;;;;;;
Év;Negyedév;8 általános iskolánál kevesebb;Általános iskola 8. osztálya;Középfokú végzettség érettségi nélkül, szakmai végzettséggel;Középfokú végzettség érettségivel, szakmai végzettség nélkül;Középfokú végzettség érettségivel, szakmai végzettséggel;Felsõfokú végzettség, fõiskola vagy alapképzés;Felsõfokú végzettség, egyetem vagy mesterképzés;Összesen
Együtt ;;;;;;;;;
2009.;I.;7,8;125,8;138,8;30,8;69,2;25,6;5,7;403,6
;II.;8,1;118,6;137,4;31,1;73,5;23,8;7,8;400,3
;III.;6,5;125,3;148,9;33,8;77,4;28,1;11,2;431,2
;IV.;7,3;126,1;146,4;35,5;77,5;30,8;11,1;434,7
2010.;I.;8,9;140,8;170,3;40,8;90,6;29,5;13,0;493,8
;II.;9,8;134,4;159,6;35,7;89,4;28,1;13,5;470,6
;III.;10,4;123,9;147,6;37,0;90,3;33,3;15,4;457,9
;IV.;11,8;130,0;148,4;37,8;84,8;27,8;13,5;454,1
2011.;I.;12,3;141,7;168,2;38,4;87,6;31,0;13,0;492,2
;II.;10,9;124,4;156,7;37,6;89,2;26,9;12,6;458,3
;III.;9,9;124,9;149,7;41,4;85,7;31,2;13,6;456,3
;IV.;9,7;126,5;146,0;41,2;88,4;31,1;12,1;455,0
2012.;I.;11,6;138,2;164,7;43,4;100,0;32,5;15,5;506,0
;II.;10,4;124,9;156,7;44,4;88,5;32,6;14,4;471,9
;III.;7,8;122,5;141,9;46,9;87,9;31,1;15,5;453,7
;IV.;8,2;122,6;149,9;48,2;83,9;32,6;14,1;459,5
2013.;I.;10,2;131,7;170,5;45,8;93,2;30,9;12,4;494,7
;II.;8,8;118,0;146,0;43,0;81,5;30,5;11,9;439,8
;III.;6,5;118,5;138,8;41,4;81,3;29,4;13,0;428,9
;IV.;7,9;107,8;125,7;38,6;77,8;28,3;11,3;397,4
2014.;I.;7,3;96,7;110,7;40,3;71,9;25,3;10,8;363,0
;II.;10,0;101,2;113,2;34,4;65,5;23,2;11,3;358,8
;III.;8,0;94,8;96,3;37,1;59,9;25,4;9,9;331,4
;IV.;5,9;95,2;97,9;29,7;55,4;24,3;9,9;318,3
2015.;I.;10,2;105,5;109,6;32,8;60,5;21,1;7,7;347,3
;II.;9,3;96,8;88,3;34,1;53,9;18,3;9,6;310,3
;III.;6,2;88,3;84,9;32,1;50,2;20,2;10,5;292,4
;IV.;7,0;88,4;83,2;31,3;45,7;15,6;9,3;280,6
2016.;I.;6,5;81,3;85,5;34,2;39,8;16,1;9,0;272,6
;II.;5,9;75,1;69,8;28,1;37,7;9,9;7,6;234,1
;III.;5,2;71,0;63,8;25,9;37,2;11,9;11,1;226,2
;IV.;6,0;65,8;57,1;24,6;33,7;10,2;7,6;205,0
2017.;I.;6,5;66,6;56,7;23,2;30,8;14,2;8,6;206,6
;II.;7,1;63,7;54,1;26,2;27,4;11,5;6,3;196,2
;III.;6,6;55,1;53,7;28,6;27,5;12,2;4,5;188,2
;IV.;6,5;51,6;49,7;24,4;25,0;12,4;5,5;175,2
2018.;I.;6,9;56,0;48,6;24,1;26,1;9,6;6,5;177,8
;II.;5,0;56,7;44,4;20,6;24,8;7,8;5,8;165,0
;III.;4,2;49,3;46,0;23,5;31,2;13,8;10,2;178,2
