20.2.1.27. A munkanélküliek száma elõzõ munkahelyük nemzetgazdasági ága, ágazata szerint, nemenként, negyedévente – TEÁOR'08 [ezer fõ]  ;;;;;;;;;;;;;;;;;;;;;
Év;Negyedév;8 éven belüli munkatapasztalattal rendelkezõk, mezõgazdaság, erdõgazdálkodás, halászat A;8 éven belüli munkatapasztalattal rendelkezõk, ipari szektor B–F;8 éven belüli munkatapasztalattal rendelkezõk, ebbõl: feldolgozóipar C;8 éven belüli munkatapasztalattal rendelkezõk, ebbõl: élelmiszer, ital, dohánytermék gyártása CA;8 éven belüli munkatapasztalattal rendelkezõk, ebbõl: textília, ruházat, bõr, és bõrtermék gyártása CB;8 éven belüli munkatapasztalattal rendelkezõk, ebbõl: fémalapanyag és fémfeldolgozási termék gyártása CH;8 éven belüli munkatapasztalattal rendelkezõk, ebbõl: számítógép, elektronikai, optikai termék gyártása CI;8 éven belüli munkatapasztalattal rendelkezõk, ebbõl: jármûgyártás CL;8 éven belüli munkatapasztalattal rendelkezõk, ebbõl: építõipar F;8 éven belüli munkatapasztalattal rendelkezõk, szolgáltatások G–U;8 éven belüli munkatapasztalattal rendelkezõk, ebbõl: kereskedelem, gépjármûjavítás G;8 éven belüli munkatapasztalattal rendelkezõk, ebbõl: szállítás, raktározás H;8 éven belüli munkatapasztalattal rendelkezõk, ebbõl: szálláshely-szolgáltatás, vendéglátás I;8 éven belüli munkatapasztalattal rendelkezõk, ebbõl: adminisztratív és szolgáltatást támogató tevékenység N;"8 éven belüli munkatapasztalattal rendelkezõk, ebbõl: közigazgatás, védelem; kötelezõ társadalombiztosítás O";8 éven belüli munkatapasztalattal rendelkezõk, ebbõl: humán egészségügyi, szociális ellátás Q;8 éven belüli munkatapasztalattal rendelkezõk, összesen A–U;8 éve vagy régebben dolgozott vagy ismeretlen;Soha nem dolgozott;Munkanélküliek összesen
Együtt ;;;;;;;;;;;;;;;;;;;;;
2009.;I.;12,0;147,1;101,1;19,5;13,3;8,2;18,0;8,7;40,9;164,1;39,3;15,9;16,9;11,0;39,5;10,2;323,3;30,9;49,4;403,6
;II.;9,0;150,9;108,0;20,5;11,4;10,6;16,6;10,2;38,1;166,1;46,1;13,1;18,3;13,9;33,5;8,1;326,0;30,5;43,9;400,3
;III.;10,3;161,9;116,5;18,6;13,3;14,1;20,9;9,6;40,3;169,7;48,2;12,7;18,2;14,6;33,4;6,9;341,9;31,9;57,4;431,2
;IV.;10,3;152,8;110,3;16,4;14,0;12,9;18,0;8,6;37,4;184,3;48,3;15,1;21,3;13,6;37,4;6,5;347,4;31,1;56,2;434,7
2010.;I.;12,6;174,0;120,2;23,3;13,9;14,5;17,0;10,6;48,6;220,5;57,5;18,2;24,3;19,7;47,7;8,2;407,1;34,1;52,6;493,8
;II.;12,9;160,0;109,8;21,3;14,2;13,7;15,1;9,4;43,8;208,1;54,3;19,8;22,1;18,3;42,7;9,2;381,0;35,6;54,0;470,6
;III.;15,6;144,1;99,8;18,5;11,8;11,4;12,8;8,1;38,8;201,7;56,0;18,9;21,7;15,4;39,5;10,2;361,4;32,7;63,9;457,9
;IV.;15,5;140,1;88,6;18,7;10,7;8,6;11,9;7,0;45,2;206,6;54,6;19,8;22,6;17,0;46,6;9,0;362,2;32,2;59,7;454,1
2011.;I.;15,3;140,8;86,9;17,1;9,8;8,1;13,8;6,4;48,5;241,9;54,7;19,8;19,8;17,4;74,2;12,7;398,0;38,6;55,5;492,2
;II.;13,1;132,4;83,1;16,4;8,8;6,9;11,9;5,1;44,1;222,3;52,3;17,7;19,6;16,7;61,2;14,3;367,8;39,0;51,6;458,3
