20.2.1.28. A munkanélküliek száma az elõzõ foglalkozásuk fõcsoportja szerint, nemenként, negyedévente – FEOR'08 [ezer fõ];;;;;;;;;;;;;;;;;
Év;Negyedév;8 éven belüli munkatapasztalattal rendelkezõk, gazdasági, igazgatási, érdek-képviseleti vezetõk, törvényhozók 1.;8 éven belüli munkatapasztalattal rendelkezõk, felsõfokú képzettség önálló alkalmazását igénylõ foglalkozások 2.;8 éven belüli munkatapasztalattal rendelkezõk, egyéb felsõfokú vagy középfokú képzettséget igénylõ foglalkozások 3.;8 éven belüli munkatapasztalattal rendelkezõk, irodai és ügyviteli (ügyfélkapcsolati) foglalkozások 4.;8 éven belüli munkatapasztalattal rendelkezõk, szellemi foglalkozások összesen 1–4.;8 éven belüli munkatapasztalattal rendelkezõk, kereskedelmi és szolgáltatási foglalkozások 5.;8 éven belüli munkatapasztalattal rendelkezõk, mezõgazdasági és erdõgazdálkodási foglalkozások 6.;8 éven belüli munkatapasztalattal rendelkezõk, ipari és építõipari foglalkozások 7.;8 éven belüli munkatapasztalattal rendelkezõk, gépkezelõk, összeszerelõk, jármûvezetõk 8.;8 éven belüli munkatapasztalattal rendelkezõk, szakképzettséget nem igénylõ (egyszerû) foglalkozások 9.;8 éven belüli munkatapasztalattal rendelkezõk, fizikai foglalkozások összesen 5–9.;8 éven belüli munkatapasztalattal rendelkezõk, fegyveres szervek foglalkozásai 0.;8 éven belüli munkatapasztalattal rendelkezõk, összesen 0–9.;8 éve vagy régebben dolgozott vagy ismeretlen;Soha nem dolgozott;Munkanélküliek összesen
Együtt ;;;;;;;;;;;;;;;;;
2011.;I.;6,8;14,1;29,5;20,8;71,2;64,7;9,7;74,7;60,6;116,7;326,4;0,4;398,0;38,6;55,5;492,2
;II.;5,7;14,0;34,6;20,1;74,4;61,7;8,0;71,0;56,3;96,1;293,0;0,4;367,8;39,0;51,6;458,3
;III.;5,4;15,9;33,3;20,8;75,4;62,2;10,6;61,6;55,1;91,4;280,9;0,3;356,6;35,4;64,3;456,3
;IV.;5,4;16,8;28,0;18,3;68,5;64,7;11,4;62,8;54,1;100,9;293,9;0,5;362,8;33,8;58,3;455,0
2012.;I.;4,9;18,3;34,8;19,2;77,2;70,4;13,7;69,0;59,0;121,9;333,9;0,4;411,5;36,1;58,4;506,0
;II.;4,4;18,2;32,5;19,0;74,0;64,9;11,3;67,7;56,5;99,3;299,8;0,7;374,5;34,5;63,0;471,9
;III.;4,7;12,0;31,6;21,0;69,3;58,7;10,3;57,9;51,4;96,3;274,6;0,3;344,2;28,8;80,7;453,7
;IV.;5,9;13,0;29,9;21,7;70,5;62,8;11,3;61,6;50,1;100,1;285,7;0,3;356,6;26,6;76,3;459,5
2013.;I.;6,7;12,7;28,1;22,2;69,7;68,3;12,1;69,0;48,7;123,6;321,8;0,3;391,8;32,7;70,2;494,7
;II.;5,7;10,6;26,2;23,9;66,5;63,6;6,7;57,0;43,4;97,0;267,7;0,6;334,8;34,7;70,3;439,8
;III.;6,0;13,0;24,7;19,9;63,6;60,4;6,1;52,6;39,1;88,9;247,1;0,3;311,1;34,6;83,3;428,9
;IV.;6,2;12,9;24,8;15,4;59,3;58,5;6,4;47,9;38,7;80,0;231,5;0,5;291,2;34,3;71,9;397,4
2014.;I.;5,9;8,7;25,7;12,6;52,8;57,6;6,1;43,3;35,8;75,3;218,1;0,8;271,7;28,8;62,5;363,0
;II.;4,1;10,1;25,1;12,7;52,0;47,0;5,9;40,0;36,8;81,3;210,9;1,2;264,1;31,7;63,0;358,8
;III.;4,6;8,1;26,0;10,9;49,6;42,3;6,7;30,6;36,2;71,1;186,9;0,1;236,6;28,6;66,2;331,4
;IV.;3,6;7,6;24,9;10,9;47,0;36,9;6,4;35,8;36,5;78,1;193,7;0,2;240,9;24,9;52,4;318,3
2015.;I.;3,2;8,2;22,8;13,2;47,4;38,6;7,1;41,3;40,2;93,3;220,4;0,1;267,9;31,9;47,4;347,3
;II.;4,3;7,6;20,1;14,3;46,2;36,9;5,0;34,6;34,1;74,3;184,9;0,1;231,2;28,8;50,2;310,3
;III.;3,8;7,9;15,5;13,2;40,5;33,5;3,6;32,6;31,7;66,9;168,4;0,1;208,9;29,0;54,5;292,4
;IV.;3,4;7,9;14,6;12,7;38,6;34,8;5,7;29,1;27,6;74,6;171,8;0,0;210,4;22,3;47,9;280,6
2016.;I.;2,5;7,7;14,0;13,5;37,7;29,1;4,6;33,1;22,2;78,3;167,3;0,1;205,1;26,7;40,7;272,6
;II.;2,5;5,6;10,9;11,3;30,3;26,9;3,9;25,6;19,6;67,6;143,6;0,0;173,9;22,5;37,8;234,1
;III.;3,3;9,8;12,7;7,5;33,3;29,6;3,2;20,4;20,2;62,6;136,2;0,0;169,5;19,3;37,4;226,2
;IV.;1,5;7,2;10,6;8,0;27,3;28,2;3,0;21,6;16,8;56,0;125,6;0,0;152,9;19,2;32,9;205,0
2017.;I.;2,6;7,2;14,0;9,3;33,1;25,5;4,4;19,8;19,4;55,6;124,7;0,0;157,8;18,3;30,5;206,6
;II.;3,5;5,0;12,9;7,0;28,4;26,9;3,5;19,6;18,0;54,9;123,0;0,0;151,4;16,9;27,9;196,2
;III.;3,8;5,2;11,1;7,0;27,0;24,4;3,7;18,6;17,2;46,1;110,0;0,0;137,1;14,8;36,3;188,2
