20.2.1.29. A munkanélküliek száma az elõzõ foglalkozásuk jellege szerint, nemenként, negyedévente [ezer fõ];;;;;;;;;
Év;Negyedév;8 éven belüli munkatapasztalattal rendelkezõ, alkalmazottak összesen;8 éven belüli munkatapasztalattal rendelkezõ, nem alkalmazottak, összesen;8 éven belüli munkatapasztalattal rendelkezõ, nem alkalmazottak, ebbõl: társas vállalkozás tagja;8 éven belüli munkatapasztalattal rendelkezõ, nem alkalmazottak, ebbõl: egyéni vállalkozó, önálló;8 éven belüli munkatapasztalattal rendelkezõ, összesen;8 éve vagy régebben dolgozott vagy ismeretlen;Soha nem dolgozott;Munkanélküliek összesen
Együtt ;;;;;;;;;
2009.;I.;311,8;11,5;1,6;9,6;323,3;30,9;49,4;403,6
;II.;313,7;12,3;1,9;10,0;326,0;30,5;43,9;400,3
;III.;329,8;12,0;1,1;10,5;341,9;31,9;57,4;431,2
;IV.;332,5;14,9;1,7;12,8;347,4;31,1;56,2;434,7
2010.;I.;384,5;22,6;3,7;18,5;407,1;34,1;52,6;493,8
;II.;359,4;21,6;3,2;18,1;381,0;35,6;54,0;470,6
;III.;341,6;19,7;4,0;15,4;361,4;32,7;63,9;457,9
;IV.;343,1;19,0;3,9;14,5;362,2;32,2;59,7;454,1
2011.;I.;378,4;19,6;3,1;15,6;398,0;38,6;55,5;492,2
;II.;350,2;17,6;2,0;14,6;367,8;39,0;51,6;458,3
;III.;340,1;16,4;2,5;12,6;356,6;35,4;64,3;456,3
;IV.;346,7;16,2;1,5;13,8;362,8;33,8;58,3;455,0
2012.;I.;396,3;15,3;1,5;12,5;411,5;36,1;58,4;506,0
;II.;359,5;15,0;2,4;11,0;374,5;34,5;63,0;471,9
;III.;331,8;12,4;2,2;9,3;344,2;28,8;80,7;453,7
;IV.;341,3;15,2;4,1;9,8;356,6;26,6;76,3;459,5
2013.;I.;372,9;18,9;5,0;13,2;391,8;32,7;70,2;494,7
;II.;320,5;14,3;4,1;9,4;334,8;34,7;70,3;439,8
;III.;294,5;16,5;5,8;10,5;311,1;34,6;83,3;428,9
;IV.;273,3;17,9;5,5;11,5;291,2;34,3;71,9;397,4
2014.;I.;253,2;18,6;5,0;12,6;271,7;28,8;62,5;363,0
;II.;250,3;15,4;4,5;9,9;265,6;30,2;63,0;358,8
;III.;224,7;12,6;2,6;9,7;237,3;27,9;66,2;331,4
;IV.;227,1;13,8;3,7;9,0;241,0;24,8;52,4;318,3
2015.;I.;255,5;12,5;2,0;9,0;268,0;31,9;47,4;347,3
;II.;223,9;9,4;1,0;8,3;233,3;26,8;50,2;310,3
;III.;200,8;8,9;1,5;6,9;209,7;28,2;54,5;292,4
;IV.;204,4;6,8;1,3;5,4;211,2;21,5;47,9;280,6
2016.;I.;199,2;6,9;1,3;5,1;206,0;25,8;40,7;272,6
;II.;168,5;5,9;1,0;4,5;174,4;21,9;37,8;234,1
;III.;162,9;7,4;2,1;5,3;170,3;18,5;37,4;226,2
;IV.;146,1;7,3;1,8;5,5;153,4;18,7;32,9;205,0
2017.;I.;151,1;7,0;1,7;5,2;158,1;18,0;30,5;206,6
;II.;142,8;8,6;1,2;7,2;151,4;16,9;27,9;196,2
;III.;128,5;9,0;2,5;6,4;137,5;14,3;36,3;188,2
;IV.;124,3;6,8;1,5;4,6;131,1;13,3;30,7;175,2
2018.;I.;130,2;7,4;0,6;6,5;137,7;14,6;25,5;177,8
;II.;121,2;6,5;0,7;4,6;127,6;11,0;26,5;165,0
;III.;127,6;3,9;0,7;2,8;131,5;12,6;34,1;178,2
;IV.;126,9;3,2;0,6;2,1;130,1;12,1;24,2;166,3
2019.;I.;129,4;1,3;0,5;0,8;130,7;8,4;25,9;165,0
;II.;116,6;1,8;0,6;0,9;118,5;9,7;27,0;155,2
;III.;115,4;2,9;1,0;1,8;118,3;9,9;34,2;162,4
;IV.;112,4;0,8;0,1;0,6;113,2;10,7;29,3;153,1
2020.;I.;132,8;3,3;1,3;1,7;136,1;10,9;26,0;173,0
;II.;174,1;4,0;1,3;2,7;178,1;7,2;28,9;214,2
;III.;156,7;7,6;1,9;4,4;164,3;9,2;34,3;207,8
;IV.;155,8;5,5;1,1;3,6;161,3;7,4;26,6;195,4
2021.;I.;170,1;6,4;1,0;4,8;176,5;7,5;30,7;214,8
;II.;152,2;5,4;0,4;5,0;157,6;8,1;32,2;198,0
;III.;140,1;6,1;1,0;4,8;146,2;6,2;37,3;189,7
;IV.;138,1;6,2;1,9;3,6;144,2;7,1;29,0;180,3
2022.;I.;142,8;5,1;0,0;5,1;147,9;9,9;23,3;181,1
;II.;124,4;1,2;0,3;0,9;125,6;11,3;20,1;156,9
;III.;132,4;4,8;0,4;4,1;137,2;12,4;28,6;178,3
;IV.;;;;;;;;
Ebbõl:;;;;;;;;;
férfi;;;;;;;;;
2009.;I.;177,5;6,7;0,6;5,9;184,2;15,2;26,0;225,4
;II.;178,3;7,8;1,3;6,4;186,1;14,5;23,4;224,0
;III.;186,8;7,2;0,6;6,5;194,0;14,1;30,8;238,9
;IV.;189,2;7,9;0,8;6,9;197,2;12,9;29,0;239,1
2010.;I.;228,9;12,4;1,6;10,7;241,3;13,4;28,2;282,9
