20.2.1.30. A munkanélküliek száma a munkakeresés idõtartama szerint, nemenként, negyedévente;;;;;;;;;;;;
Év;Negyedév;1-nél kevesebb hónap, ezer fõ;1–3 hónap, ezer fõ;4–6 hónap, ezer fõ;7–11 hónap, ezer fõ;12 hónap, ezer fõ;13–18 hónap, ezer fõ;19–23 hónap, ezer fõ;24 hónap, ezer fõ;25 és több hónap, ezer fõ;Munkanélküliek összesen, ezer fõ;Munkanélküliség átlagos idõtartama, hónap
Együtt ;;;;;;;;;;;;
2009.;I.;27,0;88,6;61,8;61,7;13,3;47,2;17,1;7,0;79,9;403,6;11,8
;II.;18,5;69,0;78,5;71,5;17,4;44,1;20,3;6,4;74,6;400,3;11,9
;III.;18,6;79,4;62,2;93,4;19,7;52,4;19,5;8,3;77,7;431,2;12,0
;IV.;18,7;69,0;73,5;85,4;20,8;61,1;20,8;6,5;79,1;434,7;12,3
2010.;I.;16,3;101,6;70,6;91,4;22,1;78,1;22,0;7,3;84,4;493,8;12,0
;II.;19,8;50,9;80,4;88,9;22,1;75,8;29,5;11,2;92,0;470,6;13,4
;III.;20,3;64,4;48,2;86,2;21,0;78,0;35,0;12,7;92,2;457,9;14,0
;IV.;16,5;67,5;59,3;75,5;24,7;68,6;34,7;13,1;94,1;454,1;14,2
2011.;I.;30,8;91,1;63,3;73,8;16,3;72,5;28,8;11,7;103,9;492,2;13,0
;II.;22,7;61,5;77,4;71,4;17,6;66,1;30,4;11,6;99,6;458,3;13,6
;III.;33,6;77,5;51,1;76,6;20,2;57,6;32,7;8,7;98,3;456,3;13,0
;IV.;35,6;72,8;67,8;68,4;17,2;60,9;25,4;8,8;98,2;455,0;12,8
2012.;I.;30,3;98,0;76,3;83,7;16,6;64,0;24,9;7,6;104,6;506,0;12,0
;II.;31,3;59,0;74,8;90,3;22,8;59,1;25,8;9,0;99,8;471,9;12,9
;III.;46,1;65,0;48,4;88,5;20,0;57,2;25,1;13,2;90,2;453,7;12,7
;IV.;56,8;57,0;61,9;67,0;25,9;57,2;24,2;14,6;94,9;459,5;12,9
2013.;I.;75,1;77,0;69,0;61,7;21,3;60,0;25,4;13,9;91,3;494,7;11,4
;II.;48,2;43,2;67,7;73,2;23,4;50,8;27,9;17,7;87,6;439,8;13,0
;III.;44,2;46,9;43,0;71,2;24,7;46,0;28,5;23,6;100,8;428,9;14,0
;IV.;38,0;45,5;48,1;52,4;24,9;46,7;20,5;17,1;104,2;397,4;14,2
2014.;I.;42,6;51,7;45,4;43,7;18,9;41,9;14,6;13,1;91,1;363,0;13,1
;II.;44,3;44,8;51,4;47,2;19,6;36,7;16,2;12,6;86,1;358,8;12,9
;III.;34,7;47,4;44,3;50,5;17,9;30,7;15,8;14,6;75,4;331,4;12,9
;IV.;34,1;41,3;45,3;51,4;16,1;33,4;12,7;12,8;71,1;318,3;12,6
2015.;I.;43,1;56,1;43,6;54,6;17,2;37,7;11,7;9,7;73,5;347,3;11,6
;II.;30,5;49,9;40,5;46,4;19,1;30,9;11,5;13,0;68,6;310,3;12,6
;III.;33,6;40,8;38,0;41,3;15,5;27,6;15,0;10,4;70,2;292,4;13,1
;IV.;30,9;42,5;34,4;42,6;17,5;28,8;12,3;9,3;62,2;280,6;12,8
2016.;I.;37,4;38,8;34,7;34,8;13,3;28,5;14,9;10,5;59,8;272,6;12,7
;II.;30,7;26,5;33,8;30,2;12,3;25,0;9,5;11,3;54,8;234,1;13,1
;III.;32,6;35,9;24,6;29,8;9,9;23,7;12,2;8,5;49,0;226,2;12,2
;IV.;25,7;31,8;27,4;26,6;12,2;20,9;8,9;6,2;45,2;205,0;12,2
2017.;I.;27,6;36,6;29,6;24,1;7,8;25,4;8,2;6,1;41,1;206,6;11,4
;II.;25,3;31,5;27,9;29,2;9,3;21,0;10,2;5,5;36,4;196,2;11,8
;III.;28,3;36,5;26,4;25,6;8,9;15,4;8,4;7,7;31,0;188,2;10,8
;IV.;25,2;31,3;26,9;24,6;9,9;15,8;5,3;3,2;32,9;175,2;10,8
2018.;I.;23,6;29,1;30,4;22,3;8,4;17,8;7,3;3,6;35,3;177,8;11,2
;II.;21,3;23,0;26,0;28,1;8,8;17,3;6,0;3,6;31,0;165,0;11,6
;III.;33,8;36,0;21,6;20,7;9,0;14,9;7,5;6,2;28,4;178,2;10,3
;IV.;26,9;34,5;24,4;19,8;8,8;11,2;6,3;6,8;27,8;166,3;10,7
2019.;I.;24,4;35,6;29,0;18,2;7,0;14,5;4,9;6,0;25,3;165,0;10,2
;II.;27,2;21,8;27,3;26,8;6,1;10,2;5,4;5,8;24,5;155,2;10,5
;III.;31,6;30,4;26,7;22,3;7,9;13,7;5,6;4,0;20,2;162,4;9,2
;IV.;29,5;31,5;26,8;22,7;7,8;12,6;4,8;2,1;15,4;153,1;8,4
