20.2.1.31. A munkanélküliek száma az elõzõ munkahelyük megszûnésének oka szerint, nemenként, negyedévente [ezer fõ];;;;;;;;;;
Év;Negyedév;Volt már korábban rendszeres munkája, elveszítette az állását, vállalkozása tönkrement;Volt már korábban rendszeres munkája, felmondott, vállalkozása megszûnt;Volt már korábban rendszeres munkája, idõszakos vagy szezonális munkája befejezõdött;Volt már korábban rendszeres munkája, közfoglalkoztatása befejezõdött;Volt már korábban rendszeres munkája, családi kötöttségek miatt;Volt már korábban rendszeres munkája, egyéb okból;Volt már korábban rendszeres munkája, összesen;Soha nem dolgozott ;Munkanélküliek összesen
Együtt ;;;;;;;;;;
2009.;I.;221,3;30,1;25,8;32,2;13,3;31,3;354,1;49,4;403,6
;II.;239,9;24,8;18,6;26,4;14,3;32,5;356,5;43,9;400,3
;III.;258,8;23,7;17,6;23,9;14,7;35,0;373,7;57,4;431,2
;IV.;259,9;24,5;19,7;27,8;14,2;32,4;378,4;56,2;434,7
2010.;I.;304,8;25,4;27,2;36,6;14,6;32,6;441,2;52,6;493,8
;II.;289,4;26,3;24,3;29,6;14,6;32,5;416,6;54,0;470,6
;III.;273,4;26,6;20,0;29,1;14,5;30,4;394,0;63,9;457,9
;IV.;262,3;25,2;24,2;34,5;16,4;31,7;394,4;59,7;454,1
2011.;I.;273,9;27,3;24,6;59,7;17,6;33,5;436,6;55,5;492,2
;II.;265,0;24,5;19,6;46,9;15,9;34,9;406,8;51,6;458,3
;III.;244,3;26,4;20,5;47,9;17,3;35,6;392,0;64,3;456,3
;IV.;249,1;25,8;27,5;49,5;12,0;32,7;396,6;58,3;455,0
2012.;I.;279,0;27,6;31,1;62,1;13,2;34,6;447,6;58,4;506,0
;II.;270,2;25,2;28,6;42,9;12,5;29,5;409,0;63,0;471,9
;III.;263,1;18,5;23,3;36,1;9,1;22,9;372,9;80,7;453,7
;IV.;267,4;19,2;21,9;40,5;10,9;23,2;383,1;76,3;459,5
2013.;I.;281,1;22,3;30,4;59,4;8,9;22,4;424,5;70,2;494,7
;II.;261,4;18,3;16,9;38,4;12,7;21,7;369,4;70,3;439,8
;III.;241,0;19,7;17,3;33,3;12,5;21,9;345,6;83,3;428,9
;IV.;220,5;20,4;20,1;30,8;11,0;22,7;325,5;71,9;397,4
2014.;I.;196,7;24,7;17,1;33,2;12,3;16,4;300,5;62,5;363,0
;II.;180,6;25,8;15,0;47,8;10,5;16,2;295,9;63,0;358,8
;III.;156,2;24,8;15,6;42,2;10,3;16,2;265,2;66,2;331,4
;IV.;154,2;23,2;17,5;45,8;9,1;16,0;265,8;52,4;318,3
2015.;I.;159,9;28,6;23,3;58,3;11,9;17,7;299,9;47,4;347,3
;II.;142,4;27,2;19,3;45,2;10,1;15,8;260,1;50,2;310,3
;III.;132,3;25,1;15,0;34,8;11,7;19,0;237,9;54,5;292,4
;IV.;122,5;22,5;18,9;37,7;11,8;19,3;232,7;47,9;280,6
2016.;I.;120,1;23,8;19,0;42,1;10,2;16,6;231,8;40,7;272,6
;II.;104,2;19,7;16,2;34,1;8,2;13,9;196,3;37,8;234,1
;III.;101,2;21,8;14,7;31,9;7,9;11,3;188,8;37,4;226,2
;IV.;91,0;19,0;14,1;29,5;7,1;11,4;172,1;32,9;205,0
2017.;I.;86,6;21,8;12,0;34,5;9,4;11,7;176,1;30,5;206,6
;II.;83,2;21,5;7,0;34,7;8,3;13,7;168,3;27,9;196,2
;III.;71,1;20,3;9,6;29,0;8,4;13,6;151,9;36,3;188,2
;IV.;65,1;22,4;11,8;24,1;11,2;9,9;144,5;30,7;175,2
2018.;I.;67,7;26,1;12,2;26,3;8,7;11,3;152,3;25,5;177,8
;II.;59,9;24,3;8,0;25,9;8,3;12,2;138,6;26,5;165,0
;III.;60,9;23,4;11,1;23,5;11,3;14,0;144,1;34,1;178,2
;IV.;58,2;23,7;11,8;20,5;12,7;15,4;142,2;24,2;166,3
2019.;I.;59,2;23,9;9,5;17,5;10,2;18,7;139,1;25,9;165,0
;II.;54,6;23,1;10,8;18,3;8,6;12,8;128,1;27,0;155,2
;III.;50,0;28,8;7,3;15,6;10,2;16,3;128,2;34,2;162,4
;IV.;53,6;29,2;8,9;12,6;8,5;11,1;123,9;29,3;153,1
2020.;I.;67,6;28,9;10,1;11,4;12,4;16,6;147,0;26,0;173,0
;II.;114,3;28,0;9,0;9,7;8,7;15,6;185,3;28,9;214,2
;III.;97,0;31,2;7,3;9,1;11,5;17,4;173,5;34,3;207,8
;IV.;96,8;24,0;8,8;10,3;9,7;19,1;168,7;26,6;195,4
2021.;I.;94,8;23,2;14,2;13,7;7,1;31,0;184,1;30,7;214,8
;II.;81,2;21,7;13,6;18,6;6,6;24,0;165,8;32,2;198,0
;III.;82,0;22,8;7,8;16,8;5,0;18,0;152,4;37,3;189,7
;IV.;71,8;25,8;14,0;16,8;6,3;16,7;151,3;29,0;180,3
2022.;I.;71,5;28,2;13,5;15,9;7,4;21,3;157,8;23,3;181,1
;II.;61,2;27,0;8,4;13,5;5,9;20,9;136,8;20,1;156,9
;III.;61,8;30,2;12,9;15,5;7,4;21,8;149,6;28,6;178,3
;IV.;;;;;;;;;
Ebbõl:;;;;;;;;;;
férfi;;;;;;;;;;
2009.;I.;126,2;17,8;16,3;22,1;1,8;15,2;199,4;26,0;225,4
;II.;139,4;13,7;11,7;18,0;1,1;16,7;200,6;23,4;224,0
;III.;150,3;13,1;10,8;15,7;1,5;16,7;208,1;30,8;238,9
;IV.;150,7;13,3;12,0;18,0;1,5;14,6;210,1;29,0;239,1
2010.;I.;182,4;14,6;17,8;23,6;1,5;14,7;254,7;28,2;282,9
;II.;172,2;15,2;13,9;19,0;1,3;15,7;237,3;29,6;266,9
;III.;157,9;14,2;10,3;17,8;1,4;13,5;215,3;33,7;248,9
;IV.;152,5;12,4;13,1;20,9;1,4;16,0;216,3;31,9;248,2
2011.;I.;160,0;13,7;15,4;36,3;1,1;16,9;243,4;31,6;274,9
;II.;149,9;14,2;11,0;27,5;0,9;15,5;218,9;26,2;245,1
;III.;140,6;15,4;11,6;28,0;0,7;13,9;210,2;33,0;243,3
;IV.;143,6;12,8;16,0;29,5;0,7;11,4;214,0;28,6;242,6
