20.2.1.33. Munkanélküliségi ráta korcsoportok szerint, nemenként, negyedévente [%];;;;;;;;;;;;;;;
Év;Negyedév;15–19 éves;20–24 éves;25–29 éves;30–34 éves;35–39 éves;40–44 éves;45–49 éves;50–54 éves;55–59 éves;60–64 éves;65–69 éves;70–74 éves;Összesen;"Ebbõl:
15–24 éves"
Együtt ;;;;;;;;;;;;;;;
2009.;I.;51,6;22,1;10,5;8,9;7,4;8,9;8,5;7,3;7,2;4,2;             ...;             ...;9,4;24,4
;II.;47,1;22,8;10,8;7,9;7,8;8,3;8,6;7,1;7,0;3,7;             ...;             ...;9,3;24,6
;III.;46,2;25,4;11,3;8,2;8,2;9,0;9,1;8,2;7,1;3,8;             ...;             ...;10,0;26,9
;IV.;53,7;25,1;12,3;8,1;8,8;8,5;9,0;8,2;7,2;2,4;             ...;             ...;10,0;27,2
2010.;I.;49,9;25,2;15,1;10,1;10,2;9,8;10,6;8,8;8,4;3,2;             ...;             ...;11,4;26,8
;II.;44,7;24,7;13,2;9,5;9,3;9,5;9,8;9,4;8,6;4,4;             ...;             ...;10,8;26,0
;III.;44,5;24,6;12,6;9,4;9,0;9,3;8,6;8,9;8,6;4,9;             ...;             ...;10,5;26,1
;IV.;43,2;22,9;12,1;9,0;8,7;9,4;9,7;9,4;8,9;4,7;             ...;             ...;10,4;24,6
2011.;I.;41,6;25,1;12,8;9,3;10,2;10,4;11,1;10,2;9,8;5,5;             ...;             ...;11,4;26,1
;II.;38,5;22,7;11,5;8,3;9,5;10,0;10,5;9,2;10,2;4,9;             ...;             ...;10,5;23,6
;III.;45,3;24,2;10,8;8,1;8,9;9,5;10,1;9,4;9,7;5,5;             ...;             ...;10,4;25,8
;IV.;45,5;24,7;11,8;7,5;9,1;9,1;9,4;9,7;10,1;5,8;             ...;             ...;10,4;26,1
2012.;I.;49,0;26,6;13,0;9,6;10,2;9,4;11,1;11,0;10,9;5,5;             ...;             ...;11,6;27,9
;II.;52,0;26,1;13,0;9,3;9,4;7,8;8,7;10,3;9,2;6,5;             ...;             ...;10,7;27,7
