20.2.1.38. A gazdaságilag nem aktívak száma munkavállalási szándékuk szerint, nemenként, negyedévente [ezer fõ];;;;
Év;Negyedév;Nem kíván dolgozni;Szeretne dolgozni;Összesen
Együtt ;;;;
2009.;I.;3 054,3;346,5;3 400,7
;II.;3 040,3;327,0;3 367,3
;III.;3 017,5;326,5;3 344,0
;IV.;3 007,7;337,7;3 345,4
2010.;I.;3 002,7;349,5;3 352,2
;II.;2 981,9;341,0;3 322,9
;III.;2 953,0;342,3;3 295,2
;IV.;2 952,6;356,1;3 308,8
2011.;I.;2 937,0;393,1;3 330,1
;II.;2 919,1;372,5;3 291,6
;III.;2 874,7;374,1;3 248,8
;IV.;2 875,5;377,6;3 253,1
2012.;I.;2 879,9;387,2;3 267,1
;II.;2 835,8;379,5;3 215,2
;III.;2 803,8;355,9;3 159,8
;IV.;2 804,8;370,3;3 175,1
2013.;I.;2 800,1;421,5;3 221,6
;II.;2 768,8;376,5;3 145,3
;III.;2 738,1;356,7;3 094,7
;IV.;2 728,7;370,6;3 099,4
2014.;I.;2 718,6;341,0;3 059,7
;II.;2 694,7;327,7;3 022,3
;III.;2 655,4;311,6;2 967,1
;IV.;2 664,8;317,2;2 982,0
2015.;I.;2 648,8;315,9;2 964,7
;II.;2 603,7;301,5;2 905,2
;III.;2 567,9;285,8;2 853,6
;IV.;2 558,6;298,6;2 857,2
2016.;I.;2 543,9;308,6;2 852,5
;II.;2 524,0;273,3;2 797,3
;III.;2 495,0;264,9;2 759,8
;IV.;2 494,8;258,9;2 753,8
2017.;I.;2 509,2;270,2;2 779,4
;II.;2 466,0;261,8;2 727,8
;III.;2 453,2;235,5;2 688,7
;IV.;2 464,8;220,9;2 685,7
2018.;I.;2 452,9;235,2;2 688,1
;II.;2 434,8;229,4;2 664,2
;III.;2 401,2;225,0;2 626,1
;IV.;2 383,9;253,5;2 637,4
2019.;I.;2 378,7;245,4;2 624,1
;II.;2 371,2;251,8;2 623,0
;III.;2 359,6;243,6;2 603,2
;IV.;2 378,1;233,8;2 611,9
2020.;I.;2 364,7;267,0;2 631,6
;II.;2 313,8;325,4;2 639,2
;III.;2 304,8;268,4;2 573,2
;IV.;2 315,6;272,0;2 587,6
2021.;I.;2 352,4;247,2;2 599,7
;II.;2 356,6;186,6;2 543,3
;III.;2 338,0;160,1;2 498,1
;IV.;2 325,3;149,2;2 474,5
2022.;I.;2 333,4;148,5;2 481,9
;II.;2 338,1;143,3;2 481,3
;III.;2 289,1;143,9;2 433,0
;IV.;;;
Ebbõl:;;;;
férfi;;;;
2009.;I.;1 272,1;165,9;1 438,0
;II.;1 263,4;149,4;1 412,7
;III.;1 255,8;152,7;1 408,5
;IV.;1 255,3;161,0;1 416,3
2010.;I.;1 267,8;170,5;1 438,3
;II.;1 257,8;158,9;1 416,7
;III.;1 248,9;155,0;1 404,0
;IV.;1 252,0;162,0;1 414,0
2011.;I.;1 239,3;187,8;1 427,1
;II.;1 229,0;173,4;1 402,5
;III.;1 200,0;174,1;1 374,1
;IV.;1 207,4;179,9;1 387,3
2012.;I.;1 215,0;183,5;1 398,5
;II.;1 194,4;172,9;1 367,3
;III.;1 182,1;164,5;1 346,7
;IV.;1 176,6;170,1;1 346,7
2013.;I.;1 165,4;211,0;1 376,4
;II.;1 156,3;169,9;1 326,1
;III.;1 132,9;159,9;1 292,8
;IV.;1 129,3;170,6;1 299,9
2014.;I.;1 121,3;161,1;1 282,4
;II.;1 108,5;147,5;1 256,0
;III.;1 090,1;136,9;1 227,0
;IV.;1 101,1;138,2;1 239,4
2015.;I.;1 096,5;140,3;1 236,8
;II.;1 065,1;134,6;1 199,8
;III.;1 044,6;125,7;1 170,2
;IV.;1 042,5;131,9;1 174,4
2016.;I.;1 030,2;142,4;1 172,6
;II.;1 018,5;122,4;1 140,8
;III.;1 006,9;119,8;1 126,7
;IV.;1 014,2;112,8;1 127,0
2017.;I.;1 017,8;118,2;1 136,0
;II.;982,2;114,3;1 096,5
;III.;981,4;99,4;1 080,8
;IV.;991,3;93,0;1 084,3
2018.;I.;990,7;98,0;1 088,6
;II.;982,7;92,1;1 074,8
;III.;965,4;96,5;1 061,8
;IV.;947,9;108,6;1 056,5
2019.;I.;937,2;103,0;1 040,1
;II.;939,2;106,9;1 046,1
;III.;933,8;102,0;1 035,8
;IV.;939,2;99,8;1 039,0
2020.;I.;944,0;113,9;1 057,9
;II.;928,3;134,9;1 063,1
;III.;910,5;110,7;1 021,1
;IV.;917,4;109,0;1 026,4
2021.;I.;935,3;99,3;1 034,6
;II.;936,4;80,2;1 016,6
;III.;930,8;70,1;1 000,9
;IV.;929,5;66,5;996,0
2022.;I.;927,7;63,3;991,0
;II.;927,6;63,6;991,2
;III.;901,9;64,5;966,4
;IV.;;;
nõ;;;;
2009.;I.;1 782,2;180,6;1 962,8
;II.;1 776,9;177,6;1 954,5
;III.;1 761,7;173,7;1 935,4
;IV.;1 752,4;176,7;1 929,1
2010.;I.;1 735,0;179,0;1 914,0
;II.;1 724,2;182,1;1 906,2
;III.;1 704,0;187,2;1 891,3
;IV.;1 700,7;194,1;1 894,8
2011.;I.;1 697,7;205,3;1 903,0
;II.;1 690,0;199,1;1 889,1
;III.;1 674,7;200,0;1 874,7
;IV.;1 668,1;197,7;1 865,8
2012.;I.;1 664,8;203,7;1 868,6
;II.;1 641,4;206,6;1 848,0
;III.;1 621,7;191,4;1 813,1
;IV.;1 628,3;200,1;1 828,4
2013.;I.;1 634,7;210,5;1 845,2
;II.;1 612,5;206,6;1 819,2
;III.;1 605,2;196,7;1 801,9
;IV.;1 599,4;200,0;1 799,5
2014.;I.;1 597,3;179,9;1 777,2
;II.;1 586,1;180,2;1 766,3
;III.;1 565,3;174,8;1 740,1
;IV.;1 563,7;179,0;1 742,6
2015.;I.;1 552,3;175,6;1 727,9
;II.;1 538,5;166,9;1 705,4
;III.;1 523,3;160,1;1 683,4
;IV.;1 516,1;166,7;1 682,8
2016.;I.;1 513,7;166,2;1 679,9
;II.;1 505,5;150,9;1 656,4
;III.;1 488,1;145,1;1 633,2
