20.2.1.39. Aktivitási arány korcsoportok szerint, nemenként, negyedévente [%];;;;;;;;;;;;;;;
Év;Negyedév;15–19 éves;20–24 éves;25–29 éves;30–34 éves;35–39 éves;40–44 éves;45–49 éves;50–54 éves;55–59 éves;60–64 éves;65–69 éves;70–74 éves;Összesen ;"Ebbõl: 
15–24 éves"
Együtt ;;;;;;;;;;;;;;;
2009.;I.;4,0;43,4;83,1;87,3;86,5;85,6;80,9;74,6;49,9;13,4;4,4;1,5;55,7;24,3
;II.;3,7;44,6;82,6;87,7;87,3;86,2;81,7;75,0;51,2;13,3;4,7;1,8;56,1;24,8
;III.;4,0;47,0;82,3;87,5;88,1;86,0;82,0;75,4;52,0;12,9;5,0;1,5;56,4;26,1
;IV.;4,0;46,3;82,3;86,5;88,1;86,0;82,2;75,7;53,0;13,3;5,1;1,4;56,4;25,8
2010.;I.;3,3;45,6;82,5;86,5;87,8;86,7;82,9;75,3;53,4;12,8;4,9;1,4;56,3;25,1
;II.;3,4;45,0;81,9;87,2;88,1;86,6;84,4;75,9;55,4;13,2;4,7;1,6;56,6;24,8
;III.;4,0;46,0;81,9;87,6;88,0;86,6;83,6;77,2;57,1;13,4;5,0;1,6;57,0;25,6
;IV.;4,3;46,0;82,1;87,9;86,6;85,9;83,8;76,4;57,7;13,4;4,9;1,5;56,8;25,8
2011.;I.;3,2;44,8;81,7;87,3;86,4;85,6;83,8;76,0;58,3;13,8;4,9;1,7;56,5;24,6
;II.;3,0;44,1;81,8;88,4;87,4;87,1;84,8;76,2;58,7;14,7;5,2;1,6;57,0;24,2
;III.;4,0;46,3;81,3;88,1;87,9;86,7;85,6;78,4;59,3;15,3;5,5;2,1;57,5;25,8
;IV.;3,5;44,6;82,2;87,6;88,2;87,2;85,2;78,9;59,8;14,9;5,3;2,4;57,4;24,7
2012.;I.;2,9;43,9;82,6;87,5;87,9;87,3;85,3;79,4;58,9;14,5;5,5;1,8;57,3;24,2
;II.;3,3;44,7;82,0;88,3;88,3;88,3;86,0;80,7;60,8;15,2;5,6;1,8;57,9;24,9
;III.;4,5;48,2;84,2;89,4;88,5;88,2;85,8;81,6;61,3;14,9;5,4;1,6;58,6;27,4
;IV.;4,3;48,9;83,4;88,9;88,6;88,3;86,3;80,8;60,7;14,4;5,3;1,7;58,4;27,8
2013.;I.;4,0;46,7;82,8;88,1;87,7;87,9;86,0;78,8;60,7;15,0;4,6;1,8;57,7;26,6
;II.;4,8;46,3;83,2;89,2;89,2;88,5;87,3;80,9;63,2;15,9;5,4;1,4;58,7;26,8
;III.;5,7;49,8;82,9;88,9;90,2;89,7;86,6;81,5;63,8;17,3;5,2;1,4;59,3;29,2
;IV.;5,1;49,3;81,7;89,2;89,9;89,1;87,0;81,4;64,3;18,3;5,1;1,8;59,2;28,8
2014.;I.;5,3;49,6;84,0;90,0;90,5;89,9;87,4;81,0;65,4;18,7;4,5;1,4;59,7;29,2
;II.;5,3;50,2;85,2;89,3;90,2;89,8;88,2;81,8;67,1;20,4;4,3;1,9;60,1;29,5
;III.;6,2;51,5;85,5;89,7;90,6;90,3;88,7;83,4;68,1;22,4;4,5;1,7;60,8;30,7
;IV.;5,6;51,4;84,9;90,0;90,0;90,5;88,0;82,7;68,6;22,5;4,2;2,1;60,6;30,5
2015.;I.;5,3;50,8;85,7;89,5;90,0;90,6;88,7;83,3;68,5;24,5;4,2;1,8;60,7;30,1
;II.;6,2;51,8;85,2;89,4;90,6;91,3;88,9;85,4;70,6;26,3;4,7;1,9;61,5;31,1
;III.;7,2;53,4;85,1;89,8;91,1;91,5;89,2;86,5;70,9;28,8;5,0;2,1;62,1;32,4
;IV.;7,6;52,5;84,7;90,1;90,9;91,6;88,9;86,2;70,3;30,0;5,1;2,3;62,0;32,2
2016.;I.;6,3;53,2;85,1;90,0;90,2;91,1;88,2;85,6;71,5;32,1;4,8;2,3;62,0;31,9
;II.;6,5;53,5;86,1;90,5;90,9;92,0;89,1;86,3;72,5;33,9;5,0;2,3;62,7;32,1
;III.;7,8;55,5;85,5;90,8;91,7;91,5;89,3;86,4;73,6;34,5;5,4;3,2;63,2;33,7
;IV.;7,1;56,0;85,4;90,5;91,1;91,6;89,7;86,3;73,6;35,7;6,1;2,9;63,3;33,6
2017.;I.;6,6;54,0;85,4;90,5;90,2;91,3;90,6;86,3;72,3;35,6;5,5;2,9;62,9;32,3
;II.;6,6;55,6;86,3;90,3;90,5;92,1;90,5;87,7;73,9;36,0;5,9;3,0;63,5;33,1
;III.;7,8;55,8;86,3;91,0;91,8;92,5;90,9;87,0;74,7;37,3;6,0;2,9;63,9;33,7
;IV.;7,4;55,8;86,1;91,2;91,8;92,4;90,8;86,9;73,9;38,4;6,0;3,0;63,9;33,4
2018.;I.;6,7;53,6;85,7;91,1;91,4;92,3;90,8;88,2;75,8;37,8;6,3;3,4;63,9;31,8
;II.;7,3;54,9;85,8;91,1;91,5;93,2;91,5;88,2;75,3;37,9;6,4;3,9;64,2;32,8
;III.;8,2;57,3;86,0;91,3;91,4;92,4;91,5;88,0;76,4;40,0;7,3;3,7;64,7;34,4
;IV.;8,2;56,5;85,0;90,6;91,6;91,5;90,9;88,2;75,8;41,8;7,6;4,1;64,5;33,9
2019.;I.;8,3;53,8;86,3;90,4;91,8;92,3;91,3;88,7;75,5;42,5;8,2;3,7;64,6;32,4
;II.;8,0;53,5;86,4;91,0;91,5;92,3;90,9;88,1;76,1;42,0;9,2;4,4;64,7;32,1
;III.;8,6;56,0;86,7;90,8;91,4;92,4;91,5;87,1;76,8;42,1;9,5;4,5;64,9;33,5
;IV.;8,0;55,3;86,5;90,0;90,4;91,6;91,7;88,1;75,9;43,8;9,8;4,4;64,8;32,9
2020.;I.;6,8;55,9;85,9;88,5;90,6;91,3;90,6;87,8;77,4;44,1;9,8;4,0;64,5;32,5
;II.;5,8;54,4;85,5;87,7;90,2;90,6;90,9;88,5;76,3;46,5;10,7;4,9;64,4;30,8
;III.;7,9;57,0;86,7;89,2;89,7;92,1;90,7;89,8;78,6;47,7;9,7;4,4;65,3;33,3
;IV.;5,9;54,5;86,7;88,8;90,4;91,5;90,8;89,8;78,3;49,5;10,1;4,3;65,1;31,1
2021.;I.;6,2;54,6;85,0;88,2;89,9;91,3;90,4;89,4;79,6;47,9;11,4;4,4;64,8;31,1
;II.;6,6;54,8;85,2;89,0;90,9;92,1;91,5;90,9;81,3;47,9;11,6;4,5;65,4;31,3
;III.;8,4;55,9;85,8;89,6;91,1;92,5;91,7;90,2;82,2;49,6;12,3;4,9;66,0;32,6
;IV.;7,0;56,1;86,6;90,3;91,3;93,2;92,4;90,0;81,5;51,1;13,0;5,1;66,3;32,0
2022.;I.;6,6;53,8;86,9;90,9;90,9;92,4;92,5;90,5;81,8;52,0;12,5;5,2;66,2;30,6
;II.;6,3;52,0;86,5;90,7;91,4;92,5;92,3;90,7;82,6;52,1;12,8;5,2;66,2;29,5
;III.;8,1;55,6;87,2;90,8;92,1;93,2;92,6;90,3;81,9;53,1;13,4;5,3;66,8;32,2
;IV.;;;;;;;;;;;;;;
Ebbõl:;;;;;;;;;;;;;;;
férfi;;;;;;;;;;;;;;;
