20.2.1.41. A foglalkoztatási ráta és a munkanélküliségi ráta szezonálisan kiigazított idõsora, negyedévente;;;;;;;;;
Év;Negyedév;Eredeti idõsor, foglalkoztatási ráta, %;Eredeti idõsor, foglalkoztatási ráta, elõzõ negyedév = 100,0%;Eredeti idõsor, munkanélküliségi ráta, %;Eredeti idõsor, munkanélküliségi ráta, elõzõ negyedév = 100,0%;Szezonálisan kiigazított idõsor, foglalkoztatási ráta, %;Szezonálisan kiigazított idõsor, foglalkoztatási ráta, elõzõ negyedév = 100,0%;Szezonálisan kiigazított idõsor, munkanélküliségi ráta, %;Szezonálisan kiigazított idõsor, munkanélküliségi ráta, elõzõ negyedév = 100,0%
2009.;I.;50,5;...;9,4;...;50,9;…;9,0;…
;II.;50,9;100,9;9,3;98,5;50,8;99,8;9,4;104,9
;III.;50,8;99,8;10,0;107,2;50,6;99,5;10,1;107,0
;IV.;50,7;99,8;10,0;100,9;50,5;99,9;10,4;103,1
2010.;I.;49,8;98,3;11,4;113,9;50,5;99,8;10,8;103,9
;II.;50,5;101,3;10,8;94,7;50,4;100,0;10,9;101,5
;III.;51,0;101,0;10,5;96,8;50,6;100,3;10,7;98,2
;IV.;50,9;99,7;10,4;99,5;50,6;100,1;10,8;100,4
2011.;I.;50,1;98,4;11,4;109,0;50,8;100,3;10,7;98,8
;II.;51,0;101,8;10,5;92,4;50,9;100,3;10,6;99,6
;III.;51,6;101,1;10,4;98,7;51,0;100,2;10,7;101,1
;IV.;51,5;99,9;10,4;99,9;51,3;100,5;10,7;99,5
2012.;I.;50,6;98,3;11,6;111,6;51,5;100,5;10,7;100,7
;II.;51,7;102,1;10,7;92,3;51,6;100,2;10,8;100,5
;III.;52,7;101,8;10,1;95,0;52,0;100,7;10,5;97,3
;IV.;52,4;99,4;10,3;101,7;52,1;100,2;10,6;101,0
2013.;I.;51,2;97,9;11,2;109,0;52,2;100,2;10,4;98,1
;II.;52,9;103,2;9,8;87,6;52,8;101,0;10,0;95,9
;III.;53,7;101,4;9,5;96,6;53,1;100,6;9,8;98,3
;IV.;54,0;100,6;8,8;92,9;53,8;101,4;9,1;92,6
2014.;I.;54,9;101,7;8,0;90,7;55,8;103,6;7,4;81,7
;II.;55,4;100,9;7,9;98,3;55,2;98,9;8,0;107,7
;III.;56,4;101,9;7,2;91,4;55,8;101,2;7,5;93,2
;IV.;56,3;99,9;7,0;96,5;56,3;100,8;7,2;96,0
2015.;I.;56,1;99,6;7,6;109,0;56,8;101,0;7,1;98,9
;II.;57,4;102,2;6,7;88,4;57,2;100,7;6,8;96,0
;III.;58,3;101,6;6,2;93,3;57,8;101,0;6,4;94,1
;IV.;58,3;100,1;6,0;96,2;58,3;100,8;6,1;96,1
2016.;I.;58,4;100,2;5,8;97,3;59,0;101,2;5,6;90,4
;II.;59,6;102,1;5,0;85,0;59,5;100,9;5,0;90,9
;III.;60,2;101,0;4,8;95,9;59,9;100,6;4,8;95,1
;IV.;60,5;100,5;4,3;90,6;60,4;100,9;4,4;92,3
2017.;I.;60,1;99,3;4,4;101,7;60,6;100,3;4,3;95,9
;II.;60,8;101,2;4,1;94,3;60,8;100,5;4,2;98,7
;III.;61,4;100,9;4,0;95,4;61,2;100,6;3,9;92,8
;IV.;61,5;100,2;3,7;93,3;61,4;100,4;3,8;96,9
2018.;I.;61,5;99,9;3,7;101,6;61,7;100,4;3,7;97,2
;II.;62,0;100,8;3,5;92,4;61,9;100,4;3,5;96,5
;III.;62,3;100,5;3,7;107,2;62,1;100,3;3,6;102,0
;IV.;62,2;100,0;3,5;93,7;62,2;100,2;3,5;98,1
2019.;I.;62,4;100,3;3,4;99,0;62,6;100,6;3,3;94,1
;II.;62,6;100,2;3,2;94,0;62,6;100,0;3,3;99,3
;III.;62,7;100,3;3,4;104,3;62,6;100,0;3,3;100,9
;IV.;62,7;100,0;3,2;94,6;62,6;100,0;3,3;98,9
2020.;I.;62,2;99,1;3,6;113,5;62,4;99,7;3,4;103,7
;II.;61,5;98,9;4,5;124,0;61,5;98,5;4,5;131,3
;III.;62,5;101,6;4,3;95,8;62,3;101,3;4,3;96,2
;IV.;62,4;99,9;4,1;94,3;62,3;100,0;4,3;98,1
2021.;I.;61,9;99,2;4,5;111,0;62,3;100,1;4,3;100,6
;II.;62,8;101,4;4,1;91,3;62,8;100,8;4,1;95,6
;III.;63,4;101,1;3,9;95,1;63,2;100,7;3,9;95,9
;IV.;63,8;100,6;3,7;94,7;63,6;100,6;3,8;98,1
2022.;I.;63,7;99,8;3,7;100,7;64,0;100,6;3,6;94,1
;II.;64,0;100,5;3,2;86,8;64,1;100,2;3,2;89,4
;III.;64,3;100,5;3,6;112,6;64,3;100,3;3,6;111,8
;IV.;;;;;;;;
