20.2.1.43. A foglalkoztatottak számának szezonálisan kiigazított idõsorai meghatározott nemzetgazdasági ágak szerint, negyedévente;;;;;;;;;;;;;;;;;
Év;Negyedév;Eredeti idõsor, mezõgazdaság, ezer fõ;Eredeti idõsor, mezõgazdaság, elõzõ negyedév = 100,0%;Eredeti idõsor, építõipar, ezer fõ;Eredeti idõsor, építõipar, elõzõ negyedév = 100,0%;Eredeti idõsor, kereskedelem, ezer fõ;Eredeti idõsor, kereskedelem, elõzõ negyedév = 100,0%;Eredeti idõsor, szálláshely szolgáltatás, ezer fõ;Eredeti idõsor, szálláshely szolgáltatás, elõzõ negyedév = 100,0%;Szezonálisan kiigazított idõsor, mezõgazdaság, ezer fõ;Szezonálisan kiigazított idõsor, mezõgazdaság, elõzõ negyedév = 100,0%;Szezonálisan kiigazított idõsor, építõipar, ezer fõ;Szezonálisan kiigazított idõsor, építõipar, elõzõ negyedév = 100,0%;Szezonálisan kiigazított idõsor, kereskedelem, ezer fõ;Szezonálisan kiigazított idõsor, kereskedelem, elõzõ negyedév = 100,0%;Szezonálisan kiigazított idõsor, szálláshely szolgáltatás, ezer fõ;Szezonálisan kiigazított idõsor, szálláshely szolgáltatás, elõzõ negyedév = 100,0%
2009.;I.;173,9;...;285,4;...;576,0;...;154,7;...;180,0;…;297,7;…;576,0;…;154,7;…
;II.;176,7;101,6;294,2;103,1;575,0;99,8;158,9;102,7;174,9;97,2;293,7;98,7;575,0;99,8;158,9;102,7
;III.;179,6;101,6;294,4;100,0;565,2;98,3;157,1;98,9;175,2;100,2;287,4;97,9;565,2;98,3;157,1;98,9
;IV.;175,0;97,5;289,6;98,4;558,8;98,9;158,2;100,7;175,2;100,0;284,6;99,0;558,8;98,9;158,2;100,7
2010.;I.;162,5;92,8;267,2;92,3;553,5;99,0;152,3;96,3;168,1;96,0;278,6;97,9;553,5;99,0;152,3;96,3
;II.;177,3;109,1;276,6;103,5;549,4;99,3;158,5;104,1;175,5;104,4;276,3;99,1;549,4;99,3;158,5;104,1
;III.;182,0;102,7;281,7;101,8;560,1;101,9;155,3;98,0;177,6;101,2;274,9;99,5;560,1;101,9;155,3;98,0
;IV.;177,1;97,3;275,8;97,9;566,2;101,1;150,8;97,1;177,3;99,9;271,2;98,7;566,2;101,1;150,8;97,1
2011.;I.;176,1;99,4;260,1;94,3;556,1;98,2;159,6;105,8;182,2;102,7;271,1;100,0;556,1;98,2;159,6;105,8
;II.;184,2;104,6;267,8;102,9;555,6;99,9;169,3;106,1;182,2;100,0;267,6;98,7;555,6;99,9;169,3;106,1
;III.;195,4;106,1;267,4;99,9;565,1;101,7;166,3;98,2;190,8;104,7;260,7;97,4;565,1;101,7;166,3;98,2
;IV.;190,2;97,3;258,7;96,8;571,2;101,1;165,6;99,6;190,5;99,9;254,3;97,5;571,2;101,1;165,6;99,6
2012.;I.;184,7;97,1;238,2;92,1;567,7;99,4;164,4;99,3;190,9;100,2;248,2;97,6;567,7;99,4;164,4;99,3
;II.;197,3;106,8;245,6;103,1;572,4;100,8;169,9;103,4;195,1;102,2;245,9;99,1;572,4;100,8;169,9;103,4
;III.;201,1;101,9;250,3;101,9;567,1;99,1;174,3;102,6;196,5;100,7;243,9;99,2;567,1;99,1;174,3;102,6
;IV.;195,9;97,4;252,4;100,8;559,9;98,7;163,4;93,7;196,3;99,9;248,0;101,7;559,9;98,7;163,4;93,7
2013.;I.;183,5;93,7;232,9;92,3;549,2;98,1;154,9;94,8;189,5;96,5;242,1;97,6;549,2;98,1;154,9;94,8
;II.;193,4;105,4;246,0;105,6;553,1;100,7;170,6;110,1;191,2;100,9;246,9;102,0;553,1;100,7;170,6;110,1
;III.;189,8;98,2;258,1;104,9;554,0;100,2;169,6;99,4;185,8;97,2;251,6;101,9;554,0;100,2;169,6;99,4
;IV.;178,9;94,2;253,0;98,0;558,2;100,8;163,7;96,5;179,4;96,6;249,1;99,0;558,2;100,8;163,7;96,5
2014.;I.;180,7;101,0;245,0;96,8;574,5;102,9;163,7;100,0;186,3;103,9;253,5;101,7;574,5;102,9;163,7;100,0
;II.;189,2;104,7;251,9;102,8;567,2;98,7;175,1;107,0;187,0;100,4;253,0;99,8;567,2;98,7;175,1;107,0
;III.;197,2;104,2;269,2;106,9;579,5;102,2;175,4;100,2;193,2;103,3;263,1;104,0;579,5;102,2;175,4;100,2
;IV.;197,4;100,1;271,6;100,9;562,8;97,1;178,8;101,9;197,9;102,4;268,0;101,9;562,8;97,1;178,8;101,9
2015.;I.;192,1;97,3;265,7;97,8;564,2;100,3;184,3;103,1;197,8;100,0;273,4;102,0;564,2;100,3;184,3;103,1
;II.;208,8;108,7;273,8;103,1;559,1;99,1;183,3;99,5;206,5;104,4;274,6;100,5;559,1;99,1;183,3;99,5
;III.;212,1;101,6;277,0;101,2;565,5;101,2;195,4;106,6;208,2;100,8;271,7;98,9;565,5;101,2;195,4;106,6
;IV.;208,3;98,2;278,7;100,6;559,2;98,9;193,0;98,7;208,7;100,2;276,0;101,6;559,2;98,9;193,0;98,7
2016.;I.;214,3;102,9;273,5;98,1;552,3;98,8;202,3;104,8;220,2;105,5;280,7;101,7;552,3;98,8;202,3;104,8
;II.;226,9;105,9;277,6;101,5;581,0;105,2;198,1;97,9;224,4;101,9;277,7;98,9;581,0;105,2;198,1;97,9
;III.;223,7;98,6;284,8;102,6;577,6;99,4;198,5;100,2;219,9;98,0;279,5;100,7;577,6;99,4;198,5;100,2
;IV.;213,4;95,4;282,0;99,0;571,2;98,9;204,4;103,0;213,7;97,2;279,9;100,1;571,2;98,9;204,4;103,0
2017.;I.;212,8;99,7;277,1;98,3;559,3;97,9;206,0;100,8;218,5;102,3;284,3;101,6;559,3;97,9;206,0;100,8
;II.;221,8;104,2;299,2;108,0;558,9;99,9;205,7;99,8;219,5;100,5;298,8;105,1;558,9;99,9;205,7;99,8
;III.;228,7;103,1;318,5;106,5;586,6;105,0;191,9;93,3;225,3;102,6;313,0;104,7;586,6;105,0;191,9;93,3
;IV.;226,2;98,9;323,0;101,4;586,1;99,9;178,5;93,0;226,1;100,3;320,7;102,5;586,1;99,9;178,5;93,0
2018.;I.;220,3;97,4;321,7;99,6;571,5;97,5;177,1;99,2;225,9;99,9;329,2;102,7;571,5;97,5;177,1;99,2
;II.;215,9;98,0;339,2;105,4;574,0;100,4;190,9;107,8;214,0;94,7;338,7;102,9;574,0;100,4;190,9;107,8
;III.;212,4;98,4;335,8;99,0;584,8;101,9;187,8;98,4;209,6;98,0;330,8;97,7;584,8;101,9;187,8;98,4
;IV.;220,9;104,0;338,3;100,7;562,7;96,2;187,9;100,0;220,5;105,2;336,2;101,6;562,7;96,2;187,9;100,0
2019.;I.;206,0;93,2;323,8;95,7;584,6;103,9;195,4;104,0;211,0;95,7;329,9;98,1;584,6;103,9;195,4;104,0
;II.;222,3;107,9;340,8;105,3;586,2;100,3;198,3;101,5;220,4;104,5;341,4;103,5;586,2;100,3;198,3;101,5
;III.;208,8;93,9;353,2;103,6;596,3;101,7;195,4;98,5;206,2;93,6;348,5;102,1;596,3;101,7;195,4;98,5
;IV.;213,7;102,4;360,2;102,0;608,9;102,1;184,6;94,5;213,2;103,4;358,4;102,8;608,9;102,1;184,6;94,5
2020.;I.;215,5;100,8;358,2;99,5;595,5;97,8;191,2;103,6;220,6;103,4;362,3;101,1;595,5;97,8;191,2;103,6
;II.;213,7;99,2;351,8;98,2;582,6;97,8;160,4;83,9;212,1;96,2;353,2;97,5;582,6;97,8;160,4;83,9
;III.;213,8;100,0;368,2;104,7;610,8;104,8;182,1;113,5;211,1;99,5;364,0;103,1;610,8;104,8;182,1;113,5
;IV.;212,6;99,5;368,1;100,0;602,9;98,7;174,1;95,6;212,0;100,5;368,3;101,2;602,9;98,7;174,1;95,6
2021.;I.;203,0;95,5;375,3;102,0;570,7;94,7;141,8;81,4;207,8;98,0;377,2;102,4;570,7;94,7;141,8;81,4
;II.;198,9;98,0;376,4;100,3;572,7;100,3;173,3;122,2;197,6;95,1;377,2;100,0;572,7;100,3;173,3;122,2
;III.;205,2;103,2;377,7;100,4;573,7;100,2;185,3;106,9;202,5;102,5;373,6;99,0;573,7;100,2;185,3;106,9
;IV.;198,6;96,8;365,9;96,9;585,2;102,0;177,2;95,6;198,0;97,8;367,8;98,5;585,2;102,0;177,2;95,6
2022.;I.;191,9;96,6;375,4;102,6;594,4;101,6;175,0;98,7;196,5;99,2;376,7;102,4;594,4;101,6;175,0;98,7
;II.;200,4;104,4;377,6;100,6;582,9;98,1;182,7;104,4;199,1;101,4;378,0;100,4;582,9;98,1;182,7;104,4
;III.;204,1;101,8;385,1;102,0;603,7;103,6;182,2;99,7;201,3;101,1;380,8;100,7;603,7;103,6;182,2;99,7
;IV.;;;;;;;;;;;;;;;;
