20.2.1.44. A határozott idejû munkaszerzõdéssel alkalmazottak számának szezonálisan kiigazított idõsorai, negyedévente;;;;;
Év;Negyedév;Eredeti idõsor, meghatározott idõre szóló munkaszerzõdés, ezer fõ;Eredeti idõsor, meghatározott idõre szóló munkaszerzõdés, elõzõ negyedév = 100,0%;Szezonálisan kiigazított idõsor, meghatározott idõre szóló munkaszerzõdés, ezer fõ;Szezonálisan kiigazított idõsor, meghatározott idõre szóló munkaszerzõdés, elõzõ negyedév = 100,0%
2009.;I.;231,2;…;263,3;…
;II.;275,0;118,9;269,8;102,5
;III.;300,5;109,3;278,5;103,2
;IV.;303,9;101,1;294,6;105,8
2010.;I.;278,9;91,8;318,5;108,1
;II.;322,6;115,7;315,5;99,1
;III.;347,9;107,8;320,9;101,7
;IV.;329,2;94,6;319,4;99,5
2011.;I.;258,1;78,4;296,7;92,9
;II.;310,3;120,2;302,5;101,9
;III.;331,1;106,7;305,0;100,8
;IV.;300,3;90,7;291,7;95,6
2012.;I.;266,4;88,7;306,9;105,2
;II.;324,3;121,8;315,1;102,7
;III.;353,5;109,0;327,2;103,8
;IV.;344,5;97,5;333,5;101,9
2013.;I.;286,3;83,1;328,0;98,4
;II.;390,3;136,3;381,1;116,2
;III.;408,1;104,6;381,6;100,1
;IV.;425,8;104,3;409,9;107,4
2014.;I.;370,7;87,1;417,7;101,9
;II.;388,7;104,9;382,5;91,6
;III.;406,3;104,5;383,5;100,3
;IV.;404,5;99,6;390,8;101,9
2015.;I.;365,1;90,3;407,2;104,2
;II.;424,0;116,1;418,4;102,8
;III.;459,5;108,4;433,5;103,6
;IV.;453,8;98,8;440,4;101,6
2016.;I.;357,1;78,7;394,1;89,5
;II.;388,9;108,9;383,7;97,4
;III.;396,9;102,1;376,8;98,2
;IV.;368,2;92,8;362,3;96,2
2017.;I.;336,6;91,4;365,5;100,9
;II.;366,9;109,0;360,0;98,5
;III.;362,2;98,7;345,8;96,1
;IV.;331,7;91,6;331,1;95,8
2018.;I.;296,3;89,4;316,5;95,6
;II.;309,9;104,6;303,7;96,0
;III.;286,1;92,3;273,9;90,2
;IV.;277,8;97,1;281,4;102,7
2019.;I.;259,1;93,3;272,9;97,0
;II.;273,6;105,6;268,6;98,4
;III.;287,1;104,9;273,4;101,8
;IV.;249,1;86,8;255,9;93,6
2020.;I.;247,5;99,3;257,5;100,6
;II.;214,6;86,7;211,3;82,1
;III.;243,7;113,6;231,0;109,3
;IV.;220,2;90,4;228,9;99,1
2021.;I.;230,3;104,6;238,3;104,1
;II.;245,9;106,7;243,1;102,0
;III.;260,5;106,0;244,8;100,7
;IV.;225,8;86,7;235,0;96,0
2022.;I.;223,8;99,1;231,2;98,4
;II.;220,3;98,4;219,5;94,9
;III.;237,0;107,6;222,1;101,2
;IV.;;;;
