20.2.1.45. A gazdaságilag aktívak és nem aktívak számának szezonálisan kiigazított idõsorai, negyedévente;;;;;;;;;
Év;Negyedév;Eredeti idõsor, gazdaságilag aktív, ezer fõ;Eredeti idõsor, gazdaságilag aktív, elõzõ negyedév = 100,0%;Eredeti idõsor, gazdaságilag nem aktív, ezer fõ;Eredeti idõsor, gazdaságilag nem aktív, elõzõ negyedév = 100,0%;Szezonálisan kiigazított idõsor, gazdaságilag aktív, ezer fõ;Szezonálisan kiigazított idõsor, gazdaságilag aktív, elõzõ negyedév = 100,0%;Szezonálisan kiigazított idõsor, gazdaságilag nem aktív, ezer fõ;Szezonálisan kiigazított idõsor, gazdaságilag nem aktív, elõzõ negyedév = 100,0%
2009.;I.;4 280,6;…;3 400,7;…;4 301,7;…;3 380,2;…
;II.;4 310,7;100,7;3 367,3;99,0;4 309,4;100,2;3 368,9;99,7
;III.;4 330,6;100,5;3 344,0;99,3;4 310,3;100,0;3 362,0;99,8
;IV.;4 325,7;99,9;3 345,4;100,0;4 326,3;100,4;3 346,0;99,5
2010.;I.;4 315,5;99,8;3 352,2;100,2;4 337,4;100,3;3 330,5;99,5
;II.;4 341,4;100,6;3 322,9;99,1;4 340,2;100,1;3 324,4;99,8
;III.;4 365,7;100,6;3 295,2;99,2;4 343,8;100,1;3 316,9;99,8
;IV.;4 348,8;99,6;3 308,8;100,4;4 349,7;100,1;3 309,1;99,8
2011.;I.;4 324,1;99,4;3 330,1;100,6;4 347,0;99,9;3 304,8;99,9
;II.;4 359,2;100,8;3 291,6;98,8;4 358,2;100,3;3 292,1;99,6
;III.;4 398,5;100,9;3 248,8;98,7;4 374,9;100,4;3 274,3;99,5
;IV.;4 391,9;99,8;3 253,1;100,1;4 393,7;100,4;3 251,4;99,3
2012.;I.;4 376,3;99,6;3 267,1;100,4;4 399,6;100,1;3 241,4;99,7
;II.;4 422,2;101,0;3 215,2;98,4;4 421,1;100,5;3 217,1;99,2
;III.;4 473,3;101,2;3 159,8;98,3;4 448,4;100,6;3 186,4;99,0
;IV.;4 454,1;99,6;3 175,1;100,5;4 457,8;100,2;3 168,2;99,4
2013.;I.;4 401,3;98,8;3 221,6;101,5;4 423,6;99,2;3 199,2;101,0
;II.;4 468,1;101,5;3 145,3;97,6;4 466,6;101,0;3 148,9;98,4
;III.;4 510,6;101,0;3 094,7;98,4;4 485,5;100,4;3 120,8;99,1
;IV.;4 497,9;99,7;3 099,4;100,2;4 503,0;100,4;3 088,7;99,0
2014.;I.;4 528,2;100,7;3 059,7;98,7;4 549,9;101,0;3 040,4;98,4
;II.;4 555,1;100,6;3 022,3;98,8;4 554,0;100,1;3 026,4;99,5
