20.2.1.48. Fõbb kereseti adatok – munkáltatók teljes körénél, havonta valamint havi és negyedévente kumulált;;;;;;;;;;;;;;;;;
Év;Idõszak;Teljes munkaidõben alkalmazásban állók bruttó átlagkeresete, Ft/fõ/hó;Teljes munkaidõben alkalmazásban állók bruttó átlagkeresete, elõzõ év azonos idõszaka = 100,0%;Teljes munkaidõben alkalmazásban állók bruttó medián keresete, Ft/fõ/hó;Teljes munkaidõben alkalmazásban állók bruttó medián keresete, elõzõ év azonos idõszaka = 100,0%;Teljes munkaidõben alkalmazásban állók nettó átlagkeresete, Ft/fõ/hó;Teljes munkaidõben alkalmazásban állók nettó átlagkeresete, elõzõ év azonos idõszaka = 100,0%;Teljes munkaidõben alkalmazásban állók létszáma, ezer fõ;Teljes munkaidõben alkalmazásban állók létszáma, elõzõ év azonos idõszaka = 100,0%;Teljes munkaidõben alkalmazásban állók közfoglalkoztatottak nélkül bruttó átlagkeresete, Ft/fõ/hó;Teljes munkaidõben alkalmazásban állók közfoglalkoztatottak nélkül bruttó átlagkeresete, elõzõ év azonos idõszaka = 100,0%;Teljes munkaidõben alkalmazásban állók közfoglalkoztatottak nélkül bruttó medián keresete, Ft/fõ/hó;Teljes munkaidõben alkalmazásban állók közfoglalkoztatottak nélkül bruttó medián keresete, elõzõ év azonos idõszaka = 100,0%;Teljes munkaidõben alkalmazásban állók közfoglalkoztatottak nélkül nettó átlagkeresete, Ft/fõ/hó;Teljes munkaidõben alkalmazásban állók közfoglalkoztatottak nélkül nettó átlagkeresete, elõzõ év azonos idõszaka = 100,0%;Teljes munkaidõben alkalmazásban állók közfoglalkoztatottak nélkül létszáma, ezer fõ;Teljes munkaidõben alkalmazásban állók közfoglalkoztatottak nélkül létszáma, elõzõ év azonos idõszaka = 100,0%
Havonta;;;;;;;;;;;;;;;;;
2019.;január;333 475;110,6;266 284;112,6;221 761;110,6;3 121,6;100,9;343 166;109,6;273 253;111,5;228 206;109,6;3 006,0;102,3
;február;335 726;112,0;263 079;113,4;223 258;112,0;3 132,4;101,7;345 384;111,1;270 000;112,3;229 681;111,1;3 017,7;102,9
;március;355 310;110,2;274 046;112,3;236 281;110,2;3 121,3;101,0;364 205;109,2;280 000;111,4;242 197;109,2;3 022,4;102,4
;április;358 991;109,1;277 900;114,1;238 729;109,1;3 137,5;100,9;368 486;108,0;284 200;113,2;245 043;108,0;3 033,2;102,3
;május;352 848;111,1;279 257;111,8;234 644;111,1;3 135,5;100,7;362 116;110,1;285 250;111,0;240 807;110,1;3 031,7;102,1
;június;353 430;110,6;278 405;112,3;235 031;110,6;3 125,4;100,2;362 659;109,7;284 915;111,7;241 168;109,7;3 022,6;101,4
;július;351 232;110,7;281 000;113,1;233 570;110,7;3 126,4;100,7;360 208;110,3;288 087;113,2;239 538;110,3;3 025,6;101,3
;augusztus;347 835;111,5;280 169;112,1;231 310;111,5;3 124,2;100,4;356 613;111,0;286 996;112,2;237 147;111,0;3 023,8;101,1
;szeptember;349 653;111,5;278 400;112,1;232 519;111,5;3 129,4;100,7;356 397;110,4;284 423;111,8;237 004;110,4;3 028,2;101,3
;október;353 773;111,6;285 000;113,4;235 259;111,6;3 134,7;100,1;362 900;111,1;292 201;112,8;241 329;111,2;3 033,0;100,7
;november;389 678;113,8;300 000;114,9;259 136;113,8;3 133,8;100,0;399 931;113,3;304 944;112,9;265 954;113,3;3 032,7;100,6
;december;393 417;113,1;300 000;115,0;261 623;113,1;3 126,3;100,0;403 527;112,6;306 215;113,4;268 346;112,6;3 027,9;100,7
2020.;január;364 586;109,3;294 091;110,4;242 450;109,3;3 090,6;99,0;373 632;108,9;300 000;109,8;248 465;108,9;2 994,9;99,6
;február;366 677;109,2;292 240;111,1;243 840;109,2;3 100,2;99,0;375 717;108,8;299 103;110,8;249 852;108,8;3 005,0;99,6
;március;387 867;109,2;300 000;109,5;257 932;109,2;3 040,6;97,4;395 935;108,7;303 584;108,4;263 297;108,7;2 962,1;98,0
