20.2.1.50. Fõbb kereseti adatok – vállalkozások, havonta valamint havi és negyedévente kumulált;;;;;;;;;;;;;;;;;
Év;Idõszak;Teljes munkaidõben alkalmazásban állók bruttó átlagkeresete, Ft/fõ/hó;Teljes munkaidõben alkalmazásban állók bruttó átlagkeresete, elõzõ év azonos idõszaka = 100,0%;Teljes munkaidõben alkalmazásban állók bruttó medián keresete, Ft/fõ/hó;Teljes munkaidõben alkalmazásban állók bruttó medián keresete, elõzõ év azonos idõszaka = 100,0%;Teljes munkaidõben alkalmazásban állók nettó átlagkeresete, Ft/fõ/hó;Teljes munkaidõben alkalmazásban állók nettó átlagkeresete, elõzõ év azonos idõszaka = 100,0%;Teljes munkaidõben alkalmazásban állók létszáma, ezer fõ;Teljes munkaidõben alkalmazásban állók létszáma, elõzõ év azonos idõszaka = 100,0%;Teljes munkaidõben alkalmazásban állók közfoglalkoztatottak nélkül bruttó átlagkeresete, Ft/fõ/hó;Teljes munkaidõben alkalmazásban állók közfoglalkoztatottak nélkül bruttó átlagkeresete, elõzõ év azonos idõszaka = 100,0%;Teljes munkaidõben alkalmazásban állók közfoglalkoztatottak nélkül bruttó medián keresete, Ft/fõ/hó;Teljes munkaidõben alkalmazásban állók közfoglalkoztatottak nélkül bruttó medián keresete, elõzõ év azonos idõszaka = 100,0%;Teljes munkaidõben alkalmazásban állók közfoglalkoztatottak nélkül nettó átlagkeresete, Ft/fõ/hó;Teljes munkaidõben alkalmazásban állók közfoglalkoztatottak nélkül nettó átlagkeresete, elõzõ év azonos idõszaka = 100,0%;Teljes munkaidõben alkalmazásban állók közfoglalkoztatottak nélkül létszáma, ezer fõ;Teljes munkaidõben alkalmazásban állók közfoglalkoztatottak nélkül létszáma, elõzõ év azonos idõszaka = 100,0%
Havonta;;;;;;;;;;;;;;;;;
2018.;január;323 030;113,2;..;..;214 814;113,2;1 878,2;103,1;323 959;113,1;..;..;215 432;113,1;1 870,9;103,2
;február;315 772;110,7;..;..;209 987;110,7;1 882,2;103,4;316 606;110,6;..;..;210 542;110,6;1 875,4;103,6
;március;342 419;108,6;..;..;227 712;108,6;1 884,5;103,3;343 127;108,5;..;..;228 183;108,5;1 879,4;103,4
;április;353 804;111,1;..;..;235 279;111,1;1 888,2;103,0;354 593;110,9;..;..;235 804;110,9;1 882,7;103,2
;május;340 974;111,0;..;..;226 747;111,0;1 892,1;102,8;341 702;110,8;..;..;227 231;110,8;1 886,8;103,0
;június;341 002;110,0;..;..;226 765;110,0;1 897,1;102,7;341 693;109,9;..;..;227 225;109,9;1 892,0;102,9
;július;335 084;111,1;..;..;222 830;111,1;1 903,4;102,7;335 588;110,9;..;..;223 165;110,9;1 899,6;102,9
;augusztus;332 174;111,4;..;..;220 895;111,4;1 899,7;102,6;332 706;111,2;..;..;221 249;111,2;1 895,6;102,8
;szeptember;331 661;111,1;..;..;220 554;111,1;1 900,9;102,7;332 181;111,0;..;..;220 900;111,0;1 896,9;102,9
;október;339 213;111,2;..;..;225 576;111,2;1 903,6;102,7;339 731;111,0;..;..;225 921;111,0;1 899,8;102,9
;november;368 282;111,1;..;..;244 907;111,1;1 909,7;103,3;368 836;111,0;..;..;245 275;111,0;1 906,0;103,5
;december;374 486;110,7;..;..;249 032;110,7;1 905,3;102,8;375 038;110,5;..;..;249 399;110,5;1 901,7;103,0
2019.;január;359 772;111,8;275 631;114,2;239 248;111,8;1 966,6;103,1;360 388;111,6;276 000;114,0;239 658;111,6;1 962,2;103,3
;február;356 841;112,1;269 957;115,4;237 299;112,1;1 978,4;104,0;357 450;111,9;270 000;115,1;237 704;111,9;1 974,0;104,2
;március;384 257;111,7;283 000;113,5;255 531;111,7;1 982,1;103,5;384 843;111,6;283 500;113,4;255 921;111,6;1 978,3;103,6
;április;389 587;110,3;286 500;115,4;259 075;110,3;1 990,6;103,3;390 243;110,2;287 000;115,2;259 512;110,2;1 986,4;103,4
;május;378 587;111,2;289 276;113,7;251 760;111,2;1 989,8;103,0;379 224;111,1;289 867;113,7;252 184;111,1;1 985,5;103,2
;június;378 182;110,9;286 168;113,9;251 491;110,9;1 982,2;102,4;378 824;110,8;286 736;113,8;251 918;110,8;1 977,9;102,6
;július;375 186;111,8;290 640;115,7;249 499;111,8;1 985,6;102,0;375 801;111,8;291 158;115,7;249 908;111,8;1 981,4;102,0
;augusztus;370 293;111,4;290 467;114,0;246 245;111,4;1 982,5;101,6;370 858;111,4;290 965;114,0;246 621;111,4;1 978,5;101,7
;szeptember;369 257;111,6;289 600;115,4;245 556;111,6;1 982,1;101,1;369 703;111,5;290 000;115,3;245 852;111,5;1 978,2;101,1
;október;377 474;111,5;297 602;114,9;251 020;111,5;1 986,7;101,0;378 056;111,5;298 000;114,8;251 407;111,5;1 982,8;101,1
;november;410 336;112,1;305 000;114,7;272 874;112,1;1 987,4;100,9;411 008;112,1;305 344;114,5;273 320;112,1;1 983,3;100,9
;december;421 900;113,2;308 583;115,6;280 563;113,2;1 981,5;100,8;422 544;113,2;309 138;115,6;280 992;113,2;1 977,7;100,9
