20.2.1.52. Fõbb kereseti adatok – nonprofit szervezetek, havonta valamint havi és negyedévente kumulált;;;;;;;;;;;;;;;;;
Év;Idõszak;Teljes munkaidõben alkalmazásban állók bruttó átlagkeresete, Ft/fõ/hó;Teljes munkaidõben alkalmazásban állók bruttó átlagkeresete, elõzõ év azonos idõszaka = 100,0%;Teljes munkaidõben alkalmazásban állók bruttó medián keresete, Ft/fõ/hó;Teljes munkaidõben alkalmazásban állók bruttó medián keresete, elõzõ év azonos idõszaka = 100,0%;Teljes munkaidõben alkalmazásban állók nettó átlagkeresete, Ft/fõ/hó;Teljes munkaidõben alkalmazásban állók nettó átlagkeresete, elõzõ év azonos idõszaka = 100,0%;Teljes munkaidõben alkalmazásban állók létszáma, ezer fõ;Teljes munkaidõben alkalmazásban állók létszáma, elõzõ év azonos idõszaka = 100,0%;Teljes munkaidõben alkalmazásban állók közfoglalkoztatottak nélkül bruttó átlagkeresete, Ft/fõ/hó;Teljes munkaidõben alkalmazásban állók közfoglalkoztatottak nélkül bruttó átlagkeresete, elõzõ év azonos idõszaka = 100,0%;Teljes munkaidõben alkalmazásban állók közfoglalkoztatottak nélkül bruttó medián keresete, Ft/fõ/hó;Teljes munkaidõben alkalmazásban állók közfoglalkoztatottak nélkül bruttó medián keresete, elõzõ év azonos idõszaka = 100,0%;Teljes munkaidõben alkalmazásban állók közfoglalkoztatottak nélkül nettó átlagkeresete, Ft/fõ/hó;Teljes munkaidõben alkalmazásban állók közfoglalkoztatottak nélkül nettó átlagkeresete, elõzõ év azonos idõszaka = 100,0%;Teljes munkaidõben alkalmazásban állók közfoglalkoztatottak nélkül létszáma, ezer fõ;Teljes munkaidõben alkalmazásban állók közfoglalkoztatottak nélkül létszáma, elõzõ év azonos idõszaka = 100,0%
Havonta;;;;;;;;;;;;;;;;;
2018.;január;265 751;111,6;..;..;176 725;111,6;126,6;106,0;290 223;111,6;..;..;192 998;111,6;111,5;106,1
;február;270 485;112,7;..;..;179 872;112,7;126,4;106,5;294 079;112,2;..;..;195 562;112,2;112,1;107,5
;március;278 074;107,1;..;..;184 919;107,1;125,0;110,6;299 796;109,2;..;..;199 364;109,2;112,3;107,7
;április;275 192;110,0;..;..;183 003;110,0;125,2;107,0;294 627;108,7;..;..;195 927;108,7;113,5;109,2
;május;282 962;112,6;..;..;188 170;112,6;125,4;106,3;306 488;112,0;..;..;203 815;112,0;112,0;107,4
;június;289 674;110,3;..;..;192 633;110,3;124,9;106,9;312 759;109,3;..;..;207 984;109,3;112,2;108,6
;július;283 013;112,9;..;..;188 204;112,9;121,0;103,4;300 146;110,3;..;..;199 597;110,3;111,6;107,7
;augusztus;284 811;113,1;..;..;189 400;113,1;121,9;103,1;302 262;110,8;..;..;201 005;110,8;112,3;106,6
;szeptember;280 581;108,4;..;..;186 587;108,4;122,8;103,0;297 254;106,2;..;..;197 674;106,2;113,3;106,4
;október;281 202;110,6;..;..;186 999;110,6;123,3;102,9;298 171;108,7;..;..;198 283;108,7;113,5;105,8
;november;296 668;109,2;..;..;197 284;109,2;123,2;104,5;315 218;107,5;..;..;209 620;107,5;113,4;107,1
;december;348 317;111,3;..;..;231 631;111,3;123,8;102,8;370 950;109,3;..;..;246 682;109,3;114,1;105,7
2019.;január;304 189;112,0;267 500;112,6;202 286;112,0;126,6;98,7;324 775;108,1;280 606;108,8;215 975;108,1;115,6;104,5
;február;301 319;109,6;264 045;112,1;200 377;109,6;127,0;100,0;321 672;106,2;276 500;108,1;213 912;106,2;116,0;104,9
;március;313 145;109,5;274 050;110,0;208 242;109,5;124,0;99,0;328 615;105,8;284 200;105,9;218 529;105,8;116,0;104,2
;április;318 661;114,2;281 608;114,9;211 910;114,2;126,8;99,7;336 920;110,2;293 438;111,4;224 052;110,2;117,5;105,3
;május;316 231;110,3;274 100;109,6;210 293;110,3;127,2;99,6;334 324;106,3;285 047;105,6;222 325;106,3;117,8;105,1
;június;334 989;112,9;283 185;113,4;222 768;112,9;126,7;99,2;354 522;109,2;295 382;109,7;235 757;109,2;117,4;104,2
;július;325 374;112,0;277 200;111,4;216 373;112,0;126,6;103,2;343 634;111,0;289 290;110,1;228 517;111,0;117,6;104,8
;augusztus;320 643;109,7;280 000;111,1;213 227;109,7;127,0;102,7;337 604;107,9;290 971;109,8;224 506;107,9;118,1;105,0
;szeptember;327 301;113,3;280 000;112,2;217 655;113,3;128,6;102,7;341 223;110,7;291 000;110,6;226 913;110,7;119,5;104,6
;október;319 595;110,4;279 298;111,3;212 531;110,4;129,9;103,6;336 788;108,8;290 000;109,4;223 964;108,8;121,0;106,0
;november;346 349;113,0;292 320;111,6;230 322;113,0;130,3;103,3;365 101;111,2;301 486;109,3;242 792;111,2;121,5;105,8
;december;414 893;116,1;337 200;116,3;275 904;116,1;128,7;101,9;434 415;113,2;350 000;113,6;288 886;113,2;121,5;105,6
2020.;január;333 506;109,6;291 782;109,1;221 782;109,6;128,3;101,4;349 359;107,6;300 000;106,9;232 324;107,6;120,6;104,3
