20.2.1.53. Közfoglalkoztatásban foglalkoztatottak fõbb kereseti adatai, havonta valamint havi és negyedévente kumulált;;;;;;;;;;;;;;;;;
Év;Idõszak;A legalább öt fõt foglalkoztató vállalkozások, valamennyi költségvetési intézmény és foglalkoztatás szempontjából jelentõs nonprofit szervezetek körében teljes munkaidõben alkalmazásban álló közfoglalkoztatottak bruttó átlagkeresete, Ft/fõ/hó;A legalább öt fõt foglalkoztató vállalkozások, valamennyi költségvetési intézmény és foglalkoztatás szempontjából jelentõs nonprofit szervezetek körében teljes munkaidõben alkalmazásban álló közfoglalkoztatottak bruttó átlagkeresete, elõzõ év azonos idõszaka = 100,0%;A legalább öt fõt foglalkoztató vállalkozások, valamennyi költségvetési intézmény és foglalkoztatás szempontjából jelentõs nonprofit szervezetek körében teljes munkaidõben alkalmazásban álló közfoglalkoztatottak nettó átlagkeresete, Ft/fõ/hó;A legalább öt fõt foglalkoztató vállalkozások, valamennyi költségvetési intézmény és foglalkoztatás szempontjából jelentõs nonprofit szervezetek körében teljes munkaidõben alkalmazásban álló közfoglalkoztatottak nettó átlagkeresete, elõzõ év azonos idõszaka = 100,0%;A legalább öt fõt foglalkoztató vállalkozások, valamennyi költségvetési intézmény és foglalkoztatás szempontjából jelentõs nonprofit szervezetek körében teljes munkaidõben alkalmazásban álló közfoglalkoztatottak létszáma, ezer fõ;A legalább öt fõt foglalkoztató vállalkozások, valamennyi költségvetési intézmény és foglalkoztatás szempontjából jelentõs nonprofit szervezetek körében teljes munkaidõben alkalmazásban álló közfoglalkoztatottak létszáma, elõzõ év azonos idõszaka = 100,0%;A legalább öt fõt foglalkoztató vállalkozások, valamennyi költségvetési intézmény és foglalkoztatás szempontjából jelentõs nonprofit szervezetek körében alkalmazásban álló közfoglalkoztatottak száma, ezer fõ;A legalább öt fõt foglalkoztató vállalkozások, valamennyi költségvetési intézmény és foglalkoztatás szempontjából jelentõs nonprofit szervezetek körében alkalmazásban álló közfoglalkoztatottak száma, elõzõ év azonos idõszaka = 100,0%;Ezen belül: a költségvetési szervezeteknél teljes munkaidõben alkalmazásban álló közfoglalkoztatottak bruttó átlagkeresete, Ft/fõ/hó;Ezen belül: a költségvetési szervezeteknél teljes munkaidõben alkalmazásban álló közfoglalkoztatottak bruttó átlagkeresete, elõzõ év azonos idõszaka = 100,0%;Ezen belül: a költségvetési szervezeteknél teljes munkaidõben alkalmazásban álló közfoglalkoztatottak nettó átlagkeresete, Ft/fõ/hó;Ezen belül: a költségvetési szervezeteknél teljes munkaidõben alkalmazásban álló közfoglalkoztatottak nettó átlagkeresete, elõzõ év azonos idõszaka = 100,0%;Ezen belül: a költségvetési szervezeteknél teljes munkaidõben alkalmazásban álló közfoglalkoztatottak létszáma, ezer fõ;Ezen belül: a költségvetési szervezeteknél teljes munkaidõben alkalmazásban álló közfoglalkoztatottak létszáma, elõzõ év azonos idõszaka = 100,0%;Ezen belül: a költségvetési szervezeteknél alkalmazásban álló közfoglalkoztatottak száma létszáma, ezer fõ;Ezen belül: a költségvetési szervezeteknél alkalmazásban álló közfoglalkoztatottak száma létszáma, elõzõ év azonos idõszaka = 100,0%
Havonta;;;;;;;;;;;;;;;;;
2018.;január;82 252;102,7;54 698;102,7;148,6;78,4;149,2;78,4;81 809;102,0;54 403;102,0;126,2;76,1;126,5;76,1
;február;81 619;101,2;54 276;101,2;141,6;75,8;142,1;75,8;81 053;100,5;53 901;100,5;120,6;73,7;120,9;73,6
;március;82 778;99,6;55 048;99,6;132,3;88,7;132,6;88,7;82 301;99,2;54 730;99,2;114,4;86,1;114,6;86,1
;április;82 539;99,2;54 889;99,2;136,0;80,5;136,4;80,4;82 126;99,0;54 614;99,0;118,8;80,6;119,1;80,6
;május;82 166;100,1;54 640;100,1;135,8;79,4;136,1;79,3;81 725;99,5;54 347;99,5;117,1;78,7;117,3;78,7
;június;81 772;100,1;54 378;100,1;130,9;77,6;131,2;77,5;81 220;99,6;54 012;99,6;113,1;77,0;113,3;77,0
;július;82 219;100,9;54 672;100,9;113,1;69,1;113,4;69,0;82 344;101,2;54 759;101,2;99,9;70,2;100,1;70,1
;augusztus;81 471;99,9;54 179;99,9;114,2;71,3;114,5;71,3;81 356;100,0;54 101;100,0;100,4;72,2;100,7;72,1
;szeptember;81 159;99,8;53 971;99,8;113,1;72,1;113,4;72,1;81 081;99,9;53 919;99,9;99,7;72,9;99,9;72,9
;október;81 491;99,9;54 192;99,9;114,2;73,8;114,6;73,8;81 199;99,8;53 998;99,8;100,6;74,6;100,9;74,6
;november;81 740;99,5;54 357;99,5;114,1;75,3;114,4;75,3;81 680;99,5;54 317;99,5;100,6;76,1;100,9;76,1
;december;81 721;99,0;54 345;99,0;112,6;75,1;113,0;75,1;81 734;99,0;54 353;99,0;99,4;76,1;99,6;76,1
2019.;január;81 246;98,4;54 029;98,4;112,1;74,0;112,4;74,0;80 531;98,4;53 553;98,4;96,8;76,7;97,1;76,7
;február;81 339;99,3;54 090;99,3;111,3;77,0;111,6;77,1;80 572;99,4;53 580;99,4;95,9;79,5;96,1;79,5
;március;83 115;100,1;55 271;100,1;96,2;71,3;96,5;71,4;82 481;100,2;54 850;100,2;84,4;73,8;84,6;73,8
;április;82 506;99,6;54 867;99,6;101,6;71,8;101,9;71,8;81 805;99,6;54 400;99,6;88,0;74,0;88,2;74,1
;május;82 166;99,6;54 640;99,6;101,2;72,6;101,5;72,7;81 468;99,7;54 176;99,7;87,5;74,8;87,8;74,8
;június;82 000;99,9;54 530;99,9;100,2;74,3;100,5;74,3;81 333;100,1;54 086;100,1;86,6;76,6;86,9;76,6
;július;81 544;98,5;54 227;98,5;98,1;85,0;98,4;85,1;80 828;98,2;53 751;98,2;84,9;85,0;85,1;85,1
;augusztus;82 945;101,2;55 159;101,2;97,6;83,4;97,9;83,5;81 199;99,8;53 997;99,8;84,7;84,3;85,0;84,4
;szeptember;148 287;181,7;98 611;181,7;98,4;85,0;98,7;85,1;149 147;183,9;99 183;183,9;85,5;85,8;85,8;85,9
;október;81 376;99,6;54 115;99,6;98,9;84,6;99,2;84,6;80 803;99,5;53 734;99,5;86,1;85,6;86,3;85,6
;november;82 096;99,9;54 594;99,9;98,4;84,4;98,8;84,5;81 590;99,9;54 257;99,9;85,6;85,1;85,9;85,1
