20.2.1.56. A teljes munkaidõben alkalmazásban állók bruttó átlagkeresete a munkavállalók fõbb demográfiai jellemzõje szerint, negyedévente kumulált;;;;;;;;;;
Év;Negyedév;Férfi;Nõ;Összesen;ebbõl: 20 év alatt;ebbõl: 20–29 éves;ebbõl: 30–39 éves;ebbõl: 40–49 éves;ebbõl: 50–59 éves;ebbõl: 60 év és afelett
Bruttó átlagkereset, forint/fõ/hó;;;;;;;;;;
2019.;I.;385 093;320 021;352 151;226 737;313 315;383 276;373 580;339 616;360 311
;I–II.;393 731;325 741;359 464;231 580;319 647;390 751;381 477;347 613;369 130
;I–III.;393 559;327 684;359 885;233 093;322 071;391 114;381 589;349 513;372 517
;I–IV.;403 582;335 767;367 833;238 857;331 093;401 364;391 091;357 972;383 155
2020.;I.;419 849;349 190;384 219;235 373;333 020;414 948;412 911;373 266;377 591
;I–II.;429 004;362 149;394 960;235 722;340 694;424 414;424 516;385 303;390 647
;I–III.;429 543;362 510;395 030;233 396;340 808;423 567;424 216;387 238;395 454
;I–IV.;439 929;370 005;403 616;236 738;346 885;432 233;434 023;397 075;407 700
2021.;I.;457 573;383 979;420 222;249 043;361 244;450 091;450 768;410 611;426 144
;I–II.;466 998;391 062;428 247;253 122;367 223;457 736;459 776;419 618;437 990
;I–III.;467 260;392 120;428 642;253 064;368 115;457 540;459 723;421 389;441 341
;I–IV.;479 159;401 668;438 814;255 905;375 118;467 774;471 123;433 357;456 666
2022.;I.;561 594;454 243;508 279;287 811;430 237;543 592;556 963;494 007;496 197
;I–II.;554 665;456 124;505 272;292 869;429 576;538 787;547 917;494 727;506 289
;I–III.;551 718;456 876;503 639;295 956;431 559;537 327;543 478;494 448;509 680
;I–IV.;;;;;;;;;
Az elõzõ év azonos idõszaka = 100,0% ;;;;;;;;;;
2019.;I.;111,6;110,0;111,0;120,0;115,7;111,4;110,2;109,9;111,0
;I–II.;111,3;109,6;110,6;119,6;115,3;110,9;109,9;109,8;110,7
;I–III.;111,5;110,0;110,8;118,4;115,3;111,1;110,2;110,1;111,3
;I–IV.;112,3;110,8;111,4;118,3;116,0;112,0;111,1;110,7;112,3
2020.;I.;109,0;109,1;109,1;103,8;106,3;108,3;110,5;109,9;104,8
;I–II.;109,0;111,2;109,9;101,8;106,6;108,6;111,3;110,8;105,8
;I–III.;109,1;110,6;109,8;100,1;105,8;108,3;111,2;110,8;106,2
;I–IV.;109,0;110,2;109,7;99,1;104,8;107,7;111,0;110,9;106,4
2021.;I.;109,0;110,0;109,4;105,8;108,5;108,5;109,2;110,0;112,9
;I–II.;108,9;108,0;108,4;107,4;107,8;107,9;108,3;108,9;112,1
;I–III.;108,8;108,2;108,5;108,4;108,0;108,0;108,4;108,8;111,6
;I–IV.;108,9;108,6;108,7;108,1;108,1;108,2;108,5;109,1;112,0
2022.;I.;122,7;118,3;121,0;115,6;119,1;120,8;123,6;120,3;116,4
;I–II.;118,8;116,6;118,0;115,7;117,0;117,7;119,2;117,9;115,6
;I–III.;118,1;116,5;117,5;116,9;117,2;117,4;118,2;117,3;115,5
;I–IV.;;;;;;;;;
