20.2.1.59. A teljes munkaidõben alkalmazásban állók kedvezmények nélküli nettó átlagkeresete nemzetgazdasági áganként, havonta valamint havi és negyedévente kumulált;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Év;Idõszak;Nemzetgazdasági ágak összesen A–S;Ebbõl: mezõgazdaság, erdõgazdaság, halászat A;Ebbõl: bányászat, kõfejtés B;Ebbõl: feldolgozóipar C;Ebbõl: villamosenergia-, gáz-, gõzellátás, légkondicionálás D;Ebbõl: vízellátás, szennyvíz gyûjtése, kezelése, hulladék- gazdálkodás, szennyezõdés- mentesítés E;Ebbõl: ipar B+C+D+E;Ebbõl: építõipar F;Ebbõl: kereskedelem, gépjármûjavítás G;Ebbõl: szállítás, raktározás H;Ebbõl: szálláshely-szolgáltatás, vendéglátás I;Ebbõl: információ, kommunikáció J;Ebbõl: pénzügyi, biztosítási tevékenység K;Ebbõl: ingatlanügyletek L;Ebbõl: szakmai, tudományos, mûszaki tevékenység M;Ebbõl: adminisztratív és szolgáltatást támogató tevékenység N;"Ebbõl: közigazgatás, védelem; kötelezõ társadalom-biztosítás O";Ebbõl: oktatás P;Ebbõl: humán-egészségügyi, szociális ellátás Q;Ezen belül: humán-egészségügyi ellátás QA;Ezen belül: szociális ellátás QB;Ebbõl: mûvészet, szórakoztatás, szabadidõ szociális ellátás R;Ebbõl: egyéb szolgáltatás szociális ellátás S;Nemzetgazdasági ágak együtt közfoglalkoztatottak nélkül A–S;"Ebbõl: közigazgatás, védelem; kötelezõ társadalom-biztosítás O";Ebbõl: oktatás P;Ebbõl: humán-egészségügyi, szociális ellátás Q;Ezen belül: humán-egészségügyi ellátás QA;Ezen belül: szociális ellátás QB
Nettó átlagkereset, Ft/fõ/hó;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Havonta;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2018.;január;206 692;151 795;218 832;217 346;313 382;177 373;218 184;156 607;194 887;195 652;135 038;361 533;379 020;189 129;292 439;172 148;240 240;206 106;137 226;212 664;95 882;201 825;162 918;215 224;252 275;206 780;185 759;213 116;151 074
;február;203 826;147 800;210 274;207 612;327 164;181 436;210 039;153 126;193 349;190 046;136 887;371 332;359 951;191 718;285 227;175 093;238 973;205 597;139 237;217 232;95 581;204 505;158 115;211 809;250 174;206 237;187 114;217 673;148 556
;március;220 453;158 442;221 960;226 183;406 982;199 040;230 535;161 339;205 195;208 941;136 991;387 304;411 496;200 542;313 520;190 177;281 433;207 244;140 840;214 704;98 742;210 342;169 590;228 684;292 808;207 806;187 553;215 084;152 802
;április;226 472;166 019;246 218;240 033;384 684;189 892;241 920;162 489;203 228;204 667;140 295;394 169;513 875;210 638;321 114;179 847;286 803;212 038;142 395;221 072;98 393;219 598;168 211;235 231;299 128;212 638;190 478;221 488;152 146
;május;217 778;171 980;250 370;232 307;394 844;198 635;235 791;166 528;199 294;213 246;142 681;359 459;366 257;217 236;301 994;182 275;251 144;213 853;143 044;220 689;99 320;221 686;178 308;226 085;261 572;214 454;192 069;221 123;155 507
;június;219 167;173 246;264 092;227 754;330 322;200 635;229 742;173 452;201 009;201 958;138 886;372 690;436 003;209 650;306 124;187 394;257 015;218 082;144 984;221 908;100 843;225 190;168 006;227 243;267 453;218 678;193 502;222 348;157 241
;július;217 271;172 300;255 066;223 780;357 176;196 711;226 785;170 360;199 939;201 749;140 091;368 754;389 315;210 596;296 709;181 158;264 506;214 754;146 941;221 357;101 815;215 803;181 840;224 143;272 485;215 256;191 617;221 709;153 595
;augusztus;213 579;170 263;253 403;223 376;350 526;196 570;226 146;164 335;197 056;203 408;140 907;361 478;361 909;200 530;298 961;182 752;243 545;211 529;146 420;219 759;101 907;214 583;186 835;220 387;251 220;212 082;190 827;220 107;153 887
