20.2.1.61. A teljes munkaidõben alkalmazásban állók kedvezmények nélküli nettó átlagkeresete az álláshely fõbb jellemzõje szerint, negyedévente kumulált;;;;;;;;;;;;;;
Év;Negyedév;Alap állománycsoport, fizikai;Alap állománycsoport, szellemi;Alap állománycsoport, ismeretlen;Összesen;Ebbõl: gazdasági, igazgatási, érdekképviseleti vezetõk, törvényhozók;Ebbõl: felsõfokú képzettség önálló alkalmazását igénylõ foglalkozások;Ebbõl: egyéb felsõfokú vagy középfokú képzettséget igénylõ foglalkozások;Ebbõl: irodai és ügyviteli (ügyfél-kapcsolati) foglalkozások;Ebbõl: kereskedelmi és szolgáltatási foglalkozások;Ebbõl: mezõgazdasági és erdõgazdálkodási foglalkozások;Ebbõl: ipari és építõipari foglalkozások;Ebbõl: gépkezelõk, összeszerelõk, jármûvezetõk;Ebbõl: szakképzettséget nem igénylõ (egyszerû) foglalkozások
Nettó átlagkereset, forint;;;;;;;;;;;;;;
2019.;I.;170 590;301 234;216 879;234 181;458 618;338 798;248 738;205 786;180 974;152 819;201 071;198 483;123 377
;I–II.;174 728;306 961;217 864;239 043;469 575;343 916;253 837;209 577;185 008;157 063;205 493;204 577;125 865
;I–III.;176 187;306 005;218 855;239 323;462 989;343 545;255 121;210 255;186 533;159 019;206 711;205 744;127 763
;I–IV.;179 584;313 189;231 561;244 609;473 295;351 435;261 874;215 646;193 214;163 586;211 093;210 603;129 783
2020.;I.;186 849;326 104;164 282;255 506;491 148;364 592;273 968;224 208;200 908;169 721;220 110;216 661;136 279
;I–II.;189 985;334 680;172 956;262 648;502 249;370 751;283 968;229 707;209 071;173 630;221 704;219 710;137 089
;I–III.;191 128;333 482;180 513;262 695;499 714;371 089;281 888;229 899;209 626;174 491;223 975;221 695;137 717
;I–IV.;195 360;340 947;189 465;268 405;510 981;379 913;288 435;234 876;211 950;178 887;229 960;228 883;140 462
2021.;I.;199 738;358 690;190 601;279 448;536 994;408 786;295 921;240 985;211 117;180 038;238 113;232 733;145 591
;I–II.;204 197;365 053;199 398;284 784;549 973;415 562;301 703;244 533;216 168;184 372;242 759;239 155;148 659
;I–III.;205 484;364 403;207 125;285 047;544 943;415 209;302 532;245 418;217 800;186 531;244 260;240 006;150 165
;I–IV.;209 741;373 589;227 649;291 812;559 279;425 806;310 757;251 590;222 175;191 703;250 073;246 017;152 905
2022.;I.;248 703;426 759;303 711;338 005;618 032;472 509;352 023;284 701;328 923;206 781;271 766;266 196;170 523
;I–II.;244 656;426 776;319 660;336 006;629 362;479 097;352 849;285 594;290 852;213 464;276 945;273 918;174 680
;I–III.;244 982;423 987;325 750;334 920;620 614;478 927;352 652;286 843;280 269;216 740;280 538;277 790;177 415
;I–IV.;;;;;;;;;;;;;
Az elõzõ év azonos idõszaka = 100,0% ;;;;;;;;;;;;;;
2019.;I.;112,4;109,6;115,8;111,0;109,6;107,8;111,2;112,8;106,8;116,2;112,9;113,4;115,0
;I–II.;112,8;108,8;113,5;110,6;108,0;107,1;110,6;112,4;108,4;116,0;112,7;113,2;115,4
;I–III.;112,9;109,2;114,1;110,8;108,4;107,5;110,9;112,3;109,1;115,9;112,8;113,3;115,7
;I–IV.;113,2;109,8;119,6;111,4;109,1;108,2;111,5;112,9;112,0;115,8;112,9;113,6;115,4
2020.;I.;109,5;108,3;75,7;109,1;107,1;107,6;110,1;109,0;111,0;111,1;109,5;109,2;110,5
;I–II.;108,7;109,0;79,4;109,9;107,0;107,8;111,9;109,6;113,0;110,5;107,9;107,4;108,9
;I–III.;108,5;109,0;82,5;109,8;107,9;108,0;110,5;109,3;112,4;109,7;108,4;107,8;107,8
;I–IV.;108,8;108,9;81,8;109,7;108,0;108,1;110,1;108,9;109,7;109,4;108,9;108,7;108,2
2021.;I.;106,9;110,0;116,0;109,4;109,3;112,1;108,0;107,5;105,1;106,1;108,2;107,4;106,8
;I–II.;107,5;109,1;115,3;108,4;109,5;112,1;106,2;106,5;103,4;106,2;109,5;108,9;108,4
;I–III.;107,5;109,3;114,7;108,5;109,1;111,9;107,3;106,8;103,9;106,9;109,1;108,3;109,0
;I–IV.;107,4;109,6;120,2;108,7;109,5;112,1;107,7;107,1;104,8;107,2;108,7;107,5;108,9
2022.;I.;124,5;119,0;159,3;121,0;115,1;115,6;119,0;118,1;155,8;114,9;114,1;114,4;117,1
;I–II.;119,8;116,9;160,3;118,0;114,4;115,3;117,0;116,8;134,5;115,8;114,1;114,5;117,5
;I–III.;119,2;116,4;157,3;117,5;113,9;115,3;116,6;116,9;128,7;116,2;114,9;115,7;118,1
;I–IV.;;;;;;;;;;;;;
