20.2.1.64. Üres álláshelyek száma és aránya nemzetgazdasági áganként, negyedévente;;;;;;;;;;;;;;;;;;;;;;;;;
Év;Negyedév;Mezõgazdaság, erdõgazdálkodás, halászat A;Bányászat, kõfejtés B;Feldolgozóipar C;"Villamosenergia-, 
gáz-, gõzellátás, légkondicionálás D";Ipar víz- és hulladék-gazdálkodás nélkül B+C+D;Vízellátás, szennyvíz gyûjtése, kezelése, hulladék- gazdálkodás, szennyezõdés- mentesítés E;Ipar B+C+D+E;Építõipar F;Kereskedelem, gépjármûjavítás G;Szállítás, raktározás H;Szálláshely-szolgáltatás, vendéglátás I;Információ, kommunikáció J;Pénzügyi, biztosítási tevékenység K;Ingatlanügyletek L;Szakmai, tudományos, mûszaki tevékenység M;Adminisztratív és szolgáltatást támogató tevékenység N;"Közigazgatás, védelem; kötelezõ társadalom- biztosítás O";Oktatás P;Humán-egészségügyi, szociális ellátás Q;Mûvészet, szórakoztatás, szabad idõ R;Egyéb szolgáltatás S;Nemzetgazdaság összesen A–S;Ebbõl: versenyszféra A–S;Ebbõl: költségvetés A–S
Üres álláshelyek száma, db;;;;;;;;;;;;;;;;;;;;;;;;;
2018.;I.;860;77;24 396;326;24 799;674;25 473;4 202;5 215;4 336;2 661;3 311;1 774;428;3 223;9 104;6 247;3 450;8 063;669;412;79 428;58 830;17 289
;II.;861;128;24 366;370;24 864;772;25 636;4 335;5 701;4 537;3 119;3 354;1 850;517;3 239;10 711;7 105;3 930;7 811;567;338;83 611;61 893;18 151
;III.;1 013;67;23 858;382;24 307;787;25 094;4 909;8 095;4 252;2 934;3 404;1 813;434;3 421;9 568;8 309;4 408;8 988;672;351;87 665;63 195;21 087
;IV.;916;40;22 482;376;22 898;698;23 596;4 794;6 241;4 897;2 260;3 286;1 604;516;3 372;10 101;8 163;4 117;8 605;590;279;83 337;60 269;20 035
2019.;I.;916;69;20 537;397;21 002;921;21 923;4 412;6 742;5 665;2 919;3 365;1 470;402;3 231;8 312;6 750;4 149;9 032;675;599;80 561;57 845;19 027
;II.;861;70;18 947;401;19 418;762;20 180;4 612;6 469;5 397;2 748;3 167;1 362;406;3 049;9 334;8 211;4 559;9 393;669;474;80 890;56 359;21 187
;III.;857;77;19 625;378;20 080;896;20 975;4 381;6 510;6 002;2 711;3 110;1 381;487;2 706;6 499;7 616;4 264;9 959;553;539;78 551;53 721;20 861
;IV.;892;82;17 583;292;17 958;766;18 723;3 894;5 880;6 178;2 636;2 787;1 250;471;2 616;6 886;7 713;4 183;9 636;549;530;74 824;51 144;20 785
2020.;I.;644;42;11 323;249;11 615;631;12 246;2 882;3 736;4 264;926;2 281;1 169;296;2 428;4 953;8 112;4 400;9 062;491;341;58 233;34 343;21 147
