20.2.1.65. Munkaerõköltség-indexek alakulása, negyedévente [2016 éves átlag = 100,0%];;;;;;;;;;;;;
Év;Negyedév;Ipar B–E, eredeti idõsor;Ipar B–E, szezonális kiigazított idõsor;Építõipar F, eredeti idõsor;Építõipar F, szezonális kiigazított idõsor;Szolgáltatások (közszolgáltatások nélkül) G–N, eredeti idõsor;Szolgáltatások (közszolgáltatások nélkül) G–N, szezonális kiigazított idõsor;Ipar, építõipar és szolgáltatások (közszolgáltatások nélkül) B–N, eredeti idõsor;Ipar, építõipar és szolgáltatások (közszolgáltatások nélkül) B–N, szezonális kiigazított idõsor;Közszolgáltatások O–S, eredeti idõsor;Közszolgáltatások O–S, szezonális kiigazított idõsor;Nemzetgazdaság összesen, mezõgazdaság nélkül B–S, eredeti idõsor;Nemzetgazdaság összesen, mezõgazdaság nélkül B–S, szezonális kiigazított idõsor
Összes munkajövedelem ;;;;;;;;;;;;;
2018.;I.;115,0;119,9;118,5;122,0;118,9;119,9;117,3;120,0;119,6;125,0;118,0;121,5
;II.;123,6;123,2;121,1;125,1;124,2;123,0;123,8;123,2;123,5;128,3;123,7;124,8
;III.;124,0;126,5;121,8;128,1;123,5;125,9;123,7;126,2;141,3;129,4;129,1;127,2
;IV.;143,1;130,4;148,4;131,9;137,2;129,3;140,0;129,8;135,8;130,7;138,7;130,1
2019.;I.;128,8;134,1;134,8;138,6;131,0;132,2;130,3;133,2;128,4;134,4;129,8;133,6
;II.;139,3;137,6;139,8;143,6;138,3;135,4;138,8;136,6;133,8;137,0;137,4;136,8
;III.;138,0;141,5;143,1;150,9;134,8;138,9;136,4;140,4;149,2;140,1;140,3;140,4
;IV.;158,0;144,7;175,4;156,1;150,8;142,1;154,7;143,7;152,0;145,2;154,0;144,2
2020.;I.;139,1;147,4;149,6;156,9;141,4;145,1;140,9;146,5;137,1;146,5;139,9;146,6
;II.;155,0;152,6;160,1;151,2;154,6;139,1;155,0;140,9;159,4;148,1;156,3;143,0
;III.;145,3;149,2;157,9;166,1;144,6;150,1;145,5;150,5;158,4;150,8;149,2;150,7
;IV.;166,3;155,3;187,6;168,8;160,9;155,2;164,3;155,9;164,2;159,3;164,4;156,9
2021.;I.;149,9;156,1;164,2;171,7;153,1;155,6;152,4;156,5;156,7;163,4;153,7;158,6
;II.;159,6;159,5;170,4;175,4;158,7;156,7;159,6;158,6;164,8;168,2;161,1;161,4
;III.;158,9;164,2;170,4;179,0;157,7;162,8;158,8;164,1;181,8;174,2;165,4;167,0
;IV.;183,4;170,2;204,0;184,6;173,7;167,7;178,8;169,5;187,3;183,2;181,3;173,5
2022.;I.;168,6;176,6;186,5;194,5;174,7;178,1;173,0;178,3;220,1;230,1;186,3;192,9
;II.;;;;;;;;;;;;
;III.;;;;;;;;;;;;
;IV.;;;;;;;;;;;;
Szociális költség;;;;;;;;;;;;;
2018.;I.;85,6;89,0;87,7;92,9;87,7;89,2;86,9;89,3;90,3;95,4;87,9;91,1
;II.;91,1;90,9;88,5;92,2;90,9;90,3;90,9;90,6;93,7;97,9;91,8;92,9
;III.;91,9;93,2;88,7;93,0;90,8;91,9;91,1;92,5;107,0;100,0;95,9;94,7
;IV.;103,2;95,4;106,4;91,5;98,7;92,7;100,8;93,7;100,5;100,5;100,7;95,8
2019.;I.;96,4;99,4;93,4;99,4;96,8;98,0;96,5;98,6;107,2;107,9;99,7;101,4
;II.;103,0;101,4;95,0;97,2;101,0;98,3;101,5;99,5;111,3;110,3;104,4;102,7
;III.;93,4;95,8;87,4;92,8;89,5;92,4;90,9;93,7;112,8;110,7;97,4;98,7
;IV.;105,3;97,8;105,9;91,3;98,7;93,0;101,6;94,7;112,6;114,2;104,9;100,5
2020.;I.;99,4;102,5;101,4;101,4;98,4;100,8;99,0;101,5;104,6;110,0;100,8;104,2
;II.;109,3;107,2;104,7;106,0;103,5;100,4;105,8;103,3;115,8;112,9;108,8;106,2
;III.;93,6;96,4;90,0;98,0;91,2;95,2;92,1;95,8;112,5;109,7;98,0;100,0
;IV.;103,2;101,9;110,1;103,4;97,6;97,2;100,2;99,3;104,0;110,0;101,5;102,5
2021.;I.;93,0;95,1;94,9;97,0;89,9;90,5;91,3;92,6;98,8;103,7;93,6;95,9
;II.;98,2;97,0;97,4;95,9;92,9;89,7;95,1;92,7;101,5;102,1;97,1;95,5
;III.;98,6;101,2;97,6;104,1;95,9;97,8;97,0;99,4;116,5;108,6;102,8;102,2
;IV.;111,3;106,7;115,7;106,4;103,5;101,1;107,0;103,4;115,4;115,2;109,6;107,0
2022.;I.;87,8;90,6;90,7;96,3;88,7;93,8;88,5;92,9;114,0;123,1;95,8;101,5
;II.;;;;;;;;;;;;
;III.;;;;;;;;;;;;
;IV.;;;;;;;;;;;;
Munkaerõköltség;;;;;;;;;;;;;
2018.;I.;108,9;112,8;112,0;115,6;112,3;112,8;110,9;112,9;113,5;118,1;111,7;114,5
;II.;116,8;115,8;114,2;117,8;117,2;115,5;116,9;115,7;117,3;121,3;117,0;117,4
;III.;117,4;118,9;114,9;120,3;116,6;118,0;116,8;118,5;134,2;122,6;122,1;119,7
;IV.;134,8;122,4;139,6;122,9;129,0;120,8;131,8;121,5;128,5;123,7;130,8;122,2
2019.;I.;122,0;126,2;126,1;129,9;123,8;124,3;123,2;125,3;124,0;128,3;123,5;126,2
;II.;131,8;129,3;130,4;133,3;130,4;126,9;130,9;128,1;129,2;130,8;130,5;129,0
;III.;128,8;131,1;131,4;138,0;125,2;128,2;126,9;129,7;141,7;133,3;131,3;130,9
;IV.;147,1;134,0;160,8;141,7;139,8;130,8;143,6;132,5;143,9;138,1;143,7;134,2
2020.;I.;130,8;137,1;139,5;144,6;132,3;134,9;132,1;136,2;130,4;138,1;131,7;136,9
;II.;145,5;142,2;148,5;151,2;143,8;139,1;144,6;140,9;150,4;148,1;146,4;143,0
;III.;134,6;137,1;143,7;151,1;133,3;137,5;134,3;138,0;148,9;141,3;138,5;139,1
;IV.;153,2;143,1;170,6;154,5;147,5;141,9;150,8;142,9;151,8;147,8;151,2;144,4
2021.;I.;138,1;142,1;149,5;155,1;139,7;140,5;139,6;141,8;144,7;149,6;141,2;144,1
;II.;146,9;145,2;154,9;157,7;144,7;141,2;146,0;143,5;151,7;152,9;147,8;146,3
;III.;146,3;149,8;154,9;162,3;144,6;147,8;145,8;149,2;168,3;159,0;152,3;152,1
;IV.;168,4;155,7;185,3;167,2;158,8;152,6;163,7;154,5;172,4;167,5;166,3;158,3
2022.;I.;151,8;156,9;166,3;172,7;156,4;158,7;155,2;158,7;198,1;205,4;167,4;171,9
;II.;;;;;;;;;;;;
;III.;;;;;;;;;;;;
;IV.;;;;;;;;;;;;
