20.2.2.2. A 15–64 éves népesség gazdasági aktivitása, megye és régió szerint, negyedévente;;;;;;;;;;
Területi egység neve;Területi egység szintje;Foglalkoztatottak, ezer fõ;Munkanélküliek, ezer fõ;Gazdaságilag aktívak, ezer fõ;Gazdaságilag nem aktívak, ezer fõ;15–64 éves népesség, ezer fõ;Ebbõl: Potenciális munkaerõ-tartalék, ezer fõ;Aktivitási arány, %;Munkanélküliségi ráta, %;Foglalkoztatási ráta, %
2009. I. negyedév;;;;;;;;;;
Budapest;fõváros, régió;759,1;39,9;799,0;344,3;1 143,3;66,1;69,9;5,0;66,4
Pest;megye, régió;503,3;32,5;535,8;276,6;812,3;48,9;66,0;6,1;62,0
Közép-Magyarország;nagyrégió;1 262,4;72,3;1 334,7;620,9;1 955,7;115,0;68,3;5,4;64,6
Fejér;megye;176,5;14,4;190,8;100,2;291,1;22,5;65,6;7,5;60,6
Komárom-Esztergom;megye;133,2;9,4;142,6;70,4;213,0;16,7;66,9;6,6;62,5
Veszprém;megye;140,8;17,4;158,1;87,2;245,3;24,4;64,5;11,0;57,4
Közép-Dunántúl;régió;450,4;41,2;491,6;257,8;749,4;63,6;65,6;8,4;60,1
Gyõr-Moson-Sopron;megye;191,3;12,1;203,4;100,7;304,1;16,1;66,9;5,9;62,9
Vas;megye;111,1;9,9;121,0;57,8;178,8;14,7;67,7;8,2;62,2
Zala;megye;118,3;12,2;130,6;67,5;198,1;18,7;65,9;9,4;59,7
Nyugat-Dunántúl;régió;420,8;34,2;455,0;225,9;680,9;49,6;66,8;7,5;61,8
Baranya;megye;140,3;16,6;156,8;107,5;264,3;30,7;59,3;10,6;53,1
Somogy;megye;106,9;13,0;120,0;97,9;217,9;28,2;55,1;10,8;49,1
Tolna;megye;88,2;10,5;98,7;62,9;161,7;16,1;61,1;10,6;54,6
Dél-Dunántúl;régió;335,4;40,1;375,5;268,3;643,8;75,1;58,3;10,7;52,1
Dunántúl;nagyrégió;1 206,7;115,4;1 322,1;752,1;2 074,2;188,3;63,7;8,7;58,2
Borsod-Abaúj-Zemplén;megye;224,0;43,7;267,7;202,7;470,4;73,2;56,9;16,3;47,6
Heves;megye;111,0;16,6;127,6;82,0;209,6;24,2;60,9;13,0;53,0
Nógrád;megye;69,7;13,4;83,1;56,4;139,5;20,0;59,6;16,1;50,0
Észak-Magyarország;régió;404,7;73,7;478,4;341,2;819,6;117,4;58,4;15,4;49,4
Hajdú-Bihar;megye;176,9;23,5;200,4;169,1;369,5;44,3;54,2;11,7;47,9
Jász-Nagykun-Szolnok;megye;144,9;18,2;163,1;103,3;266,4;32,6;61,2;11,1;54,4
Szabolcs-Szatmár-Bereg;megye;172,8;45,4;218,2;169,7;387,9;69,9;56,3;20,8;44,5
Észak-Alföld;régió;494,6;87,1;581,7;442,0;1 023,8;146,8;56,8;15,0;48,3
Bács-Kiskun;megye;195,4;22,5;217,8;138,8;356,6;37,4;61,1;10,3;54,8
Békés;megye;126,0;19,6;145,6;103,9;249,5;28,8;58,4;13,4;50,5
Csongrád-Csanád;megye;158,9;13,0;171,9;109,3;281,2;19,7;61,1;7,6;56,5
