20.2.2.3. A foglalkoztatottak száma, megye és régió szerint, negyedévente [ezer fõ];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Területi egység neve;Területi egység szintje;2009. I. negyedév;2009. II. negyedév;2009. III. negyedév;2009. IV. negyedév;2010. I. negyedév;2010. II. negyedév;2010. III. negyedév;2010. IV. negyedév;2011. I. negyedév;2011. II. negyedév;2011. III. negyedév;2011. IV. negyedév;2012. I. negyedév;2012. II. negyedév;2012. III. negyedév;2012. IV. negyedév;2013. I. negyedév;2013. II. negyedév;2013. III. negyedév;2013. IV. negyedév;2014. I. negyedév;2014. II. negyedév;2014. III. negyedév;2014. IV. negyedév;2015. I. negyedév;2015. II. negyedév;2015. III. negyedév;2015. IV. negyedév;2016. I. negyedév;2016. II. negyedév;2016. III. negyedév;2016. IV. negyedév;2017. I. negyedév;2017. II. negyedév;2017. III. negyedév;2017. IV. negyedév;2018. I. negyedév;2018. II. negyedév;2018. III. negyedév;2018. IV. negyedév;2019. I. negyedév;2019. II. negyedév;2019. III. negyedév;2019. IV. negyedév;2020. I. negyedév;2020. II. negyedév;2020. III. negyedév;2020. IV. negyedév;2021. I. negyedév;2021. II. negyedév;2021. III. negyedév;2021. IV. negyedév;2022. I. negyedév;2022. II. negyedév;2022. III. negyedév;2022. IV. negyedév
Budapest;fõváros, régió;768,2;767,3;763,6;764,9;749,9;747,8;742,6;743,2;745,8;751,0;756,9;757,7;761,0;765,4;789,4;787,9;789,7;790,6;783,9;775,5;797,3;806,9;816,6;815,4;819,9;821,1;841,1;851,3;854,1;866,9;881,9;878,5;867,4;870,4;880,8;875,6;858,5;867,7;865,0;862,6;869,5;868,8;875,0;884,1;879,0;877,2;881,9;875,6;855,1;871,3;875,0;888,6;894,1;886,8;887,7;
Pest ;megye, régió;505,6;508,8;501,6;502,4;501,2;500,1;501,8;502,4;504,0;508,6;508,6;510,8;515,0;508,8;512,9;515,8;510,4;523,3;529,5;542,6;544,8;547,4;552,3;547,3;545,0;564,0;565,9;570,5;575,7;581,4;587,8;593,6;591,2;590,2;599,3;610,8;619,5;611,8;616,2;628,0;629,5;631,8;640,6;644,7;642,1;641,5;642,1;651,3;646,0;655,7;661,8;670,3;663,3;672,7;674,0;
Közép-Magyarország;nagyrégió;1 273,9;1 276,1;1 265,2;1 267,3;1 251,1;1 248,0;1 244,4;1 245,7;1 249,9;1 259,6;1 265,5;1 268,6;1 276,0;1 274,2;1 302,3;1 303,7;1 300,1;1 313,9;1 313,4;1 318,1;1 342,1;1 354,3;1 368,9;1 362,7;1 364,9;1 385,1;1 407,0;1 421,8;1 429,8;1 448,3;1 469,7;1 472,1;1 458,5;1 460,6;1 480,1;1 486,4;1 478,1;1 479,6;1 481,2;1 490,6;1 499,0;1 500,6;1 515,6;1 528,9;1 521,1;1 518,7;1 524,0;1 526,9;1 501,0;1 527,1;1 536,8;1 558,9;1 557,4;1 559,4;1 561,7;
Fejér;megye;176,9;176,1;171,4;171,2;169,8;169,0;175,1;176,1;179,3;178,7;176,7;178,7;174,5;178,8;180,2;177,5;177,7;181,9;185,2;184,5;185,4;189,2;193,0;195,8;198,5;198,9;203,4;201,4;199,4;198,0;202,3;203,6;202,5;205,7;202,7;200,1;202,7;203,3;209,8;206,6;211,2;212,3;209,3;206,8;208,0;205,7;209,9;211,2;207,2;206,2;208,2;208,8;211,6;214,3;214,4;
Komárom-Esztergom;megye;133,7;131,7;129,5;131,2;130,8;131,8;132,3;133,1;131,7;134,7;136,5;136,8;132,8;132,7;132,7;132,4;127,5;130,8;132,5;133,8;131,8;137,8;137,9;136,3;135,8;139,1;141,3;141,0;138,1;141,6;139,8;141,7;144,7;146,5;147,9;144,6;146,9;149,9;149,3;146,9;146,3;146,0;148,4;144,5;145,0;141,7;146,7;149,6;155,1;151,2;154,8;154,8;154,4;155,9;156,6;
Veszprém;megye;141,3;146,7;144,2;142,7;137,8;140,5;145,3;144,6;143,3;145,0;150,3;146,1;141,7;145,8;147,0;150,1;144,8;147,3;151,6;150,9;153,9;157,1;160,5;157,8;158,4;160,0;163,6;161,6;160,7;163,8;164,5;164,5;165,6;167,4;169,3;168,4;163,8;164,6;163,4;160,8;162,3;162,4;164,8;166,3;163,9;164,4;165,4;165,9;163,1;164,6;164,0;167,0;166,5;164,1;165,6;
Közép-Dunántúl;régió;452,0;454,4;445,1;445,1;438,4;441,3;452,8;453,8;454,4;458,4;463,6;461,6;448,9;457,3;459,8;460,0;450,0;460,0;469,3;469,1;471,1;484,2;491,4;489,9;492,6;497,9;508,3;504,0;498,2;503,4;506,7;509,7;512,7;519,5;519,9;513,1;513,5;517,8;522,5;514,3;519,9;520,7;522,5;517,7;516,9;511,8;522,1;526,6;525,4;522,0;526,9;530,6;532,5;534,3;536,5;
Gyõr-Moson-Sopron;megye;191,8;192,3;193,6;193,4;192,0;193,7;193,3;193,6;189,8;191,3;193,6;192,9;191,6;198,8;201,1;194,1;198,8;199,9;204,8;209,4;218,2;214,6;214,0;211,6;214,8;219,7;216,3;218,2;222,0;223,6;225,7;223,5;227,9;229,5;230,7;233,7;238,2;240,0;235,1;235,9;235,2;242,4;243,2;244,7;245,2;239,3;243,8;243,4;243,5;246,1;250,0;253,1;251,3;249,9;254,0;
Vas;megye;112,1;105,5;106,4;104,8;105,1;104,6;107,5;110,5;110,4;110,5;111,5;115,9;114,6;115,7;115,9;114,3;109,8;113,5;114,4;115,5;118,1;119,2;124,5;123,6;120,2;122,5;125,7;124,5;124,3;120,8;124,9;124,9;124,0;123,3;124,7;127,5;129,3;129,0;128,7;130,1;128,4;131,7;130,7;131,9;130,7;122,0;130,3;130,2;126,5;125,8;128,2;130,2;128,4;127,4;124,9;
Zala;megye;118,5;122,4;120,6;119,1;115,7;115,0;113,8;114,8;116,7;119,7;121,8;120,5;114,4;117,5;120,6;117,2;113,0;117,7;119,1;119,8;123,5;124,8;121,7;119,2;116,4;121,8;124,5;125,4;120,0;125,5;129,4;129,9;125,6;130,8;131,8;129,7;132,7;130,5;129,4;127,9;130,8;130,9;132,2;130,1;129,1;126,3;126,6;127,7;120,7;126,2;130,0;128,8;124,9;123,0;125,6;
