20.2.2.5. A foglalkoztatottak száma foglalkoztatásuk jellege szerint, régiónként, negyedévente [ezer fõ];;;;;;;;;;
Év;Negyedév;Budapest;Pest;Közép-Dunántúl;Nyugat-Dunántúl;Dél-Dunántúl;Észak-Magyarország;Észak-Alföld;Dél-Alföld;Összesen
Alkalmazott;;;;;;;;;;
2009.;I.;659,7;433,2;409,6;373,5;297,0;363,7;435,1;411,7;3 383,5
;II.;657,3;439,0;412,8;372,3;304,1;369,8;451,4;417,1;3 423,8
;III.;657,4;436,6;399,8;368,3;306,6;368,7;456,5;423,8;3 417,6
;IV.;655,0;433,0;400,2;366,1;309,0;369,2;454,2;422,1;3 408,9
2010.;I.;639,8;434,3;392,6;361,6;297,0;364,7;440,2;414,2;3 344,5
;II.;639,1;438,8;394,2;361,7;309,8;369,9;458,5;427,4;3 399,5
;III.;638,2;437,1;403,4;362,9;312,2;371,0;472,4;436,4;3 433,6
;IV.;638,4;438,4;404,6;369,6;299,9;372,6;467,3;432,4;3 423,4
2011.;I.;637,5;441,0;405,9;371,4;287,7;357,8;438,9;419,0;3 359,2
;II.;639,1;445,2;413,5;375,6;294,6;367,5;465,7;424,3;3 425,7
;III.;644,7;442,5;416,5;382,4;296,5;373,0;480,4;434,0;3 470,0
;IV.;648,4;445,4;419,5;384,2;297,8;372,6;478,7;430,7;3 477,3
2012.;I.;647,7;452,3;407,8;372,4;286,2;367,9;461,5;420,6;3 416,4
;II.;652,4;447,2;416,6;382,5;295,8;373,6;483,7;437,0;3 488,7
;III.;672,5;450,7;417,0;386,0;308,1;376,0;493,9;448,4;3 552,7
;IV.;667,0;454,7;418,1;378,3;308,6;373,1;484,5;448,5;3 532,7
2013.;I.;666,6;452,6;409,4;372,9;295,3;367,6;457,5;427,0;3 449,0
;II.;672,9;465,0;418,9;382,8;316,2;382,9;494,2;446,7;3 579,7
;III.;671,5;466,0;429,3;394,2;321,5;391,2;507,2;453,1;3 634,0
;IV.;656,5;477,0;427,6;401,5;321,9;398,9;513,1;451,5;3 648,1
2014.;I.;675,9;474,1;426,3;414,0;319,9;395,9;515,7;443,1;3 665,0
;II.;688,4;477,2;436,7;414,1;325,6;397,9;524,1;457,3;3 721,3
;III.;701,9;482,5;443,8;415,8;336,4;409,5;539,1;471,0;3 800,1
;IV.;704,8;482,9;444,8;411,5;329,4;417,0;548,1;469,6;3 808,0
2015.;I.;709,1;481,2;446,1;401,4;327,7;414,1;526,8;467,5;3 774,0
;II.;707,1;499,2;448,4;411,3;337,1;432,1;545,7;474,7;3 855,6
;III.;721,7;498,1;460,8;418,0;337,9;436,5;556,7;482,9;3 912,6
;IV.;732,1;495,0;459,7;418,2;334,5;434,7;552,4;482,8;3 909,3
2016.;I.;740,5;497,0;454,5;421,5;338,0;435,2;545,2;479,6;3 911,6
;II.;761,7;498,8;460,4;419,1;346,7;448,5;567,0;491,7;3 993,9
;III.;770,3;509,9;463,2;430,7;348,1;450,2;576,9;488,8;4 038,1
;IV.;776,2;513,7;469,0;429,2;345,8;450,8;582,6;495,9;4 063,1
2017.;I.;769,4;512,0;471,0;431,8;338,8;444,8;574,5;492,2;4 034,7
;II.;772,3;508,3;479,1;439,5;340,5;453,5;588,0;503,9;4 085,0
;III.;760,0;520,3;477,5;442,1;344,8;456,2;594,7;506,4;4 101,9
;IV.;755,8;534,7;473,5;446,8;342,6;452,3;599,2;506,7;4 111,6
2018.;I.;738,5;548,1;475,0;454,2;334,8;450,9;594,8;502,9;4 099,2
;II.;741,2;538,9;476,9;455,1;343,4;462,8;605,2;511,3;4 134,8
;III.;742,6;540,8;481,6;444,5;350,1;469,0;602,5;516,3;4 147,3
;IV.;747,7;552,9;469,8;445,8;347,5;466,5;601,7;517,6;4 149,4
2019.;I.;747,1;551,3;471,5;446,2;348,7;461,7;599,8;518,8;4 145,1
;II.;740,7;557,9;474,3;451,5;349,3;461,4;601,6;514,6;4 151,5
;III.;738,6;559,6;477,1;456,3;348,3;462,6;596,4;518,4;4 157,1
;IV.;740,2;551,4;471,7;455,8;343,0;459,3;595,8;509,3;4 126,6
2020.;I.;741,5;549,3;467,0;448,1;328,0;445,7;584,1;512,4;4 076,2
;II.;738,9;545,5;459,7;428,8;333,6;444,2;572,6;489,3;4 012,7
;III.;751,9;551,3;469,0;443,9;333,9;440,4;583,3;507,2;4 080,9
;IV.;742,8;556,5;469,3;442,2;334,2;437,7;573,2;500,8;4 056,6
2021.;I.;731,8;555,5;467,0;430,4;326,9;428,1;566,7;501,6;4 008,0
;II.;745,4;557,0;467,0;438,2;332,3;432,7;577,1;497,4;4 047,1
;III.;746,8;559,2;468,2;447,0;335,5;435,0;588,1;496,8;4 076,6
;IV.;756,4;569,9;472,9;453,7;336,7;428,5;581,2;500,0;4 099,2
2022.;I.;754,2;569,3;473,0;450,9;336,3;428,8;581,7;496,4;4 090,5
