20.2.2.6. A munkanélküliek száma, megye és régió szerint, negyedévente [ezer fõ];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Területi egység neve;Területi egység szintje;2009. I. negyedév;2009. II. negyedév;2009. III. negyedév;2009. IV. negyedév;2010. I. negyedév;2010. II. negyedév;2010. III. negyedév;2010. IV. negyedév;2011. I. negyedév;2011. II. negyedév;2011. III. negyedév;2011. IV. negyedév;2012. I. negyedév;2012. II. negyedév;2012. III. negyedév;2012. IV. negyedév;2013. I. negyedév;2013. II. negyedév;2013. III. negyedév;2013. IV. negyedév;2014. I. negyedév;2014. II. negyedév;2014. III. negyedév;2014. IV. negyedév;2015. I. negyedév;2015. II. negyedév;2015. III. negyedév;2015. IV. negyedév;2016. I. negyedév;2016. II. negyedév;2016. III. negyedév;2016. IV. negyedév;2017. I. negyedév;2017. II. negyedév;2017. III. negyedév;2017. IV. negyedév;2018. I. negyedév;2018. II. negyedév;2018. III. negyedév;2018. IV. negyedév;2019. I. negyedév;2019. II. negyedév;2019. III. negyedév;2019. IV. negyedév;2020. I. negyedév;2020. II. negyedév;2020. III. negyedév;2020. IV. negyedév;2021. I. negyedév;2021. II. negyedév;2021. III. negyedév;2021. IV. negyedév;2022. I. negyedév;2022. II. negyedév;2022. III. negyedév;2022. IV. negyedév
Budapest;fõváros, régió;39,9;44,4;50,5;54,2;71,2;70,1;74,1;66,8;74,2;75,6;77,4;78,2;81,0;86,0;71,5;76,6;70,7;68,0;70,8;65,2;58,5;52,0;44,5;43,2;40,9;45,5;43,2;41,8;44,5;39,1;36,9;31,5;27,1;27,3;26,1;18,4;29,9;25,2;30,7;20,1;22,3;19,7;18,4;23,6;22,4;34,5;28,7;31,3;30,9;27,0;21,5;25,4;19,9;19,1;25,0;
Pest ;megye, régió;32,5;33,8;40,9;41,1;45,7;47,9;45,1;44,6;40,9;41,7;42,6;41,2;49,7;49,5;49,6;52,9;56,1;51,2;48,8;46,4;40,5;36,2;32,6;37,2;42,8;32,6;29,9;25,3;22,9;17,1;17,1;14,2;16,4;16,4;15,4;13,4;11,4;12,1;16,8;14,2;15,4;15,5;17,8;11,4;16,2;22,9;23,0;22,7;25,7;19,6;18,0;16,9;15,4;11,2;15,5;
Közép-Magyarország;nagyrégió;72,3;78,2;91,4;95,3;116,9;118,0;119,3;111,4;115,1;117,3;120,0;119,4;130,8;135,4;121,1;129,5;126,9;119,3;119,5;111,6;99,1;88,2;77,1;80,4;83,7;78,1;73,1;67,1;67,4;56,3;53,9;45,7;43,5;43,7;41,6;31,8;41,3;37,3;47,4;34,3;37,6;35,2;36,2;35,0;38,6;57,4;51,6;54,0;56,6;46,5;39,5;42,4;35,2;30,3;40,5;
Fejér;megye;14,4;14,3;19,3;18,6;21,0;17,9;15,1;14,8;16,3;18,4;18,8;19,3;21,0;20,7;17,8;20,5;21,4;19,9;17,6;15,5;15,5;13,7;12,1;10,5;8,7;7,8;6,6;6,9;4,5;5,8;5,9;5,4;5,3;5,2;7,2;6,3;4,7;5,6;4,6;6,0;6,7;5,1;6,1;5,0;3,2;6,8;5,7;5,4;5,2;4,0;5,0;4,2;5,4;4,3;5,3;
Komárom-Esztergom;megye;9,4;9,9;12,8;13,1;13,0;10,9;11,9;11,8;12,5;9,7;10,6;11,3;9,7;10,4;9,0;12,1;14,1;12,0;8,1;7,9;4,5;6,1;5,7;7,4;8,0;6,5;7,6;8,4;9,6;3,9;4,2;3,4;2,3;3,1;2,3;3,7;2,6;2,9;2,8;2,5;3,2;2,6;1,7;1,6;4,3;6,6;4,4;2,1;3,0;5,0;3,6;1,9;1,7;2,5;2,5;
Veszprém;megye;17,4;15,2;14,5;15,0;19,8;18,9;18,4;17,7;18,4;16,9;16,1;17,3;21,6;17,6;17,8;15,4;16,0;13,0;13,4;12,2;9,1;8,4;7,6;9,1;9,5;7,3;7,2;6,0;5,8;5,0;4,4;2,9;1,8;2,9;2,3;2,8;4,2;3,2;2,5;3,3;1,3;1,7;2,0;3,2;4,2;6,7;3,5;4,3;4,4;3,9;2,4;2,5;2,3;2,0;2,7;
Közép-Dunántúl;régió;41,2;39,3;46,6;46,8;53,8;47,7;45,3;44,3;47,2;45,0;45,6;47,9;52,3;48,7;44,7;48,0;51,4;44,9;39,0;35,6;29,2;28,2;25,4;27,1;26,3;21,6;21,5;21,3;19,9;14,7;14,5;11,7;9,5;11,2;11,8;12,8;11,5;11,8;9,9;11,8;11,3;9,4;9,8;9,8;11,7;20,1;13,7;11,9;12,7;12,9;11,0;8,6;9,4;8,8;10,6;
Gyõr-Moson-Sopron;megye;12,1;11,8;13,5;14,4;14,5;13,8;13,9;13,7;14,0;12,6;10,8;11,3;12,5;10,2;9,7;11,2;13,7;11,7;10,6;8,3;5,8;6,4;7,6;5,8;6,0;4,8;6,8;7,3;5,1;5,0;4,9;3,0;1,7;3,6;3,5;5,7;3,2;2,9;4,3;3,0;3,6;1,8;2,7;2,8;1,8;6,4;5,3;3,5;2,6;3,5;4,3;4,0;4,6;2,9;6,3;
Vas;megye;9,9;11,7;12,5;13,1;11,3;13,2;12,6;10,4;9,7;7,8;8,3;6,5;8,4;7,5;6,7;7,2;10,0;9,4;7,5;8,3;4,1;4,9;4,0;4,6;5,7;5,4;3,4;4,6;3,5;3,7;3,3;2,4;2,6;2,6;1,7;2,3;1,6;2,5;4,5;4,0;4,0;3,2;3,3;2,6;1,7;3,9;2,1;2,5;3,2;3,5;3,3;1,5;1,2;1,8;2,5;
Zala;megye;12,2;13,7;16,7;13,5;15,6;16,1;15,2;13,6;12,2;11,9;12,3;11,3;14,1;14,7;14,9;17,9;16,4;13,2;15,2;14,8;13,3;10,9;9,3;8,2;11,0;6,6;4,9;4,6;6,2;4,3;4,3;4,6;6,6;5,4;5,3;5,6;3,9;2,4;3,2;3,9;2,8;3,3;2,6;2,5;3,9;6,3;5,9;3,3;6,0;5,3;4,3;4,3;5,6;4,0;5,9;
