20.2.2.7. A gazdaságilag aktív népesség száma, megye és régió szerint, negyedévente [ezer fõ];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Területi egység neve;Területi egység szintje;2009. I. negyedév;2009. II. negyedév;2009. III. negyedév;2009. IV. negyedév;2010. I. negyedév;2010. II. negyedév;2010. III. negyedév;2010. IV. negyedév;2011. I. negyedév;2011. II. negyedév;2011. III. negyedév;2011. IV. negyedév;2012. I. negyedév;2012. II. negyedév;2012. III. negyedév;2012. IV. negyedév;2013. I. negyedév;2013. II. negyedév;2013. III. negyedév;2013. IV. negyedév;2014. I. negyedév;2014. II. negyedév;2014. III. negyedév;2014. IV. negyedév;2015. I. negyedév;2015. II. negyedév;2015. III. negyedév;2015. IV. negyedév;2016. I. negyedév;2016. II. negyedév;2016. III. negyedév;2016. IV. negyedév;2017. I. negyedév;2017. II. negyedév;2017. III. negyedév;2017. IV. negyedév;2018. I. negyedév;2018. II. negyedév;2018. III. negyedév;2018. IV. negyedév;2019. I. negyedév;2019. II. negyedév;2019. III. negyedév;2019. IV. negyedév;2020. I. negyedév;2020. II. negyedév;2020. III. negyedév;2020. IV. negyedév;2021. I. negyedév;2021. II. negyedév;2021. III. negyedév;2021. IV. negyedév;2022. I. negyedév;2022. II. negyedév;2022. III. negyedév;2022. IV. negyedév
Budapest;fõváros, régió;808,1;811,7;814,1;819,1;821,1;817,9;816,7;810,0;820,1;826,6;834,3;835,9;842,0;851,4;860,9;864,5;860,4;858,6;854,7;840,8;855,9;858,9;861,1;858,6;860,9;866,6;884,2;893,1;898,6;906,0;918,8;909,9;894,5;897,7;907,0;894,0;888,4;893,0;895,6;882,7;891,7;888,5;893,4;907,8;901,4;911,7;910,6;907,0;886,0;898,3;896,5;914,1;914,0;905,8;912,6;
Pest ;megye, régió;538,1;542,6;542,5;543,4;546,9;548,0;547,0;547,0;544,9;550,3;551,3;552,1;564,7;558,2;562,5;568,6;566,6;574,5;578,2;589,0;585,3;583,6;584,9;584,6;587,8;596,6;595,8;595,8;598,6;598,6;604,8;607,9;607,6;606,6;614,7;624,2;631,0;623,9;633,0;642,1;644,9;647,3;658,4;656,1;658,3;664,4;665,1;674,0;671,6;675,3;679,8;687,2;678,7;683,9;689,5;
Közép-Magyarország;nagyrégió;1 346,2;1 354,3;1 356,6;1 362,6;1 368,0;1 366,0;1 363,7;1 357,0;1 365,0;1 376,9;1 385,6;1 388,0;1 406,7;1 409,6;1 423,4;1 433,2;1 426,9;1 433,2;1 432,9;1 429,7;1 441,2;1 442,5;1 446,0;1 443,1;1 448,7;1 463,2;1 480,0;1 488,9;1 497,2;1 504,6;1 523,6;1 517,8;1 502,1;1 504,3;1 521,7;1 518,2;1 519,4;1 516,9;1 528,6;1 524,8;1 536,6;1 535,8;1 551,8;1 563,9;1 559,7;1 576,1;1 575,7;1 580,9;1 557,6;1 573,6;1 576,2;1 601,3;1 592,6;1 589,7;1 602,2;
Fejér;megye;191,3;190,4;190,7;189,8;190,7;186,9;190,2;190,9;195,6;197,1;195,6;198,0;195,5;199,4;198,0;198,0;199,1;201,8;202,8;200,1;201,0;203,0;205,1;206,3;207,2;206,6;210,1;208,2;203,9;203,8;208,2;209,0;207,8;210,9;209,9;206,4;207,4;209,0;214,3;212,6;217,9;217,4;215,4;211,9;211,2;212,5;215,6;216,6;212,4;210,2;213,1;213,1;216,9;218,7;219,7;
Komárom-Esztergom;megye;143,1;141,5;142,4;144,4;143,8;142,7;144,2;145,0;144,2;144,4;147,1;148,1;142,5;143,1;141,7;144,5;141,6;142,8;140,6;141,6;136,4;143,9;143,7;143,8;143,8;145,5;148,9;149,4;147,7;145,5;144,0;145,1;147,0;149,6;150,2;148,4;149,5;152,8;152,1;149,4;149,6;148,6;150,1;146,1;149,3;148,3;151,2;151,7;158,1;156,2;158,4;156,7;156,1;158,3;159,1;
Veszprém;megye;158,7;161,8;158,7;157,7;157,6;159,4;163,7;162,3;161,8;161,9;166,4;163,4;163,3;163,4;164,8;165,5;160,7;160,3;165,0;163,0;163,0;165,5;168,1;166,9;167,9;167,3;170,8;167,6;166,5;168,8;169,0;167,4;167,4;170,2;171,6;171,2;168,1;167,7;165,9;164,1;163,7;164,2;166,8;169,5;168,1;171,1;168,9;170,2;167,6;168,5;166,4;169,5;168,8;166,1;168,3;
Közép-Dunántúl;régió;493,2;493,8;491,7;491,9;492,2;489,0;498,1;498,1;501,6;503,4;509,1;509,4;501,2;505,9;504,5;507,9;501,4;504,9;508,3;504,7;500,3;512,3;516,8;517,0;518,9;519,5;529,7;525,3;518,1;518,1;521,1;521,4;522,2;530,7;531,7;526,0;525,0;529,5;532,4;526,1;531,1;530,1;532,3;527,5;528,6;531,9;535,8;538,5;538,1;534,9;537,9;539,3;541,9;543,1;547,1;
Gyõr-Moson-Sopron;megye;203,9;204,2;207,1;207,8;206,5;207,5;207,2;207,3;203,8;203,9;204,4;204,2;204,1;209,0;210,9;205,3;212,6;211,6;215,4;217,7;224,0;221,1;221,6;217,4;220,8;224,5;223,1;225,5;227,1;228,6;230,6;226,5;229,6;233,1;234,2;239,5;241,4;242,9;239,4;238,8;238,7;244,2;245,9;247,5;247,0;245,7;249,0;246,9;246,1;249,6;254,4;257,1;255,9;252,8;260,3;
Vas;megye;122,0;117,3;118,9;117,9;116,4;117,7;120,1;120,9;120,1;118,4;119,8;122,4;123,0;123,2;122,6;121,5;119,8;123,0;121,9;123,8;122,2;124,1;128,4;128,2;125,9;127,9;129,1;129,1;127,8;124,5;128,1;127,3;126,6;125,9;126,4;129,8;130,9;131,6;133,2;134,1;132,4;135,0;134,0;134,5;132,4;125,9;132,4;132,8;129,7;129,2;131,4;131,7;129,6;129,2;127,4;
Zala;megye;130,7;136,1;137,4;132,6;131,3;131,1;129,0;128,4;128,9;131,6;134,1;131,9;128,5;132,3;135,5;135,1;129,4;130,9;134,3;134,5;136,8;135,7;131,0;127,4;127,4;128,4;129,4;130,0;126,2;129,8;133,7;134,5;132,3;136,2;137,1;135,3;136,6;132,9;132,6;131,8;133,6;134,2;134,8;132,6;133,0;132,5;132,5;131,0;126,7;131,5;134,3;133,1;130,5;127,0;131,5;
