20.2.2.9. Aktivitási arány, megye és régió szerint, negyedévente [%];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Területi egység neve;Területi egység szintje;2009. I. negyedév;2009. II. negyedév;2009. III. negyedév;2009. IV. negyedév;2010. I. negyedév;2010. II. negyedév;2010. III. negyedév;2010. IV. negyedév;2011. I. negyedév;2011. II. negyedév;2011. III. negyedév;2011. IV. negyedév;2012. I. negyedév;2012. II. negyedév;2012. III. negyedév;2012. IV. negyedév;2013. I. negyedév;2013. II. negyedév;2013. III. negyedév;2013. IV. negyedév;2014. I. negyedév;2014. II. negyedév;2014. III. negyedév;2014. IV. negyedév;2015. I. negyedév;2015. II. negyedév;2015. III. negyedév;2015. IV. negyedév;2016. I. negyedév;2016. II. negyedév;2016. III. negyedév;2016. IV. negyedév;2017. I. negyedév;2017. II. negyedév;2017. III. negyedév;2017. IV. negyedév;2018. I. negyedév;2018. II. negyedév;2018. III. negyedév;2018. IV. negyedév;2019. I. negyedév;2019. II. negyedév;2019. III. negyedév;2019. IV. negyedév;2020. I. negyedév;2020. II. negyedév;2020. III. negyedév;2020. IV. negyedév;2021. I. negyedév;2021. II. negyedév;2021. III. negyedév;2021. IV. negyedév;2022. I. negyedév;2022. II. negyedév;2022. III. negyedév;2022. IV. negyedév
Budapest;fõváros, régió;61,4;61,7;61,9;62,2;62,4;62,1;62,0;61,5;62,2;62,7;63,3;63,3;63,6;64,3;64,9;65,1;64,8;64,6;64,3;63,2;64,3;64,5;64,7;64,4;64,6;64,9;66,2;66,8;67,5;68,2;69,1;68,5;67,5;67,9;68,8;67,9;67,5;67,8;68,1;67,2;67,9;67,5;67,9;69,0;68,7;69,7;69,8;69,6;68,6;70,1;70,3;71,8;71,8;71,2;71,8;
Pest ;megye, régió;59,0;59,4;59,2;59,2;59,5;59,5;59,3;59,1;58,8;59,3;59,3;59,2;60,4;59,7;60,1;60,7;60,4;61,3;61,7;62,8;62,4;62,2;62,3;62,2;62,5;63,4;63,3;63,2;63,4;63,3;63,7;63,9;63,8;63,6;64,4;65,2;65,7;64,8;65,6;66,3;66,4;66,5;67,4;67,0;67,0;67,4;67,3;68,0;67,7;67,9;68,2;68,8;67,8;68,1;68,6;
Közép-Magyarország;nagyrégió;60,4;60,7;60,8;61,0;61,2;61,0;60,9;60,5;60,8;61,3;61,6;61,6;62,3;62,4;62,9;63,3;63,0;63,2;63,2;63,0;63,5;63,5;63,7;63,5;63,7;64,3;65,0;65,3;65,8;66,1;66,9;66,6;66,0;66,1;66,9;66,8;66,7;66,5;67,0;66,8;67,3;67,1;67,7;68,2;68,0;68,7;68,7;68,9;68,2;69,1;69,4;70,5;70,0;69,8;70,4;
Fejér;megye;58,1;57,8;57,9;57,6;57,9;56,7;57,7;57,9;59,3;59,7;59,2;60,0;59,3;60,5;60,2;60,2;60,6;61,5;61,8;61,1;61,5;62,2;62,9;63,4;63,8;63,8;64,9;64,4;63,0;62,9;64,1;64,3;64,2;65,5;65,5;64,5;64,8;65,1;66,7;66,1;67,7;67,4;66,7;65,6;65,4;65,8;66,6;66,9;65,8;65,3;66,2;66,2;67,4;67,9;68,2;
Komárom-Esztergom;megye;59,3;58,7;59,1;60,1;59,9;59,5;60,2;60,6;60,3;60,5;61,7;62,2;59,9;60,3;59,8;61,1;59,9;60,6;59,7;60,3;58,2;61,5;61,6;61,7;61,9;62,8;64,3;64,7;64,0;63,1;62,5;63,1;64,0;65,3;65,6;64,8;65,3;66,7;66,4;65,3;65,2;64,5;65,0;63,2;64,5;63,9;65,0;65,2;68,4;68,0;69,1;68,4;68,2;69,2;69,6;
Veszprém;megye;56,9;58,1;57,0;56,7;56,7;57,4;59,0;58,6;58,4;58,6;60,2;59,2;59,3;59,5;60,0;60,3;58,9;58,9;60,7;60,1;60,3;61,4;62,4;62,1;62,6;62,6;64,2;63,2;62,9;63,9;64,2;63,7;63,8;65,0;65,7;65,7;64,5;64,4;63,7;63,1;62,9;63,1;64,0;65,1;64,6;65,6;64,6;65,0;64,4;65,1;64,4;65,7;65,4;64,4;65,4;
Közép-Dunántúl;régió;58,1;58,2;58,0;58,0;58,1;57,7;58,8;58,9;59,3;59,6;60,3;60,4;59,5;60,1;60,0;60,5;59,8;60,4;60,9;60,6;60,2;61,7;62,4;62,5;62,9;63,1;64,5;64,1;63,3;63,3;63,7;63,8;64,0;65,3;65,6;65,0;64,8;65,3;65,7;64,9;65,5;65,2;65,4;64,7;64,9;65,2;65,5;65,8;66,1;66,0;66,4;66,7;67,0;67,2;67,7;
Gyõr-Moson-Sopron;megye;59,4;59,4;60,2;60,4;60,0;60,2;60,1;60,0;59,0;59,0;59,1;59,0;59,0;60,3;60,8;59,0;61,1;60,8;61,8;62,4;64,2;63,3;63,4;62,1;63,1;64,1;63,6;64,2;64,7;65,0;65,5;64,2;65,1;66,2;66,5;67,9;68,3;68,4;67,2;66,8;66,6;67,9;68,2;68,5;68,2;67,6;68,4;67,6;67,2;68,1;69,2;69,8;69,6;68,9;70,9;
Vas;megye;60,2;57,9;58,7;58,3;57,6;58,3;59,5;59,9;59,5;58,8;59,5;60,8;61,2;61,3;61,1;60,6;59,7;61,4;60,9;61,9;61,2;62,2;64,4;64,4;63,3;64,3;65,0;65,0;64,4;62,8;64,6;64,2;64,0;63,8;64,2;65,9;66,5;66,7;67,5;67,9;67,1;68,4;67,9;68,2;67,1;63,8;67,2;67,3;66,0;65,9;67,1;67,3;66,0;65,7;64,8;
Zala;megye;57,9;60,4;61,0;58,9;58,4;58,4;57,5;57,3;57,6;58,9;60,1;59,2;57,8;59,5;61,1;61,0;58,5;59,3;61,0;61,3;62,5;62,1;60,1;58,5;58,8;59,5;60,1;60,5;58,9;60,8;62,7;63,2;62,3;64,4;64,9;64,3;65,1;63,5;63,5;63,3;64,3;64,7;65,1;64,1;64,4;64,3;64,3;63,7;61,7;64,2;65,6;65,1;63,8;62,2;64,3;
Nyugat-Dunántúl;régió;59,2;59,3;60,1;59,4;58,9;59,2;59,2;59,2;58,7;58,9;59,5;59,5;59,2;60,4;60,9;60,0;60,0;60,5;61,4;61,9;62,9;62,7;62,7;61,7;61,9;62,8;63,0;63,4;63,0;63,2;64,5;63,9;64,1;65,1;65,5;66,4;66,9;66,6;66,2;66,1;66,1;67,2;67,3;67,2;66,9;65,8;67,0;66,5;65,4;66,5;67,7;67,9;67,2;66,3;67,6;
Baranya;megye;52,4;55,0;54,8;55,1;55,3;56,6;55,4;54,9;54,3;54,0;54,0;54,4;52,2;54,4;54,3;53,7;53,3;55,4;56,6;54,4;55,2;55,9;56,5;57,0;58,1;58,9;60,1;59,2;59,9;61,8;61,6;61,0;59,8;62,0;62,7;62,5;62,6;63,2;63,1;64,5;64,1;63,5;61,8;61,2;60,4;59,1;59,1;59,2;60,4;60,8;60,7;61,5;61,6;61,7;63,0;
Somogy;megye;48,5;49,8;50,8;51,7;52,2;53,0;54,0;52,5;51,8;53,2;52,2;52,5;51,7;52,3;53,9;53,6;50,4;53,3;53,2;53,0;53,9;55,4;56,3;53,8;53,9;55,0;56,0;55,6;55,7;56,9;57,5;58,1;58,0;57,6;57,1;55,1;54,3;57,5;58,8;56,3;56,4;55,8;56,9;56,1;53,9;57,0;60,3;58,0;56,9;58,9;58,7;57,9;59,2;59,6;59,7;
Tolna ;megye;54,0;53,2;53,8;53,6;52,9;53,9;53,3;54,6;53,7;54,1;54,1;52,7;52,2;53,1;55,3;54,5;53,2;54,5;55,3;55,6;57,6;58,2;59,5;58,3;59,2;60,5;59,3;58,1;56,1;56,4;57,1;58,4;57,8;55,9;57,8;59,1;58,1;58,2;59,3;59,0;59,2;59,9;61,4;61,3;60,7;61,8;61,1;62,3;61,2;59,9;62,4;62,8;62,3;62,8;63,4;
Dél-Dunántúl;régió;51,5;52,8;53,2;53,6;53,6;54,7;54,4;54,0;53,3;53,7;53,4;53,3;52,0;53,4;54,4;53,9;52,3;54,4;55,1;54,2;55,3;56,3;57,2;56,2;56,9;58,0;58,5;57,7;57,5;58,8;59,1;59,4;58,7;59,0;59,6;59,1;58,7;60,0;60,7;60,3;60,2;60,0;60,0;59,5;58,3;59,1;60,0;59,5;59,4;59,9;60,4;60,6;60,9;61,2;61,9;
