20.2.2.12. A nyilvántartott álláskeresõk száma, megye és régió szerint, havi adatok [fõ];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Területi egység neve;Területi egység szintje;2014. március;2014. június;2014. szeptember;2014. december;2015. március;2015. június;2015. szeptember;2015. december;2016. március;2016. június;2016. szeptember;2016. december;2017. március;2017. június;2017. szeptember;2017. december;2018. március;2018. június;2018. szeptember;2018. december;2019. március;2019. június;2019. szeptember;2019. december;2020. március;2020. június;2020. szeptember;2020. december;2021. március;2021. június;2021. szeptember;2021. december;2022. március;2022. június;2022. szeptember;2022. december
Budapest;fõváros, régió;34 493;37 678;35 523;34 204;36 688;33 976;31 908;29 358;31 369;24 616;23 255;20 279;23 104;20 112;18 836;16 741;17 350;14 778;15 116;14 301;15 186;13 806;13 793;13 652;15 813;29 528;29 548;26 674;25 414;21 707;19 696;17 606;17 685;16 229;17 104;
Pest ;megye, régió;34 410;35 014;32 729;34 988;34 420;30 664;29 403;28 413;31 545;26 299;25 356;23 609;25 750;22 974;22 342;20 400;20 900;19 191;19 620;18 556;19 574;18 055;18 339;17 968;19 456;30 997;27 012;23 861;23 080;19 908;19 011;18 331;18 722;17 692;18 268;
Közép-Magyarország;nagyrégió;68 903;72 692;68 252;69 192;71 108;64 640;61 311;57 771;62 914;50 915;48 611;43 888;48 854;43 086;41 178;37 141;38 250;33 969;34 736;32 857;34 760;31 861;32 132;31 620;35 269;60 525;56 560;50 535;48 494;41 615;38 707;35 937;36 407;33 921;35 372;
Fejér;megye;15 241;14 780;12 936;13 074;16 200;12 627;11 818;11 740;14 976;9 202;8 943;8 745;11 976;8 729;8 435;7 977;9 434;7 426;7 907;7 564;9 494;7 988;8 075;7 951;9 631;13 685;10 898;9 600;9 927;8 368;7 769;7 630;8 110;7 285;7 599;
Komárom-Esztergom;megye;9 163;9 384;7 977;8 413;9 195;7 651;7 364;6 724;7 050;5 491;5 719;4 967;5 899;5 112;5 380;4 629;4 984;4 666;5 305;4 646;5 169;4 781;5 048;4 639;5 445;8 820;7 497;5 791;6 118;5 217;5 037;4 718;4 741;4 282;4 659;
Veszprém;megye;11 368;10 474;9 459;10 160;11 564;8 884;8 744;8 561;9 979;6 624;6 473;6 644;8 920;5 936;5 715;5 676;6 764;5 460;5 594;5 714;6 793;6 047;6 162;6 474;7 760;11 434;8 915;8 209;8 599;6 885;6 328;6 530;6 879;6 178;6 173;
Közép-Dunántúl;régió;35 772;34 638;30 372;31 647;36 959;29 162;27 926;27 025;32 005;21 317;21 135;20 356;26 795;19 777;19 530;18 282;21 182;17 552;18 806;17 924;21 456;18 816;19 285;19 064;22 836;33 939;27 310;23 600;24 644;20 470;19 134;18 878;19 730;17 745;18 431;
Gyõr-Moson-Sopron;megye;6 035;5 519;5 212;5 721;6 621;4 537;4 742;4 610;6 385;3 651;3 592;3 460;4 691;3 030;3 139;3 040;3 510;2 712;2 950;2 958;3 390;2 903;3 035;3 263;4 197;9 554;5 439;4 649;4 306;3 203;3 132;3 331;3 386;3 076;3 177;
Vas;megye;5 880;5 836;5 532;5 610;6 621;4 943;4 655;4 584;6 105;3 925;4 100;4 078;5 246;4 094;4 165;4 148;4 640;3 903;4 117;4 131;4 455;4 018;4 147;4 220;5 240;8 286;6 249;5 298;5 245;4 439;4 106;4 009;4 184;3 687;3 827;
Zala;megye;12 932;12 033;10 690;11 077;13 140;9 235;8 749;8 644;10 502;7 269;7 005;7 045;9 278;7 091;6 845;6 763;8 056;6 397;6 450;6 481;7 446;6 515;6 565;6 730;7 827;12 390;9 998;8 518;8 825;7 303;6 618;6 576;6 727;6 215;6 534;
Nyugat-Dunántúl;régió;24 847;23 388;21 434;22 408;26 382;18 715;18 146;17 838;22 992;14 845;14 697;14 583;19 215;14 215;14 149;13 951;16 206;13 012;13 517;13 570;15 291;13 436;13 747;14 213;17 264;30 230;21 686;18 465;18 376;14 945;13 856;13 916;14 297;12 978;13 538;
Baranya;megye;22 306;21 534;18 372;18 210;22 103;17 962;17 049;16 616;18 464;15 201;14 952;13 945;16 110;14 023;14 169;13 384;14 687;13 651;13 837;13 396;14 777;14 082;13 546;13 611;15 287;20 021;18 177;15 554;15 994;14 097;13 681;13 222;13 536;12 221;12 215;
Somogy;megye;21 465;20 068;16 864;19 500;22 778;16 472;15 764;15 687;20 371;13 252;13 227;13 671;19 147;14 168;13 681;13 986;16 035;11 969;12 400;12 504;14 835;12 059;11 912;12 414;15 746;17 537;15 496;13 877;15 691;12 029;11 643;11 612;12 880;10 742;11 282;
Tolna ;megye;11 004;10 232;9 685;9 465;11 345;8 817;8 857;8 503;9 843;7 220;7 233;6 911;8 614;6 892;6 515;5 729;6 105;5 377;5 969;5 699;6 516;5 955;5 998;5 899;7 150;9 407;7 906;7 287;7 524;6 598;6 151;5 878;6 163;5 764;5 764;
Dél-Dunántúl;régió;54 775;51 834;44 921;47 175;56 226;43 251;41 670;40 806;48 678;35 673;35 412;34 527;43 871;35 083;34 365;33 099;36 827;30 997;32 206;31 599;36 128;32 096;31 456;31 924;38 183;46 965;41 579;36 718;39 209;32 724;31 475;30 712;32 579;28 727;29 261;
Dunántúl;nagyrégió;115 394;109 860;96 727;101 230;119 567;91 128;87 742;85 669;103 675;71 835;71 244;69 466;89 881;69 075;68 044;65 332;74 215;61 561;64 529;63 093;72 875;64 348;64 488;65 201;78 283;111 134;90 575;78 783;82 229;68 139;64 465;63 506;66 606;59 450;61 230;
Borsod-Abaúj-Zemplén;megye;51 898;54 129;45 480;46 575;56 291;43 212;40 818;41 415;54 550;36 933;35 622;35 638;43 915;37 110;36 575;34 677;37 912;33 561;35 045;34 040;39 873;35 487;34 869;33 845;39 508;44 593;41 440;39 969;42 445;37 950;37 044;34 772;35 609;34 116;36 232;
Heves;megye;12 992;16 402;14 517;14 700;17 715;14 336;14 773;12 914;16 689;11 716;11 826;11 344;15 484;11 499;11 068;10 454;11 734;9 773;10 228;9 996;11 741;10 579;10 367;10 265;12 620;16 076;14 066;12 371;13 588;11 925;11 401;10 977;11 713;10 712;10 716;
Nógrád ;megye;13 167;16 643;14 459;14 151;17 552;13 700;13 514;13 213;17 776;12 061;11 457;10 900;14 676;11 458;11 032;10 296;11 650;10 552;11 036;10 474;11 444;10 873;10 977;10 233;11 852;13 859;12 768;11 274;11 356;10 700;10 595;10 130;10 737;10 092;10 400;
Észak-Magyarország;régió;78 057;87 174;74 456;75 426;91 558;71 248;69 105;67 542;89 015;60 710;58 905;57 882;74 075;60 067;58 675;55 427;61 296;53 886;56 309;54 510;63 058;56 939;56 213;54 343;63 980;74 528;68 274;63 614;67 389;60 575;59 040;55 879;58 059;54 920;57 348;
Hajdú-Bihar;megye;37 463;38 374;32 859;32 190;42 996;32 194;30 527;29 442;41 907;24 509;24 692;24 330;33 556;24 728;23 943;22 309;27 352;21 785;22 657;21 484;25 135;22 184;20 941;17 994;22 885;29 505;23 793;21 169;23 719;20 890;19 397;18 210;20 052;18 315;18 802;
