20.2.2.14. Az alkalmazásban állók száma a munkáltató székhelyének elhelyezkedése alapján, megye és régió szerint, negyedévente kumulált;;;;;;;;;;;;;;;;;;;;;
Területi egység neve;Területi egység szintje;2018. I. negyedév;2018. I. félév;2018. I–III. negyedév;2018. I–IV. negyedév;2019. I. negyedév;2019. I. félév;2019. I–III. negyedév;2019. I–IV. negyedév;2020. I. negyedév;2020. I. félév;2020. I–III. negyedév;2020. I–IV. negyedév;2021. I. negyedév;2021. I. félév;2021. I–III. negyedév;2021. I–IV. negyedév;2022. I. negyedév;2022. I. félév;2022. I–III. negyedév;2022. I–IV. negyedév
Alkalmazásban állók, ezer fõ;;;;;;;;;;;;;;;;;;;;;
Budapest;fõváros, régió;1 082,7;1 081,9;1 080,8;1 080,9;1 104,1;1 104,0;1 102,0;1 108,9;1 127,6;1 096,1;1 096,9;1 103,1;1 132,3;1 137,9;1 142,7;1 149,2;1 167,6;1 172,1;1 173,7;
Pest ;megye, régió;323,0;323,7;324,1;324,2;339,3;339,9;340,0;339,9;334,0;323,3;323,7;326,0;329,3;332,9;334,5;335,7;342,0;343,9;344,3;
Közép-Magyarország;nagyrégió;1 405,7;1 405,6;1 404,9;1 405,1;1 443,4;1 444,0;1 442,0;1 448,8;1 461,6;1 419,5;1 420,5;1 429,1;1 461,6;1 470,7;1 477,2;1 484,9;1 509,6;1 516,0;1 518,0;
Fejér;megye;127,0;127,2;127,2;127,3;131,9;132,0;132,0;131,9;128,9;126,0;125,8;126,5;128,9;129,1;130,2;131,1;132,7;132,8;133,0;
Komárom-Esztergom;megye;89,2;89,3;89,4;89,4;92,2;92,2;92,2;91,6;88,6;86,2;86,2;86,5;87,7;88,0;88,4;88,8;90,4;90,9;91,3;
Veszprém;megye;90,1;90,3;90,4;90,4;91,8;91,7;91,8;91,4;88,7;86,0;86,3;86,2;85,8;86,6;87,5;87,6;87,7;88,3;88,9;
Közép-Dunántúl;régió;306,2;306,8;307,0;307,2;315,9;315,9;316,0;315,0;306,1;298,1;298,2;299,2;302,3;303,7;306,1;307,5;310,8;312,0;313,2;
Gyõr-Moson-Sopron;megye;138,8;139,5;139,9;140,1;144,4;144,7;144,4;143,9;140,9;136,3;136,2;136,8;138,7;139,6;140,3;140,9;142,1;142,6;142,8;
Vas;megye;71,4;71,4;71,4;71,3;71,9;71,5;71,2;70,0;65,4;63,4;63,4;63,6;64,3;64,6;64,7;64,8;64,8;64,9;64,9;
Zala;megye;65,1;65,3;65,4;65,4;65,7;65,8;65,9;65,7;62,7;60,0;60,2;60,5;61,3;61,6;62,2;62,4;62,6;62,9;63,1;
