20.2.2.15. A teljes munkaidõben alkalmazásban állók bruttó átlagkeresete a munkáltató székhelyének elhelyezkedése alapján, megye és régió szerint, negyedévente kumulált;;;;;;;;;;;;;;;;;;;;;
Területi egység neve;Területi egység szintje;2018. I. negyedév;2018. I. félév;2018. I–III. negyedév;2018. I–IV. negyedév;2019. I. negyedév;2019. I. félév;2019. I–III. negyedév;2019. I–IV. negyedév;2020. I. negyedév;2020. I. félév;2020. I–III. negyedév;2020. I–IV. negyedév;2021. I. negyedév;2021. I. félév;2021. I–III. negyedév;2021. I–IV. negyedév;2022. I. negyedév;2022. I. félév;2022. I–III. negyedév;2022. I–IV. negyedév
Bruttó átlagkereset, forint;;;;;;;;;;;;;;;;;;;;;
Budapest;fõváros, régió;398 550;409 406;406 454;413 944;442 590;450 916;449 163;460 036;476 644;493 538;491 246;502 614;520 165;528 192;527 597;540 865;639 979;628 529;621 580;
Pest ;megye, régió;286 012;293 138;293 797;298 755;324 007;330 586;331 770;338 098;356 926;363 824;365 848;373 098;388 917;395 746;395 285;403 028;443 112;451 100;453 654;
Közép-Magyarország;nagyrégió;373 096;383 043;380 871;387 787;415 214;423 092;421 983;431 950;449 751;464 725;463 397;473 765;491 224;498 861;498 297;510 400;596 363;589 197;584 381;
Fejér;megye;305 274;315 801;316 539;321 633;352 091;361 041;360 772;367 585;378 547;382 282;382 576;392 872;406 284;416 129;417 556;429 627;479 934;486 234;486 542;
Komárom-Esztergom;megye;309 018;315 632;316 569;323 812;351 192;357 357;358 376;365 610;383 690;389 144;390 190;400 393;412 714;423 985;424 261;435 410;481 383;489 515;492 181;
Veszprém;megye;283 947;291 380;292 881;297 585;320 799;327 045;328 822;334 889;346 469;350 812;353 422;361 741;383 837;388 443;389 602;397 648;447 349;445 907;449 117;
Közép-Dunántúl;régió;300 200;308 682;309 695;315 303;342 850;350 231;350 936;357 681;370 896;375 508;376 661;386 355;401 867;410 624;411 626;422 345;471 294;475 941;477 728;
Gyõr-Moson-Sopron;megye;320 130;337 381;333 780;341 060;362 579;379 697;379 125;389 121;405 646;408 698;409 152;419 397;441 915;456 073;452 682;463 934;517 027;519 119;520 587;
Vas;megye;287 870;294 541;295 248;303 047;318 284;325 795;326 974;333 976;345 074;353 823;354 764;366 762;376 618;390 993;391 022;401 267;452 017;455 246;456 828;
Zala;megye;249 409;254 559;255 646;259 621;276 816;281 423;283 346;289 551;303 994;313 735;314 630;321 592;336 452;341 985;343 570;351 292;405 993;405 068;406 168;
Nyugat-Dunántúl;régió;295 029;306 721;305 394;312 076;331 307;343 075;343 505;351 917;367 216;373 372;374 043;383 983;401 764;413 948;412 457;422 644;475 607;477 248;478 643;
Baranya;megye;263 932;267 159;267 572;270 604;286 055;291 116;293 673;301 254;313 052;323 851;324 410;329 212;345 962;350 504;353 614;362 263;421 995;419 690;421 566;
Somogy;megye;262 445;266 746;267 721;271 987;288 205;293 151;294 970;299 741;313 346;318 697;318 093;323 482;337 361;345 622;345 853;352 057;405 381;403 644;404 182;
Tolna ;megye;284 679;296 024;297 693;304 441;311 090;329 498;333 899;340 368;348 903;371 436;377 779;383 742;387 528;408 384;409 162;417 444;452 247;468 600;469 589;
Dél-Dunántúl;régió;268 257;273 768;274 681;279 019;292 702;300 819;303 513;309 821;321 685;333 348;334 871;340 212;353 077;362 750;364 310;372 044;423 610;425 936;427 112;
Dunántúl;nagyrégió;290 018;298 843;299 028;304 695;325 861;334 913;336 008;343 169;356 891;363 702;364 709;373 368;389 185;399 335;399 629;409 391;460 451;463 449;464 938;
Borsod-Abaúj-Zemplén;megye;247 243;254 615;256 076;260 518;272 852;281 363;283 424;288 384;296 832;304 749;306 419;312 246;326 744;337 462;338 837;346 176;394 249;397 349;398 246;
Heves;megye;291 163;299 185;301 182;305 135;324 992;331 752;333 589;338 386;348 497;357 338;360 117;366 117;383 518;391 081;392 161;400 244;450 219;458 389;462 397;
Nógrád ;megye;246 767;250 331;251 637;253 991;267 468;270 770;272 202;274 913;288 724;295 115;296 091;300 482;317 785;324 275;325 835;330 451;403 312;394 139;393 798;
Észak-Magyarország;régió;258 782;265 891;267 511;271 606;286 144;293 598;295 525;300 204;309 847;317 563;319 378;325 092;340 863;350 251;351 604;358 837;410 445;413 415;415 008;
Hajdú-Bihar;megye;264 644;267 526;267 994;271 808;291 364;292 824;294 002;298 337;315 473;323 895;323 987;328 042;351 842;354 485;355 325;361 598;430 925;423 960;422 466;
Jász-Nagykun-Szolnok;megye;258 052;262 272;264 817;269 100;283 080;288 031;292 214;297 984;314 474;320 123;323 788;330 165;344 345;347 528;349 712;356 051;406 889;404 664;407 075;
Szabolcs-Szatmár-Bereg;megye;221 720;224 916;227 003;230 754;243 489;246 341;248 902;252 279;265 332;271 514;272 254;277 049;290 141;294 753;297 336;303 334;365 515;359 474;358 526;
Észak-Alföld;régió;247 500;250 840;252 477;256 412;272 163;274 991;277 431;281 754;297 194;303 988;305 176;310 078;327 403;330 952;332 810;339 022;401 195;395 753;395 472;
Bács-Kiskun ;megye;265 910;271 437;275 090;280 702;299 485;305 703;307 464;313 962;323 391;332 037;334 345;343 524;349 802;359 123;361 590;372 308;426 077;426 882;427 465;
Békés;megye;234 797;238 953;241 252;245 290;256 108;260 177;263 505;268 791;280 816;285 896;287 140;292 343;307 762;312 097;314 753;320 520;378 993;374 558;375 848;
Csongrád-Csanád;megye;273 496;279 305;280 375;284 227;296 422;302 699;304 532;309 673;322 985;333 333;333 343;338 821;354 654;362 936;365 788;373 445;435 358;433 265;433 684;
Dél-Alföld;régió;260 399;265 693;268 195;272 860;287 484;293 171;295 362;301 094;312 519;320 816;322 131;329 090;340 959;348 708;351 359;359 888;417 582;416 141;416 855;
Alföld és Észak;nagyrégió;254 985;260 029;261 951;266 179;281 236;286 317;288 519;293 397;305 845;313 375;314 771;320 577;335 694;342 290;344 267;351 533;409 211;407 450;408 022;
Ország összesen;ország;316 268;324 414;324 126;329 943;352 151;359 464;359 885;367 833;384 219;394 960;395 030;403 616;420 222;428 247;428 642;438 814;508 279;505 272;503 639;
Az elõzõ év azonos idõszaka = 100,0% ;;;;;;;;;;;;;;;;;;;;;
Budapest;fõváros, régió;111,5;110,9;110,4;110,4;111,2;110,2;110,6;111,3;107,7;109,5;109,4;109,3;109,1;107,0;107,4;107,6;123,0;119,0;117,8;
Pest ;megye, régió;111,2;111,0;111,1;110,8;110,7;110,5;110,8;111,1;110,2;110,1;110,3;110,4;109,0;108,8;108,0;108,0;113,9;114,0;114,8;
Közép-Magyarország;nagyrégió;111,4;110,8;110,4;110,3;110,9;110,1;110,4;111,1;108,3;109,8;109,8;109,7;109,2;107,3;107,5;107,7;121,4;118,1;117,3;
Fejér;megye;113,7;113,7;113,1;112,2;113,2;112,5;112,2;112,4;107,5;105,9;106,0;106,9;107,3;108,9;109,1;109,4;118,1;116,8;116,5;
Komárom-Esztergom;megye;111,5;111,3;111,4;111,2;111,9;111,9;111,8;111,8;109,3;108,9;108,9;109,5;107,6;109,0;108,7;108,7;116,6;115,5;116,0;
Veszprém;megye;113,5;113,5;113,6;113,2;111,4;111,0;111,2;111,3;108,0;107,3;107,5;108,0;110,8;110,7;110,2;109,9;116,5;114,8;115,3;
Közép-Dunántúl;régió;113,0;112,9;112,7;112,2;112,3;111,9;111,8;111,9;108,2;107,2;107,3;108,0;108,4;109,4;109,3;109,3;117,3;115,9;116,1;
