20.2.3.1. A 15–64 éves népesség munkanélküliségi rátája, negyedévente [%];;;;;;;;;;;;;;;;;;;;
Ország, országcsoport;2018. I. negyedév;2018. II. negyedév;2018. III. negyedév;2018. IV. negyedév;2019. I. negyedév;2019. II. negyedév;2019. III. negyedév;2019. IV. negyedév;2020. I. negyedév;2020. II. negyedév;2020. III. negyedév;2020. IV. negyedév;2021. I. negyedév;2021. II. negyedév;2021. III. negyedév;2021. IV. negyedév;2022. I. negyedév;2022. II. negyedév;2022. III. negyedév;2022. IV. negyedév
Ausztria;5,3;4,7;5,0;4,7;5,0;4,5;4,5;4,2;4,7;5,7;5,8;5,5;8,0;6,6;5,4;5,1;5,3;4,3;;
Belgium;6,2;6,1;5,9;5,8;5,7;5,4;5,4;5,2;5,1;4,9;6,5;5,8;6,7;6,2;6,6;5,8;5,4;5,7;;
Bulgária;5,8;5,5;5,0;4,7;5,1;4,2;3,7;4,1;4,6;6,0;4,9;5,3;6,4;5,7;4,6;4,6;5,0;4,7;;
Ciprus;11,0;7,5;8,0;7,7;9,0;6,6;6,9;6,5;7,4;7,0;8,5;8,2;8,8;8,6;6,8;6,4;6,8;7,0;;
Csehország;2,4;2,2;2,4;2,1;2,1;1,9;2,2;2,1;2,0;2,4;2,9;3,1;3,4;3,1;2,8;2,3;2,5;2,4;;
Dánia;5,7;5,1;5,1;5,2;5,6;4,8;5,1;5,1;5,3;5,3;6,5;5,9;6,5;4,8;4,9;4,4;4,7;4,0;;
Észtország;7,0;5,1;5,4;4,5;4,8;5,4;4,1;4,3;5,3;7,7;7,8;7,8;7,3;7,1;6,0;5,4;5,8;6,1;;
Finnország;8,9;8,4;6,7;6,1;7,2;7,8;6,2;6,2;7,3;9,1;7,9;7,6;8,6;9,2;7,0;6,4;7,2;7,3;;
Franciaország;9,7;8,8;8,9;9,1;9,1;8,1;8,3;8,5;8,2;6,8;9,0;8,3;8,4;7,7;8,0;7,7;7,6;7,2;;
Görögország;21,4;19,2;18,4;18,8;19,4;17,0;16,5;16,9;16,4;16,8;16,3;16,4;17,3;15,9;13,2;13,4;13,9;12,5;;
Hollandia;4,4;3,9;3,6;3,5;3,7;3,3;3,2;3,3;3,3;3,8;4,3;4,0;4,9;4,4;4,0;3,7;3,6;3,3;;
Horvátország;10,5;7,7;7,4;8,7;7,6;6,2;5,8;7,3;7,1;6,5;7,5;9,2;10,0;7,9;6,3;6,3;7,2;7,4;;
Írország;5,8;6,2;6,1;5,5;4,9;5,5;5,4;4,6;4,7;5,2;7,3;5,9;7,2;7,4;5,9;5,0;4,9;4,6;;
Lengyelország;4,2;3,6;3,9;3,9;4,0;3,3;3,2;2,9;3,2;3,2;3,3;3,2;4,1;3,6;3,1;2,9;3,2;2,7;;
Lettország;8,4;7,9;7,1;7,0;7,1;6,6;6,2;6,2;7,9;8,9;8,6;8,2;8,3;8,2;7,5;7,5;7,5;6,9;;
Litvánia;7,4;6,1;5,8;6,1;6,7;6,3;6,3;6,6;7,4;8,9;9,6;9,4;7,7;7,7;7,0;7,2;6,6;5,5;;
Luxemburg;5,6;5,5;6,1;5,3;5,4;5,3;5,9;5,8;6,3;6,4;7,9;6,6;5,6;5,7;5,6;4,3;4,1;4,5;;
Magyarország;3,9;3,6;3,9;3,6;3,6;3,4;3,5;3,4;3,8;4,7;4,5;4,2;4,5;4,1;3,9;3,7;3,8;3,2;;
Málta;3,9;3,8;3,6;3,6;3,8;3,6;3,8;3,6;3,5;4,7;5,0;4,5;3,9;3,5;3,4;2,9;2,9;3,0;;
Németország;3,7;3,5;3,4;3,2;3,4;3,1;3,2;3,1;..;..;..;..;4,2;3,8;3,4;3,2;3,1;3,0;;
Olaszország;11,8;10,9;9,5;11,0;11,3;10,0;9,3;10,1;9,6;7,9;10,2;9,7;10,9;9,8;9,0;9,2;8,9;8,1;;
Portugália;8,2;7,0;7,0;6,9;7,0;6,5;6,4;6,9;6,9;5,8;8,1;7,5;7,3;6,8;6,3;6,5;6,1;5,9;;
Románia;4,8;4,3;4,0;4,2;4,2;3,9;4,0;4,0;4,4;5,5;5,4;5,4;6,1;5,1;5,3;5,9;6,0;5,3;;
Spanyolország;16,8;15,4;14,6;14,5;14,8;14,1;14,0;13,9;14,5;15,4;16,4;16,3;16,1;15,4;14,7;13,4;13,7;12,6;;
Svédország;6,8;7,1;6,1;6,0;7,5;7,3;6,7;6,5;7,8;9,4;8,9;8,1;10,0;10,1;8,4;7,6;8,3;8,6;;
Szlovákia;7,2;6,7;6,4;6,1;5,9;5,8;5,9;5,7;6,0;6,7;7,3;7,0;7,2;7,0;6,8;6,6;6,4;6,2;;
Szlovénia;6,0;5,3;5,1;4,4;4,9;4,3;4,8;4,0;4,6;5,2;5,2;5,1;5,7;4,4;4,5;4,5;4,3;4,2;;
EU27_2020;8,1;7,4;7,0;7,2;7,3;6,7;6,6;6,7;6,9;6,8;7,7;7,4;7,9;7,3;6,8;6,5;6,5;6,1;;
Egyesült Királyság;4,2;4,0;4,3;3,9;3,8;3,8;4,0;3,7;3,9;3,9;5,0;..;..;..;..;..;..;..;;
