22.1.1.5. A 15 éves és idõsebb népesség összetétele családi állapot szerint, január 1. [%];;;;;
Év, nem;Nõtlen, hajadon;Házas;Özvegy;Elvált;Összesen
1980;17,7;67,4;10,2;4,7;100,0
1990;20,3;61,2;11,2;7,4;100,0
2001;27,1;52,4;11,6;8,8;100,0
2002;27,8;51,6;11,6;9,0;100,0
2003;28,2;50,9;11,6;9,3;100,0
2004;28,8;50,1;11,6;9,5;100,0
2005;29,4;49,4;11,5;9,7;100,0
2006;30,0;48,7;11,5;9,9;100,0
2007;30,5;48,0;11,4;10,1;100,0
2008;31,1;47,2;11,4;10,3;100,0
2009;31,7;46,5;11,3;10,5;100,0
2010;32,3;45,7;11,3;10,7;100,0
2011;32,9;45,0;11,2;10,9;100,0
2012;32,9;44,1;11,4;11,6;100,0
2013;33,4;43,5;11,3;11,8;100,0
2014;33,9;42,9;11,2;11,9;100,0
2015;34,4;42,5;11,1;12,0;100,0
2016;34,7;42,2;11,0;12,1;100,0
2017;34,8;42,1;10,9;12,2;100,0
2018;35,1;41,9;10,8;12,2;100,0
2019;35,3;41,8;10,6;12,2;100,0
2020;35,0;42,3;10,5;12,2;100,0
2021;35,1;42,4;10,4;12,1;100,0
2022;35,0;42,7;10,3;12,1;100,0
Ebbõl:;;;;;
férfi;41,2;44,9;3,6;10,3;100,0
nõ;29,4;40,6;16,2;13,7;100,0
