22.1.1.7. Élveszületések az anya és az újszülött fõbb jellemzõi szerint ;;;;;;;;;;
Év;Élveszületések száma;Ebbõl: fiú;Ebbõl: leány;Ezer 15-49 éves nõre jutó élveszületés;Ezer 15-49 éves házas nõre házasságból jutó élveszületés;Ezer 15-49 éves nem házas nõre jutó házasságon kívüli élveszületés;A nõk átlagos kora az elsõ gyermek születésekor;A nõk átlagos kora a gyermek születésekor;Házasságon kívül élveszülöttek aránya, %;A 2500 grammon aluli súllyal élveszülöttek aránya, %
1980;148 673;76 115;72 558;57,6;73,7;14,8;22,86;24,95;7,1;10,4
1990;125 679;64 216;61 463;49,4;67,4;17,7;22,99;25,67;13,1;9,3
2001;97 047;50 034;47 013;38,1;52,1;23,6;25,33;27,35;30,3;8,5
2002;96 804;49 695;47 109;38,3;52,8;23,9;25,70;27,64;31,4;8,5
2003;94 647;48 863;45 784;37,8;52,5;23,7;26,10;27,92;32,3;8,7
2004;95 137;48 778;46 359;38,4;53,4;24,8;26,54;28,27;34,0;8,3
2005;97 496;50 327;47 169;39,8;56,1;25,8;26,96;28,59;35,0;8,2
2006;99 871;51 116;48 755;41,1;59,0;26,5;27,29;28,88;35,6;8,3
2007;97 613;50 033;47 580;40,5;57,9;26,9;27,55;29,14;37,5;8,2
2008;99 149;50 823;48 326;41,3;58,8;28,3;27,70;29,31;39,5;8,3
2009;96 442;49 565;46 877;40,3;57,7;28,0;27,92;29,54;40,8;8,4
2010;90 335;46 279;44 056;37,9;55,8;25,9;28,23;29,83;40,8;8,6
2011;88 049;45 390;42 659;37,1;54,9;25,7;28,34;30,03;42,3;8,5
2012;90 269;46 674;43 595;38,7;55,9;28,0;28,29;30,06;44,5;8,6
2013;88 689;45 571;43 118;38,2;54,7;28,2;28,23;30,09;46,2;8,8
2014;91 510;46 873;44 637;39,7;56,4;29,9;28,27;30,14;47,6;8,9
2015;91 690;47 130;44 560;40,0;57,3;30,1;28,44;30,27;47,8;8,5
2016;93 063;47 797;45 266;40,9;59,9;30,1;28,42;30,20;46,9;8,5
2017;91 577;47 070;44 507;40,6;61,5;28,7;28,61;30,31;45,1;8,3
2018;89 807;46 124;43 683;40,2;61,8;27,9;28,75;30,33;44,3;8,5
2019;89 193;46 024;43 169;40,2;67,1;24,7;28,86;30,34;38,9;8,2
2020;92 338;47 503;44 835;42,0;78,3;20,4;28,92;30,36;30,5;7,7
2021;93 039;47 981;45 058;42,7;82,3;18,4;29,08;30,47;26,7;7,4
