22.1.1.12. Halálozások nem és családi állapot szerint;;;;;;;;;;;
Nem, családi állapot;1980;1990;2001;2010;2015;2016;2017;2018;2019;2020;2021
Férfi;;;;;;;;;;;
Nõtlen;7 733;7 698;6 872;7 707;8 169;7 887;8 730;8 825;8 732;9 611;10 808
Házas;50 290;47 572;39 578;34 697;32 621;32 453;32 816;32 130;31 193;34 212;39 186
Özvegy;14 837;14 850;14 033;13 500;13 040;12 419;12 499;12 818;12 543;13 459;14 474
Elvált;3 869;6 816;7 906;9 233;9 715;9 899;9 980;10 243;10 375;11 379;12 631
Összesen;76 729;76 936;68 389;65 137;63 545;62 658;64 025;64 016;62 843;68 661;77 099
Nõ;;;;;;;;;;;
Hajadon;6 831;5 695;4 164;3 882;3 950;3 831;4 149;4 033;4 097;4 622;4 684
Házas;20 143;17 378;14 227;12 540;12 375;12 089;12 347;12 155;12 160;12 907;14 997
Özvegy;38 397;41 013;39 824;41 647;43 288;40 015;42 221;42 037;41 358;44 663;47 516
Elvált;3 255;4 638;5 579;7 250;8 539;8 460;8 932;8 804;9 145;10 149;11 325
Összesen;68 626;68 724;63 794;65 319;68 152;64 395;67 649;67 029;66 760;72 341;78 522
Összesen;;;;;;;;;;;
Nõtlen, hajadon;14 564;13 393;11 036;11 589;12 119;11 718;12 879;12 858;12 829;14 233;15 492
Házas;70 433;64 950;53 805;47 237;44 996;44 542;45 163;44 285;43 353;47 119;54 183
Özvegy;53 234;55 863;53 857;55 147;56 328;52 434;54 720;54 855;53 901;58 122;61 990
Elvált;7 124;11 454;13 485;16 483;18 254;18 359;18 912;19 047;19 520;21 528;23 956
Összesen;145 355;145 660;132 183;130 456;131 697;127 053;131 674;131 045;129 603;141 002;155 621
