22.1.1.13. Magzati veszteségek száma és aránya;;;;;;;;;
Év;Korai és középidõs magzati halálozások száma;Késõi magzati halálozások száma;Összes magzati halálozások száma;Terhesség-megszakítások száma;Magzati veszteségek száma összesen;Magzati veszteségek ezer 15–49 éves nõre;Magzati veszteségek száz élveszületésre;"Terhesség-megszakítások 
ezer 15–49 éves nõre";"Terhesség-megszakítások 
száz élveszületésre"
1980;19 972;1 156;21 128;80 882;102 010;39,6;68,6;31,4;54,4
1990;17 596;699;18 295;90 394;108 689;42,8;86,5;35,6;71,9
2001;15 742;550;16 292;56 404;72 696;28,6;74,9;22,2;58,1
2002;16 512;523;17 035;56 075;73 110;29,0;75,5;22,2;57,9
2003;16 315;530;16 845;53 789;70 634;28,2;74,6;21,5;56,8
2004;16 403;476;16 879;52 539;69 418;28,0;73,0;21,2;55,2
2005;17 022;506;17 528;48 689;66 217;27,1;67,9;19,9;49,9
2006;17 358;489;17 847;46 324;64 171;26,5;64,3;19,1;46,4
2007;16 762;485;17 247;43 870;61 117;25,4;62,6;18,2;44,9
2008;17 283;431;17 714;44 089;61 803;25,8;62,3;18,4;44,5
2009;17 366;519;17 885;43 181;61 066;25,5;63,3;18,0;44,8
2010;16 323;387;16 710;40 449;57 159;23,9;63,3;16,9;44,8
2011;16 828;392;17 220;38 443;55 663;23,4;63,2;16,1;43,7
2012;16 072;378;16 450;36 118;52 568;22,5;58,2;15,4;40,0
2013;16 105;392;16 497;34 891;51 388;22,1;57,9;15,0;39,3
2014;16 035;421;16 456;32 663;49 119;21,2;53,7;14,1;35,7
2015;16 394;408;16 802;31 176;47 978;20,9;52,3;13,5;34,0
2016;16 794;410;17 204;30 439;47 643;20,9;51,2;13,3;32,7
2017;16 107;435;16 542;28 496;45 038;19,9;49,2;12,6;31,1
2018;15 837;383;16 220;26 941;43 161;19,2;48,1;12,0;30,0
2019;16 106;391;16 497;25 783;42 280;19,0;47,4;11,6;28,9
2020;14 895;405;15 300;23 901;39 201;17,8;42,5;10,8;25,9
2021;14 079;466;14 545;21 907;36 452;16,7;39,2;10,1;23,5
