22.1.1.14. Ezer megfelelõ korú nõre jutó terhességmegszakítás;;;;;;;
Év;15–19 éves;20–24 éves;25–29 éves;30–34 éves;35–39 éves;40–49 éves;"15–49
együtt"
1980;25,7;38,5;44,1;44,7;37,4;11,1;31,4
1990;30,3;51,2;53,9;50,1;41,0;11,9;35,6
2001;19,7;34,7;35,5;32,6;23,7;4,5;22,2
2002;19,9;34,4;35,2;32,3;24,1;4,3;22,2
2003;19,5;32,5;32,9;31,2;24,0;4,2;21,5
2004;19,2;32,2;32,7;29,8;23,2;4,4;21,2
2005;18,1;29,3;29,4;28,2;22,0;4,3;19,9
2006;17,4;27,8;28,0;26,8;21,0;4,2;19,1
2007;16,8;26,6;26,3;24,9;20,3;4,1;18,2
2008;17,2;27,7;26,0;24,9;20,0;4,4;18,4
2009;17,4;26,9;25,6;24,6;19,7;4,4;18,0
2010;16,6;25,6;24,5;22,6;18,4;4,4;16,9
2011;16,1;25,0;22,8;21,3;18,3;4,1;16,1
2012;15,5;23,7;24,1;20,6;16,9;4,0;15,4
2013;16,3;24,0;23,3;19,8;15,8;3,8;15,0
2014;16,4;23,3;22,0;18,5;14,5;3,6;14,1
2015;16,3;23,1;21,3;17,8;13,8;3,4;13,5
2016;16,1;23,7;20,8;18,0;13,5;3,3;13,3
2017;15,5;23,2;19,9;17,4;12,3;3,1;12,6
2018;14,6;22,9;19,5;16,1;11,8;2,9;12,0
2019;14,1;23,1;18,9;15,6;11,2;2,6;11,6
2020;12,5;22,7;18,1;14,3;10,6;2,4;10,8
2021;11,1;21,0;17,4;13,9;9,7;2,0;10,0
