22.1.1.16. Házasságkötések fõbb mutatói;;;;;;;;
Év;Házasságkötések száma;Ebbõl: újraházasodók száma;Házasságkötés ezer 15 éves és annál idõsebb nem házas férfira;Házasságkötés ezer 15 éves és annál idõsebb nem házas nõre;A férfiak átlagos életkora a házasságkötéskor, év;A nõk átlagos életkora a házasságkötéskor, év;A férfiak átlagos életkora az elsõ házasságkötéskor, év;A nõk átlagos életkora az elsõ házasságkötéskor, év
1980;80 331;23 506;68,7;51,1;27,7;24,7;24,5;21,8
1990;66 405;18 478;47,4;35,9;27,9;24,9;24,7;22,0
2001;43 583;13 930;24,4;18,9;31,2;28,2;27,8;25,2
2002;46 008;14 273;25,4;19,7;31,5;28,5;28,2;25,7
2003;45 398;13 975;24,6;19,2;31,8;28,9;28,6;26,1
2004;43 791;13 654;23,4;18,2;32,3;29,3;29,0;26,5
2005;44 234;13 473;23,2;18,2;32,5;29,5;29,3;26,9
2006;44 528;13 777;23,0;18,0;32,9;30,0;29,7;27,3
2007;40 842;12 602;20,7;16,3;33,3;30,3;30,1;27,5
2008;40 105;12 738;20,0;15,8;33,7;30,7;30,4;27,9
2009;36 730;11 938;18,0;14,3;34,5;31,4;31,0;28,3
2010;35 520;11 748;17,2;13,7;34,9;31,7;31,4;28,7
2011;35 812;12 253;17,1;13,7;35,4;32,3;31,8;29,1
2012;36 161;12 018;17,0;13,7;35,5;32,3;31,9;29,2
2013;36 986;12 320;17,2;13,9;35,9;32,8;32,3;29,5
2014;38 780;12 960;17,9;14,6;36,3;33,1;32,5;29,7
2015;46 137;14 510;21,1;17,3;35,9;32,8;32,4;29,6
2016;51 805;15 810;23,7;19,4;36,0;32,9;32,5;29,7
2017;50 572;15 573;23,1;19,0;36,4;33,3;32,7;29,9
2018;50 828;15 452;23,1;19,1;36,6;33,5;32,8;30,1
2019;65 268;17 153;29,7;24,7;36,0;32,9;32,8;30,1
2020;67 095;16 422;30,7;25,6;35,5;32,5;32,7;30,0
2021;72 030;18 009;33,2;27,7;35,8;32,9;32,9;30,2
