22.1.1.17. Ezer megfelelõ korú és nemû nem házasra jutó házasságkötés nem és korcsoport szerint;;;;;;;;;;;
Korcsoport, éves;1980;1990;2001;2010;2015;2016;2017;2018;2019;2020;2021
Férfi;;;;;;;;;;;
    –19;18,0;9,4;2,0;0,9;1,0;1,3;1,3;1,3;1,3;1,5;1,3
20–24;133,1;121,7;24,9;7,4;9,0;11,0;10,9;11,5;15,2;18,4;20,8
25–29;168,4;123,5;61,3;30,3;38,2;42,4;41,3;40,5;56,3;61,5;67,0
30–34;90,9;59,3;52,0;41,5;53,8;59,8;57,0;56,7;76,0;81,4;86,2
35–39;62,8;36,1;31,9;29,7;37,9;43,2;41,0;40,7;57,5;58,8;63,0
40–44;43,0;26,9;19,9;18,6;24,2;26,8;26,5;27,1;33,3;33,8;37,7
45–49;37,1;22,7;15,0;12,3;15,9;18,1;18,4;18,6;20,8;20,4;24,9
50–54;32,2;18,2;13,1;9,7;12,1;13,8;14,7;15,9;16,7;15,0;17,7
55–59;27,7;15,7;11,0;9,1;9,9;11,0;12,2;12,5;13,1;12,1;14,2
60–    ;10,9;6,9;4,5;5,3;6,3;6,8;7,3;7,4;7,6;6,9;7,6
Összesen;68,7;47,4;24,4;17,2;21,1;23,7;23,1;23,1;29,7;30,7;33,2
Nõ;;;;;;;;;;;
    –19;95,0;50,9;9,3;3,3;3,8;4,7;4,7;4,6;4,9;5,2;5,6
20–24;241,7;184,9;48,6;18,2;22,2;25,4;24,7;25,3;36,6;41,3;46,4
25–29;151,7;107,7;74,0;48,8;62,5;68,7;66,8;66,5;89,0;96,8;105,8
30–34;80,3;52,6;45,8;42,3;55,4;64,6;61,9;62,9;87,2;93,3;98,8
35–39;44,6;31,1;25,1;24,3;31,9;36,1;34,7;35,8;50,3;54,6;60,4
40–44;27,9;19,5;13,6;13,5;18,8;20,4;21,0;21,2;22,8;21,9;27,2
45–49;20,0;14,3;9,6;9,4;12,5;14,6;15,3;15,0;15,8;13,9;17,5
50–54;10,9;8,1;6,3;6,0;9,4;10,5;11,4;12,1;13,0;11,4;13,4
55–59;7,0;4,2;3,2;4,3;5,4;6,3;7,3;7,4;8,1;7,7;9,0
60–    ;1,4;0,9;0,5;0,6;1,1;1,2;1,3;1,5;1,5;1,4;1,6
Összesen;51,1;35,9;18,9;13,7;17,3;19,4;19,0;19,1;24,7;25,6;27,7
