22.1.1.32. A Magyarországon született visszavándorló magyar állampolgárok az elõzõ tartózkodás országa és nemek szerint;;;;;;;;;;;;
Ország;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
Férfi;;;;;;;;;;;;
  Ausztria;122;257;689;1 542;1 796;2 385;2 642;3 087;3 708;3 840;4 258;3 592
  Németország;89;109;462;1 389;1 799;2 469;2 737;3 844;3 831;4 018;3 492;4 175
  Egyesült Királyság;329;393;473;1 113;1 302;1 541;1 699;2 239;2 709;2 440;2 483;2 404
  Egyéb;272;443;579;1 255;1 407;1 889;2 008;2 427;2 880;2 819;2 712;3 058
Összesen;812;1 202;2 203;5 299;6 304;8 284;9 086;11 597;13 128;13 117;12 945;13 229
Nõ;;;;;;;;;;;;
  Ausztria;120;262;629;1 299;1 632;2 213;2 322;2 773;3 261;3 121;3 595;2 245
  Németország;56;112;277;719;897;1 262;1 574;2 294;2 126;2 370;2 046;2 533
  Egyesült Királyság;303;424;505;1 090;1 290;1 552;1 634;2 267;2 621;2 407;2 322;2 173
  Egyéb;284;443;580;947;1 233;1 499;1 599;1 975;2 265;2 157;2 196;2 403
Összesen;763;1 241;1 991;4 055;5 052;6 526;7 129;9 309;10 273;10 055;10 159;9 354
Összesen;;;;;;;;;;;;
  Ausztria;242;519;1 318;2 841;3 428;4 598;4 964;5 860;6 969;6 961;7 853;5 837
  Németország;145;221;739;2 108;2 696;3 731;4 311;6 138;5 957;6 388;5 538;6 708
  Egyesült Királyság;632;817;978;2 203;2 592;3 093;3 333;4 506;5 330;4 847;4 805;4 577
  Egyéb;556;886;1 159;2 202;2 640;3 388;3 607;4 402;5 145;4 976;4 908;5 461
Összesen;1 575;2 443;4 194;9 354;11 356;14 810;16 215;20 906;23 401;23 172;23 104;22 583
