22.1.1.33. A Magyarországon állampolgárságot kapott személyek az elõzõ állampolgárság országa szerint;;;;;;;;;;;;;;;;;;;;;;
Elõzõ állampolgárság országa                                                                                                                                                                                                ;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011 ;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
Európa;;;;;;;;;;;;;;;;;;;;;;
Ausztria;7;9;3;1;2;6;6;3;8;7;4;20;14;9;7;10;5;8;7;6;11;9
Görögország;6;6;3;1;–;1;–;–;–;–;–;1;2;2;–;2;2;1;7;15;1;9
Németország;36;44;15;20;27;25;22;28;33;35;25;55;67;35;59;29;15;38;50;59;45;60
Bulgária;45;20;7;9;9;14;11;5;4;8;23;9;7;6;5;3;3;8;29;3;6;24
Csehország;41;53;15;28;106;142;14;60;75;60;76;16;9;7;17;7;5;2;6;6;5;4
Észtország;7;60;25;59;74;148;118;110;41;31;19;–;1;–;1;–;–;1;–;–;–;1
Horvátország;100;45;17;413;22;50;148;26;34;25;26;61;50;22;27;15;14;12;17;12;1;7
Lengyelország;38;41;13;20;17;26;10;10;14;13;9;27;18;11;45;15;18;22;19;21;11;21
Románia;2 988;5 644;2 238;3 415;3 605;6 890;4 303;6 052;5 535;3 805;3 939;15 658;14 392;6 999;6 200;2 605;2 874;1 757;2 123;1 822;1 058;1 319
Szlovákia;135;158;80;129;107;161;206;116;106;97;97;414;307;202;310;208;282;136;223;260;234;298
EU27_2020;3 407;6 088;2 419;4 100;3 975;7 474;4 843;6 423;5 862;4 088;4 234;16 290;14 895;7 326;6 704;2 922;3 260;2 012;2 512;2 247;1 402;1 787
Egyesült Királyság;3;1;–;–;–;–;–;1;1;2;4;6;8;7;4;3;11;14;22;52;35;53
Oroszország;207;202;66;91;87;162;111;7;156;119;111;168;151;97;170;131;119;75;89;93;74;61
Svájc;2;5;–;3;1;2;6;5;3;–;–;1;7;4;6;3;6;3;2;6;2;4
Szerbia;1 079;1 254;470;343;533;949;357;757;758;672;721;1 678;1 330;647;410;158;144;93;105;88;52;59
Törökország;7;2;2;3;3;7;4;6;13;10;9;12;8;20;58;19;20;23;20;26;18;23
Ukrajna;586;855;340;570;568;828;541;834;857;558;646;2 189;1 765;894;858;386;365;186;192;142;82;75
Egyéb európai;3;10;7;42;157;199;106;142;170;128;127;12;12;13;19;13;7;6;13;18;8;13
Együtt;5 294;8 417;3 304;5 152;5 324;9 621;5 968;8 174;7 820;5 576;5 852;20 356;18 176;9 008;8 229;3 635;3 932;2 412;2 955;2 672;1 673;2 075
Ázsia;;;;;;;;;;;;;;;;;;;;;;
Afganisztán;6;5;1;5;16;5;4;25;15;10;24;4;5;2;5;13;11;9;11;8;11;10
Irak;15;4;3;3;4;6;6;5;3;8;3;–;6;–;4;5;5;8;4;7;6;2
Irán;9;4;1;3;7;10;7;11;6;18;14;7;14;11;16;10;21;10;11;21;13;14
Jemen;4;2;–;5;2;4;6;3;6;11;4;3;8;7;10;5;9;3;3;–;2;3
Jordánia;4;9;1;5;1;5;1;3;6;2;2;1;3;2;18;7;2;2;6;3;4;1
Kazahsztán;7;10;3;1;3;8;8;5;6;6;3;3;3;5;6;8;3;5;3;2;2;6
Kína;3;3;5;4;3;16;15;31;29;20;27;15;3;7;13;12;15;14;12;4;5;8
Libanon;7;3;5;1;2;5;3;3;6;2;1;1;3;–;8;3;1;3;5;4;1;6
Mongólia;3;8;8;1;6;11;14;10;4;14;16;18;9;8;20;18;13;19;28;12;10;11
Szíria;17;12;5;13;7;13;13;22;17;11;10;7;11;10;57;21;11;21;15;13;5;16
Vietnam;14;17;5;11;10;53;40;53;95;39;75;38;29;15;67;39;36;46;87;100;62;36
Egyéb ázsiai;12;25;3;17;11;34;27;22;32;29;16;36;23;29;49;50;49;41;54;48;27;39
Együtt;101;102;40;69;72;170;144;193;225;170;195;133;117;96;273;191;176;181;239;222;148;152
Amerika;;;;;;;;;;;;;;;;;;;;;;
Egyesült Államok;1;1;1;2;2;3;4;12;11;9;2;17;13;9;25;13;17;10;17;25;25;18
Kuba;6;17;4;6;4;14;7;8;11;4;5;5;7;2;14;9;10;2;3;5;6;3
Egyéb amerikai;11;11;4;9;10;13;8;11;10;16;4;20;16;13;38;40;18;18;66;168;116;115
Együtt;18;29;9;17;16;30;19;31;32;29;11;42;36;24;77;62;45;30;86;198;147;136
Afrika;;;;;;;;;;;;;;;;;;;;;;
Algéria;7;15;5;2;6;11;10;11;7;4;12;1;5;1;19;11;4;7;6;8;8;3
Egyiptom;2;3;–;1;2;2;1;4;2;5;3;2;6;9;81;93;101;119;191;103;124;105
Líbia;3;5;–;–;1;1;2;4;2;2;1;1;1;1;4;2;3;1;2;5;2;1
Nigéria;4;6;3;3;1;9;5;9;2;4;5;3;9;5;15;13;11;7;5;7;7;7
Szudán;1;–;1;1;2;2;3;1;5;–;–;1;4;2;2;3;1;5;–;2;3;8
Egyéb afrikai;15;13;7;15;8;24;19;13;9;12;7;13;24;31;43;36;35;24;21;37;26;23
Együtt;32;42;16;22;20;49;40;42;27;27;28;21;49;49;164;158;155;163;225;162;170;147
Egyéb és ismeretlen;1;–;–;1;–;–;1;2;–;–;–;2;1;1;2;2;7;1;3;1;1;1
Összesen;5 446;8 590;3 369;5 261;5 432;9 870;6 172;8 442;8 104;5 802;6 086;20 554;18 379;9 178;8 745;4 048;4 315;2 787;3 508;3 255;2 139;2 511
