22.1.2.5. Eltartottsági ráták, öregedési index megye és régió szerint, január 1.;;;;;;;;;;;;;
Területi egység neve;Területi egység szintje;"A gyermeknép-esség
eltartottsági rátája, 2001";"A gyermeknép-esség
eltartottsági rátája, 2012";"A gyermeknép-esség
eltartottsági rátája, 2022";"Az idõs népesség 
eltartottsági rátája, 2001";"Az idõs népesség 
eltartottsági rátája, 2012";"Az idõs népesség 
eltartottsági rátája, 2022";"Az eltartott népesség 
rátája, 2001";"Az eltartott népesség 
rátája, 2012";"Az eltartott népesség 
rátája, 2022";Öregedési index, 2001;Öregedési index, 2012;Öregedési index, 2022
Budapest;fõváros, régió;18,6;18,4;20,0;25,7;27,5;32,6;44,3;45,9;52,6;138,3;149,1;163,4
Pest;megye, régió;25,6;24,1;26,0;19,0;21,4;27,1;44,6;45,5;53,1;74,1;89,0;104,5
Közép-Magyarország;nagyrégió;21,2;20,8;22,6;23,1;25,0;30,2;44,4;45,7;52,8;109,0;120,3;133,9
Fejér;megye;25,2;20,6;22,5;19,5;22,7;30,6;44,7;43,3;53,1;77,7;110,0;136,0
Komárom-Esztergom;megye;24,5;20,9;22,5;19,7;23,4;30,1;44,2;44,3;52,6;80,7;112,0;133,5
Veszprém;megye;24,1;19,9;21,7;20,7;24,7;34,1;44,9;44,7;55,7;86,0;124,3;157,3
Közép-Dunántúl;régió;24,6;20,5;22,2;20,0;23,6;31,6;44,6;44,0;53,8;81,3;115,1;141,9
Gyõr-Moson-Sopron;megye;23,0;20,5;22,7;20,9;23,1;28,1;43,9;43,6;50,8;91,2;112,6;123,8
Vas;megye;23,5;19,1;20,4;22,2;24,7;32,5;45,7;43,9;52,9;94,4;129,4;159,0
Zala;megye;22,8;18,7;20,0;23,3;26,4;37,7;46,2;45,1;57,6;102,1;141,2;188,4
Nyugat-Dunántúl;régió;23,1;19,6;21,4;22,0;24,5;31,7;45,1;44,1;53,1;95,3;124,6;147,8
Baranya;megye;23,4;20,3;21,1;21,6;25,3;34,2;45,0;45,6;55,4;92,2;124,2;162,1
Somogy;megye;24,8;20,6;21,2;22,7;25,7;36,6;47,5;46,3;57,8;91,6;125,0;172,2
Tolna;megye;24,9;20,1;22,1;22,5;25,2;35,8;47,5;45,3;57,9;90,4;125,3;162,2
Dél-Dunántúl;régió;24,3;20,4;21,4;22,2;25,4;35,4;46,5;45,8;56,8;91,5;124,7;165,6
Dunántúl;nagyrégió;24,0;20,2;21,7;21,3;24,4;32,7;45,3;44,6;54,4;88,9;121,2;150,7
Borsod-Abaúj-Zemplén;megye;28,4;23,8;24,8;21,6;24,0;30,5;50,0;47,8;55,3;76,0;101,0;123,1
Heves;megye;24,3;21,6;22,6;24,5;27,0;34,6;48,8;48,5;57,2;100,8;125,0;152,7
Nógrád;megye;24,8;21,2;21,8;23,5;26,7;34,4;48,3;47,8;56,2;94,7;126,0;158,2
Észak-Magyarország ;régió;26,7;22,8;23,7;22,6;25,2;32,2;49,4;48,0;56,0;84,7;110,8;135,9
Hajdú-Bihar ;megye;27,4;22,3;23,1;20,1;22,2;29,5;47,6;44,5;52,6;73,4;99,6;127,6
Jász-Nagykun-Szolnok;megye;26,3;21,9;23,1;23,1;25,9;33,9;49,4;47,8;57,0;88,1;118,5;146,7
Szabolcs-Szatmár-Bereg;megye;30,6;24,7;23,9;19,3;19,7;26,9;49,9;44,3;50,7;63,1;79,9;112,6
Észak-Alföld ;régió;28,3;23,1;23,4;20,6;22,2;29,6;49,0;45,3;53,0;72,9;96,2;126,4
Bács-Kiskun ;megye;25,4;21,2;22,7;22,9;25,7;33,3;48,4;46,9;56,0;90,3;121,5;146,8
Békés;megye;24,9;20,1;20,2;24,9;27,4;37,3;49,8;47,5;57,5;100,3;136,6;184,2
Csongrád-Csanád;megye;23,4;19,9;20,7;22,7;26,0;34,2;46,1;45,8;54,9;96,8;130,5;164,7
Dél-Alföld ;régió;24,6;20,5;21,4;23,4;26,3;34,6;48,1;46,7;56,0;95,1;128,4;161,8
Alföld és Észak;nagyrégió;26,6;22,1;22,9;22,2;24,4;32,0;48,8;46,6;54,8;83,2;110,3;139,9
Összesen ;ország;24,3;21,1;22,4;22,2;24,6;31,7;46,5;45,7;54,1;91,3;116,4;141,1
