22.1.2.6. Születéskor várható átlagos élettartam, átlagéletkor nem, megye és régió szerint [év];;;;;;;;;;;;;
Területi egység neve;Területi egység szintje;Férfiak születéskor várható átlagos élettartama, 2001;Férfiak születéskor várható átlagos élettartama, 2012;Férfiak születéskor várható átlagos élettartama, 2021;Nõk születéskor várható átlagos élettartama, 2001;Nõk születéskor várható átlagos élettartama, 2012;Nõk születéskor várható átlagos élettartama, 2021;Férfiak átlagéletkora, 2001. január 1.;Férfiak átlagéletkora, 2012. január 1.;Férfiak átlagéletkora, 2022. január 1.;Nõk átlagéletkora, 2001. január 1.;Nõk átlagéletkora, 2012. január 1.;Nõk átlagéletkora, 2022. január 1.
Budapest;fõváros, régió;69,28;73,58;72,84;76,52;79,23;78,80;39,2;40,3;41,2;43,9;44,8;45,6
Pest ;megye, régió;68,68;71,94;71,50;76,54;78,22;77,94;36,2;37,9;39,2;39,8;41,6;42,7
Közép-Magyarország;nagyrégió;69,10;72,92;72,27;76,53;78,85;78,46;38,0;39,3;40,3;42,4;43,5;44,4
Fejér;megye;68,54;71,47;70,32;76,41;78,36;76,93;36,3;39,1;40,8;39,8;43,0;44,7
Komárom-Esztergom;megye;67,95;70,27;69,36;76,25;77,57;76,97;36,7;39,1;40,4;40,3;43,2;44,7
Veszprém;megye;69,01;71,70;71,45;76,08;79,11;78,23;37,0;40,0;42,1;40,5;43,8;46,0
Közép-Dunántúl;régió;68,53;71,22;70,42;76,24;78,39;77,37;36,6;39,4;41,1;40,2;43,3;45,1
Gyõr-Moson-Sopron;megye;69,48;71,95;72,03;78,04;78,71;78,44;37,1;39,3;40,2;40,6;42,9;43,7
Vas;megye;68,84;70,66;71,57;77,12;78,25;78,18;37,6;40,4;42,1;41,3;44,3;45,8
Zala;megye;68,24;71,84;72,18;76,83;78,96;77,72;37,6;40,9;43,5;41,9;45,3;47,8
Nyugat-Dunántúl;régió;68,93;71,57;71,99;77,44;78,67;78,20;37,4;40,0;41,5;41,2;44,0;45,3
Baranya;megye;68,20;70,99;70,85;75,63;78,12;77,89;37,2;39,9;41,8;40,9;44,0;46,0
Somogy;megye;67,28;70,29;69,84;75,39;78,07;76,90;37,3;40,2;42,5;41,3;44,4;46,7
Tolna ;megye;67,96;71,88;69,64;76,57;78,85;77,47;37,2;40,0;42,1;41,3;44,5;46,5
Dél-Dunántúl;régió;67,83;70,97;70,19;75,79;78,27;77,46;37,2;40,0;42,1;41,1;44,3;46,4
Dunántúl;nagyrégió;68,43;71,26;70,87;76,48;78,45;77,67;37,1;39,8;41,6;40,8;43,8;45,6
Borsod-Abaúj-Zemplén;megye;66,59;68,95;68,14;76,10;76,76;75,64;35,9;38,1;39,6;40,0;42,8;44,3
Heves;megye;66,77;70,78;69,16;76,78;78,03;76,81;37,7;39,6;41,1;42,1;44,5;46,0
Nógrád ;megye;67,14;70,47;67,85;75,97;77,71;75,23;37,6;39,9;41,6;41,8;44,5;46,2
Észak-Magyarország;régió;66,73;69,68;68,34;76,26;77,25;75,87;36,6;38,8;40,3;40,8;43,5;45,0
Hajdú-Bihar;megye;68,04;71,83;70,44;76,63;79,23;77,73;35,8;38,2;39,9;39,2;42,1;43,9
Jász-Nagykun-Szolnok;megye;67,43;70,55;69,21;76,25;77,62;76,35;37,2;39,6;41,1;40,9;43,8;45,5
Szabolcs-Szatmár-Bereg;megye;65,78;70,05;68,81;75,74;78,26;76,49;34,5;37,0;39,2;38,2;41,1;43,2
Észak-Alföld;régió;67,03;70,83;69,50;76,17;78,44;76,92;35,7;38,1;39,9;39,3;42,1;44,1
Bács-Kiskun ;megye;67,41;70,96;70,44;76,73;78,22;76,95;37,1;39,6;41,2;41,1;44,0;45,6
Békés;megye;68,84;71,06;69,44;76,60;77,54;76,67;38,3;40,8;42,9;41,7;44,8;47,1
Csongrád-Csanád;megye;68,68;71,50;71,07;76,56;78,78;78,07;37,6;39,8;41,6;41,4;44,0;45,8
Dél-Alföld;régió;68,21;71,13;70,37;76,64;78,20;77,24;37,6;40,0;41,8;41,4;44,2;46,1
Alföld és Észak;nagyrégió;67,32;70,57;69,43;76,36;77,99;76,70;36,6;38,9;40,6;40,4;43,2;45,0
Ország összesen;ország;68,15;71,45;70,69;76,46;78,38;77,52;37,1;39,3;40,8;41,1;43,5;45,0
