22.1.2.7. A népmozgalmi események megye és régió szerint;;;;;;;;;;;;;;;;;;;;;;
Területi egység neve;Területi egység szintje;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
Élveszületés;;;;;;;;;;;;;;;;;;;;;;
Budapest;fõváros, régió;14 656;14 909;14 590;15 051;15 911;16 830;16 957;17 270;17 100;16 458;16 029;16 507;16 001;16 048;16 086;16 107;15 338;15 079;14 789;14 623;15 095
Pest ;megye, régió;11 127;11 276;11 698;11 728;12 238;12 882;12 520;13 282;12 937;12 427;11 828;11 915;11 563;11 763;11 946;12 154;12 174;12 256;12 548;13 275;13 221
Közép-Magyarország;nagyrégió;25 783;26 185;26 288;26 779;28 149;29 712;29 477;30 552;30 037;28 885;27 857;28 422;27 564;27 811;28 032;28 261;27 512;27 335;27 337;27 898;28 316
Fejér;megye;4 034;4 001;3 933;4 024;4 055;4 178;4 078;4 109;3 937;3 762;3 631;3 741;3 729;3 714;3 754;3 919;3 750;3 667;3 698;3 996;4 135
Komárom-Esztergom;megye;2 956;2 987;2 800;2 979;2 974;2 957;3 014;3 032;3 004;2 801;2 655;2 848;2 665;2 874;2 790;2 873;2 821;2 676;2 748;2 755;2 784
Veszprém;megye;3 157;3 381;3 215;3 193;3 285;3 327;3 230;3 331;3 220;2 945;2 881;2 999;2 867;2 927;3 117;2 985;2 939;2 810;2 852;2 864;2 960
Közép-Dunántúl;régió;10 147;10 369;9 948;10 196;10 314;10 462;10 322;10 472;10 161;9 508;9 167;9 588;9 261;9 515;9 661;9 777;9 510;9 153;9 298;9 615;9 879
Gyõr-Moson-Sopron;megye;3 949;3 990;3 944;4 047;4 356;4 346;4 186;4 260;4 227;3 986;3 881;4 002;3 815;3 961;3 995;4 078;4 178;4 198;4 158;4 493;4 640
Vas;megye;2 305;2 325;2 225;2 212;2 228;2 263;2 226;2 214;2 117;2 018;1 826;1 976;1 962;1 970;2 046;2 100;2 090;2 069;2 040;2 172;2 126
Zala;megye;2 465;2 342;2 337;2 309;2 437;2 536;2 397;2 520;2 334;2 154;2 144;2 128;2 068;2 190;2 113;2 176;2 056;2 051;1 879;1 899;2 060
Nyugat-Dunántúl;régió;8 719;8 657;8 506;8 568;9 021;9 145;8 809;8 994;8 678;8 158;7 851;8 106;7 845;8 121;8 154;8 354;8 324;8 318;8 077;8 564;8 826
Baranya;megye;3 705;3 715;3 614;3 579;3 672;3 812;3 704;3 661;3 589;3 367;3 240;3 145;3 084;3 163;3 119;2 953;3 082;2 966;2 912;3 065;3 026
Somogy;megye;3 172;3 033;2 984;3 038;3 049;3 023;2 852;2 787;2 743;2 559;2 513;2 567;2 537;2 750;2 627;2 702;2 636;2 550;2 484;2 605;2 568
Tolna ;megye;2 213;2 237;2 136;2 162;2 120;2 091;2 109;2 118;2 039;1 857;1 807;1 945;1 915;1 976;1 963;2 000;1 887;1 884;1 807;1 979;1 950
