22.1.2.11. Magzati veszteségek megye és régió szerint;;;;;;;
Területi egység neve;Területi egység szintje;Magzati veszteségek száma, 2001;Magzati veszteségek száma, 2012;Magzati veszteségek száma, 2021;Száz élveszületésre jutó magzati veszteség, 2001;Száz élveszületésre jutó magzati veszteség, 2012;Száz élveszületésre jutó magzati veszteség, 2021
Budapest;fõváros, régió;13 329;8 175;5 228;90,9;49,5;34,6
Pest;megye, régió;7 890;6 334;4 307;70,9;53,2;32,6
Közép-Magyarország;nagyrégió;21 219;14 509;9 535;82,4;51,0;33,7
Fejér;megye;2 810;1 917;1 421;69,7;51,2;34,4
Komárom-Esztergom;megye;2 154;1 574;983;72,9;55,3;35,3
Veszprém;megye;2 234;1 563;1 100;70,8;52,1;37,2
Közép-Dunántúl;régió;7 198;5 054;3 504;70,9;52,7;35,5
Gyõr-Moson-Sopron;megye;2 401;1 954;1 410;60,7;48,8;30,4
Vas;megye;1 394;916;710;60,4;46,4;33,4
Zala;megye;1 560;1 322;904;63,3;62,1;43,9
Nyugat-Dunántúl;régió;5 355;4 192;3 024;61,5;51,7;34,3
Baranya;megye;3 030;2 144;1 349;81,7;68,2;44,6
Somogy;megye;2 444;1 862;1 330;77,1;72,5;51,8
Tolna;megye;1 663;1 321;871;75,2;67,9;44,7
Dél-Dunántúl;régió;7 137;5 327;3 550;78,5;69,6;47,1
Dunántúl;nagyrégió;19 690;14 573;10 078;70,4;57,5;38,4
Borsod-Abaúj-Zemplén;megye;5 798;4 282;3 258;72,9;63,9;47,1
Heves;megye;2 583;2 002;1 377;82,2;75,0;49,6
Nógrád;megye;1 411;1 166;933;68,4;71,5;51,8
Észak-Magyarország;régió;9 792;7 450;5 568;74,4;67,7;48,5
Hajdú-Bihar;megye;3 888;3 156;2 172;66,0;64,5;37,8
Jász-Nagykun-Szolnok;megye;3 230;2 502;1 852;77,6;72,3;54,5
Szabolcs-Szatmár-Bereg;megye;4 377;3 781;3 017;64,8;67,7;49,3
Észak-Alföld;régió;11 495;9 439;7 041;68,4;67,7;46,1
Bács-Kiskun;megye;3 639;2 743;1 838;72,8;61,6;38,8
Békés;megye;2 505;1 761;1 101;70,3;64,6;38,6
Csongrád-Csanád;megye;3 033;1 989;1 272;78,2;58,8;35,0
Dél-Alföld;régió;9 177;6 493;4 211;73,8;61,5;37,5
Alföld és Észak;nagyrégió;30 464;23 382;16 820;71,9;65,9;44,3
Ország összesen;ország;72 696;52 568;36 452;74,9;58,2;39,2
