22.1.2.13. Állandó belföldi vándorlás megye és régió szerint;;;;;;;;;;;;;;;;;;;;;;
Területi egység neve;Területi egység szintje;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
Állandó belföldi odavándorlások száma;;;;;;;;;;;;;;;;;;;;;;
Budapest;fõváros, régió;18 700;22 248;23 932;21 997;23 139;28 306;32 017;29 339;27 476;27 099;26 200;25 348;26 027;30 398;30 220;31 174;32 466;32 373;30 348;27 318;33 788
Pest ;megye, régió;39 811;41 786;46 018;41 931;39 386;46 527;49 397;46 979;40 009;35 479;34 739;33 152;31 949;36 086;40 349;50 007;52 889;56 828;55 340;51 178;62 337
Közép-Magyarország;nagyrégió;58 511;64 034;69 950;63 928;62 525;74 833;81 414;76 318;67 485;62 578;60 939;58 500;57 976;66 484;70 569;81 181;85 355;89 201;85 688;78 496;96 125
Fejér;megye;11 218;11 830;12 166;11 025;10 847;13 029;13 005;12 308;10 123;9 766;9 825;9 105;9 187;10 073;10 772;13 302;13 980;14 658;15 146;14 164;16 052
Komárom-Esztergom;megye;6 867;7 451;7 631;7 198;7 106;8 261;8 650;8 489;6 457;6 148;6 322;6 036;5 673;6 579;6 913;8 614;8 914;9 358;9 658;8 737;10 068
Veszprém;megye;9 116;10 167;10 178;8 461;8 678;9 840;9 885;9 308;8 200;7 648;8 015;7 347;7 540;8 394;8 776;10 235;10 761;11 144;11 483;11 192;12 853
Közép-Dunántúl;régió;27 201;29 448;29 975;26 684;26 631;31 130;31 540;30 105;24 780;23 562;24 162;22 488;22 400;25 046;26 461;32 151;33 655;35 160;36 287;34 093;38 973
Gyõr-Moson-Sopron;megye;8 700;9 805;10 063;9 490;9 501;11 414;11 453;11 139;9 461;8 964;9 340;9 292;9 584;11 034;11 578;12 802;13 526;14 570;14 478;14 765;16 213
Vas;megye;5 115;5 455;5 853;5 311;5 556;6 003;5 692;5 674;4 928;4 756;4 920;4 848;4 914;5 705;5 589;6 733;6 735;7 288;7 210;7 136;7 800
Zala;megye;6 469;6 530;6 914;6 535;6 716;7 752;7 884;7 287;6 449;6 322;6 494;6 240;5 992;6 307;6 660;7 467;8 280;8 581;9 161;8 253;9 656
Nyugat-Dunántúl;régió;20 284;21 790;22 830;21 336;21 773;25 169;25 029;24 100;20 838;20 042;20 754;20 380;20 490;23 046;23 827;27 002;28 541;30 439;30 849;30 154;33 669
Baranya;megye;10 586;11 661;11 428;10 110;10 703;11 578;11 455;10 344;9 441;9 126;8 833;8 408;8 436;9 559;8 679;10 104;10 437;10 870;11 941;10 862;12 260
Somogy;megye;9 232;9 467;9 573;8 475;8 848;9 796;9 298;9 069;8 232;8 299;7 962;7 716;7 642;8 328;7 957;9 529;9 712;10 347;10 636;10 294;11 533
Tolna ;megye;5 971;6 248;6 305;5 428;5 573;5 878;5 724;5 497;4 956;4 801;4 662;4 535;4 392;4 922;4 818;5 578;5 632;5 974;5 893;5 680;6 324
Dél-Dunántúl;régió;25 789;27 376;27 306;24 013;25 124;27 252;26 477;24 910;22 629;22 226;21 457;20 659;20 470;22 809;21 454;25 211;25 781;27 191;28 470;26 836;30 117
Dunántúl;nagyrégió;73 274;78 614;80 111;72 033;73 528;83 551;83 046;79 115;68 247;65 830;66 373;63 527;63 360;70 901;71 742;84 364;87 977;92 790;95 606;91 083;102 759
Borsod-Abaúj-Zemplén;megye;15 613;16 512;17 800;15 675;16 571;17 967;17 421;16 541;14 614;13 937;13 659;12 766;12 501;14 251;13 450;15 847;16 763;17 240;19 899;17 293;18 981
Heves;megye;8 257;8 308;8 818;7 906;8 094;8 916;8 565;7 907;7 424;6 908;7 035;6 745;6 727;7 499;7 351;9 034;9 179;10 036;9 979;9 460;10 908
Nógrád ;megye;4 731;4 933;4 936;4 418;4 666;5 103;4 844;4 689;4 344;4 277;4 132;4 276;3 616;4 112;4 024;5 093;5 027;5 479;5 823;5 747;6 492
Észak-Magyarország;régió;28 601;29 753;31 554;27 999;29 331;31 986;30 830;29 137;26 382;25 122;24 826;23 787;22 844;25 862;24 825;29 974;30 969;32 755;35 701;32 500;36 381
Hajdú-Bihar;megye;10 052;10 903;10 845;9 876;10 087;11 033;11 140;10 525;9 333;8 701;8 791;8 231;8 361;9 288;9 478;10 855;11 000;11 732;12 200;11 439;13 153
Jász-Nagykun-Szolnok;megye;7 942;8 196;8 335;7 752;8 045;8 452;7 927;7 946;7 249;6 694;6 637;6 480;6 856;7 208;6 886;8 354;8 283;8 907;9 200;8 926;9 957
Szabolcs-Szatmár-Bereg;megye;12 609;13 416;12 987;12 356;12 723;14 484;13 164;12 581;11 461;11 557;11 141;10 407;10 754;11 992;11 680;13 566;13 778;14 439;14 892;13 960;15 820
Észak-Alföld;régió;30 603;32 515;32 167;29 984;30 855;33 969;32 231;31 052;28 043;26 952;26 569;25 118;25 971;28 488;28 044;32 775;33 061;35 078;36 292;34 325;38 930
Bács-Kiskun ;megye;11 210;11 519;11 903;10 518;11 148;12 246;11 676;11 000;9 586;8 908;9 208;9 039;9 277;9 640;9 817;11 277;11 779;12 608;12 521;12 288;14 507
Békés;megye;6 898;7 444;7 427;6 568;7 204;7 821;7 195;7 028;6 321;5 938;5 798;5 609;5 717;5 986;5 970;6 665;6 898;7 419;7 461;7 112;8 288
Csongrád-Csanád;megye;7 756;8 838;9 425;7 537;7 684;9 156;8 829;8 541;7 095;6 830;6 927;6 908;6 893;7 346;7 331;8 890;9 344;9 648;9 827;9 087;10 038
Dél-Alföld;régió;25 864;27 801;28 755;24 623;26 036;29 223;27 700;26 569;23 002;21 676;21 933;21 556;21 887;22 972;23 118;26 832;28 021;29 675;29 809;28 487;32 833
Alföld és Észak;nagyrégió;85 068;90 069;92 476;82 606;86 222;95 178;90 761;86 758;77 427;73 750;73 328;70 461;70 702;77 322;75 987;89 581;92 051;97 508;101 802;95 312;108 144
Ország összesen;ország;216 853;232 717;242 537;218 567;222 275;253 562;255 221;242 191;213 159;202 158;200 640;192 488;192 038;214 707;218 298;255 126;265 383;279 499;283 096;264 891;307 028
Állandó belföldi elvándorlások száma;;;;;;;;;;;;;;;;;;;;;;
Budapest;fõváros, régió;32 687;33 316;35 670;32 682;29 403;33 111;33 633;32 121;27 436;24 874;24 154;23 194;22 094;24 950;28 651;34 404;35 781;38 293;38 067;35 953;43 823
Pest ;megye, régió;25 086;26 416;28 420;26 258;25 850;31 242;33 538;32 287;28 759;28 159;27 974;27 891;27 303;30 505;31 998;37 775;39 439;41 889;41 303;38 218;46 106
Közép-Magyarország;nagyrégió;57 773;59 732;64 090;58 940;55 253;64 353;67 171;64 408;56 195;53 033;52 128;51 085;49 397;55 455;60 649;72 179;75 220;80 182;79 370;74 171;89 929
Fejér;megye;10 259;11 113;11 262;10 103;10 135;12 522;12 515;11 643;10 041;9 671;9 551;8 909;9 308;10 358;10 349;12 574;12 826;13 177;13 392;12 653;14 410
