22.1.2.14. Ideiglenes belföldi vándorlás megye és régió szerint;;;;;;;;;;;;;;;;;;;;;;
Területi egység neve;Területi egység szintje;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
Ideiglenes belföldi odavándorlások száma;;;;;;;;;;;;;;;;;;;;;;
Budapest;fõváros, régió;26 678;27 390;28 671;31 546;30 783;35 231;41 375;25 658;28 182;31 175;38 703;43 878;39 794;40 509;38 452;40 894;44 129;43 183;43 041;40 440;43 066
Pest ;megye, régió;21 522;22 041;23 198;24 156;24 973;29 305;32 004;19 683;21 347;22 612;33 651;37 064;33 874;36 096;36 233;40 061;41 871;40 517;40 299;40 817;42 140
Közép-Magyarország;nagyrégió;48 200;49 431;51 869;55 702;55 756;64 536;73 379;45 341;49 529;53 787;72 354;80 942;73 668;76 605;74 685;80 955;86 000;83 700;83 340;81 257;85 206
Fejér;megye;8 883;8 626;8 890;9 090;9 604;11 293;11 906;7 216;8 032;8 900;12 812;13 031;12 121;12 990;13 344;14 670;15 102;14 208;14 182;15 092;14 932
Komárom-Esztergom;megye;5 750;5 737;6 030;6 466;6 774;7 985;8 178;5 118;5 404;5 761;8 397;9 045;8 353;8 512;8 729;9 233;9 912;9 611;9 792;10 031;10 112
Veszprém;megye;8 782;9 101;9 466;9 570;10 411;11 156;11 714;7 232;7 326;7 863;11 847;13 016;11 601;12 036;12 403;13 537;14 135;13 703;13 607;15 387;13 862
Közép-Dunántúl;régió;23 415;23 464;24 386;25 126;26 789;30 434;31 798;19 566;20 762;22 524;33 056;35 092;32 075;33 538;34 476;37 440;39 149;37 522;37 581;40 510;38 906
Gyõr-Moson-Sopron;megye;9 166;9 437;9 126;9 643;9 818;10 876;12 498;8 314;8 144;8 809;13 337;15 347;13 809;14 764;14 949;15 929;16 463;16 806;17 083;17 163;16 933
Vas;megye;5 287;5 421;5 600;5 579;5 903;6 051;6 583;3 528;3 700;3 997;6 637;7 264;6 615;7 230;8 258;7 647;8 283;7 912;8 111;8 486;8 187
Zala;megye;4 932;5 437;5 685;5 973;6 242;6 793;7 502;4 093;4 449;5 402;7 945;8 340;7 358;8 511;9 833;8 362;8 623;8 118;7 990;8 393;8 506
Nyugat-Dunántúl;régió;19 385;20 295;20 411;21 195;21 963;23 720;26 583;15 935;16 293;18 208;27 919;30 951;27 782;30 505;33 040;31 938;33 369;32 836;33 184;34 042;33 626
Baranya;megye;7 633;7 515;7 909;8 265;9 050;10 086;11 132;7 132;6 769;7 083;10 517;11 406;10 959;11 416;10 905;11 702;11 651;11 586;11 643;11 594;11 837
Somogy;megye;6 924;7 158;7 677;7 558;8 282;8 884;9 948;5 532;6 447;6 534;10 003;10 798;9 869;10 341;10 182;11 552;11 154;10 764;11 082;13 297;11 418
Tolna ;megye;4 751;4 956;4 940;4 976;5 467;6 172;6 497;3 713;3 987;4 064;6 462;7 230;6 309;6 980;6 377;7 190;7 039;6 829;6 704;6 526;6 848
Dél-Dunántúl;régió;19 308;19 629;20 526;20 799;22 799;25 142;27 577;16 377;17 203;17 681;26 982;29 434;27 137;28 737;27 464;30 444;29 844;29 179;29 429;31 417;30 103
Dunántúl;nagyrégió;62 108;63 388;65 323;67 120;71 551;79 296;85 958;51 878;54 258;58 413;87 957;95 477;86 994;92 780;94 980;99 822;102 362;99 537;100 194;105 969;102 635
Borsod-Abaúj-Zemplén;megye;13 970;14 381;14 383;14 412;16 633;16 481;18 256;9 792;10 811;11 139;18 037;19 741;17 524;18 689;18 317;20 363;20 972;19 243;19 772;19 323;18 971
Heves;megye;6 761;6 819;7 536;7 545;8 148;8 981;9 412;5 478;5 525;5 908;9 242;10 210;9 285;9 715;9 675;10 451;10 875;10 584;10 504;10 338;10 431
Nógrád ;megye;3 735;3 960;4 149;4 095;4 594;4 806;5 167;2 779;3 039;3 419;5 432;6 136;5 228;5 329;5 792;6 541;6 195;6 249;6 103;6 472;6 079
Észak-Magyarország;régió;24 466;25 160;26 068;26 052;29 375;30 268;32 835;18 049;19 375;20 466;32 711;36 087;32 037;33 733;33 784;37 355;38 042;36 076;36 379;36 133;35 481
Hajdú-Bihar;megye;9 929;9 577;9 680;9 964;10 529;11 808;13 013;7 849;8 877;8 952;12 466;13 399;13 033;13 809;14 013;14 964;15 026;14 725;14 796;14 865;15 033
