22.1.3.1. Terület, népesség, 2020;;;;;
Ország;"Terület, 
ezer km2";Évközepi népesség, millió fõ;Népsûrûség, fõ/km2;Fõváros;A fõváros népessége, ezer fõ
Ausztria;83,9;8,92;106;Bécs;1 915
Belgium;30,5;11,54;378;Brüsszel;2 065
Bulgária;110,4;6,93;63;Szófia;1 277
Ciprus;9,3;0,89;96;Nicosia;35
Csehország;78,9;10,70;136;Prága;1 299
Dánia;42,9;5,83;136;Koppenhága;1 334
Észtország;45,3;1,33;29;Tallinn;441
Finnország;336,9;5,53;16;Helsinki;1 292
Franciaország;551,5;67,38;118;Párizs;10 958
Görögország;132,0;10,70;81;Athén;3 154
Hollandia;41,5;17,44;419;Amszterdam;1 140
Horvátország;56,6;4,05;72;Zágráb;685
Írország;69,8;4,99;71;Dublin;1 215
Lengyelország;312,7;37,90;121;Varsó;1 776
Lettország;64,6;1,90;30;Riga;634
Litvánia;65,3;2,79;43;Vilnius;538
Luxemburg;2,6;0,63;243;Luxembourg;120
Magyarország;93,0;9,75;105;Budapest;1 764
Málta;0,3;0,52;1 632;Valletta;213
Németország;357,6;83,16;233;Berlin;3 557
Olaszország;302,1;59,45;197;Róma;4 234
Portugália;92,2;10,30;112;Lisszabon;2 942
Románia;238,4;19,26;81;Bukarest;1 812
Spanyolország;506,0;47,36;94;Madrid;6 559
Svédország;438,6;10,35;24;Stockholm;1 608
Szlovákia;49,0;5,46;111;Pozsony;433
Szlovénia;20,3;2,10;103;Ljubljana;287
Egyesült Királyság;242,5;67,22;277;London;9 177
Izland;103,0;0,37;4;Reykjavík;216
Észak-Macedónia;25,7;2,07;81;Szkopje;590
Montenegró;13,8;0,62;45;Podgorica;177
Norvégia;323,8;5,38;17;Osló;1 027
Oroszország;17 098,2;144,10;8;Moszkva;12 476
Svájc;41,3;8,64;209;Bern;426
Szerbia;88,4;6,90;78;Belgrád;1 394
Törökország;783,6;83,38;106;Ankara;5 018
India;3 287,3;1 380,00;412;Új-Delhi;29 399
Izrael;22,1;9,22;418;Jeruzsálem;919
Japán;377,9;125,84;333;Tokió;37 435
Kína;9 600,0;1 402,11;146;Peking;20 036
Koreai Köztársaság;100,4;51,78;516;Szöul;9 962
Dél-afrikai Köztársaság;1 221,0;59,31;49;Pretoria;2 473
Egyiptom;1 002,0;102,33;100;Kairó;20 485
Brazília;8 515,8;212,56;25;Brasilia;4 559
Egyesült Államok;9 833,5;329,48;34;Washington, D.C.;5 265
Kanada;9 984,7;38,01;4;Ottawa;1 378
Mexikó;1 964,4;128,93;65;Mexikóváros;21 672
Ausztrália;7 692,0;25,69;3;Canberra;453
Új-Zéland;268,1;5,08;19;Wellington;413
