22.1.3.2. A népesség korcsoportok szerint, 2020 [százalék];;;;
Ország, országcsoport;0–14 éves;15–64 éves;65 éves és idõsebb;Öregedési index
Ausztria;14,4;66,6;19,0;132,0
Belgium;16,9;64,0;19,1;113,5
Bulgária;14,4;63,9;21,6;150,1
Ciprus;16,0;67,6;16,3;101,8
Csehország;16,0;64,1;19,9;124,6
Dánia;16,4;63,8;19,9;121,3
Észtország;16,5;63,5;20,0;121,8
Finnország;15,8;62,0;22,3;141,4
Franciaország;17,9;61,7;20,4;114,1
Görögország;14,3;63,5;22,3;156,2
Hollandia;15,7;64,9;19,5;124,4
Horvátország;14,3;64,6;21,0;146,8
Írország;20,3;65,3;14,4;71,2
Lengyelország;15,4;66,3;18,2;118,0
Lettország;16,0;63,5;20,5;128,3
Litvánia;15,1;65,0;19,9;131,5
Luxemburg;16,0;69,5;14,5;90,7
Magyarország;14,5;65,6;19,9;136,6
Málta;13,4;68,1;18,5;137,4
Németország;13,7;64,6;21,8;158,8
Olaszország;13,0;63,8;23,2;179,3
Portugália;13,6;64,3;22,1;163,2
Románia;15,7;65,4;18,9;120,8
Spanyolország;14,5;65,9;19,6;134,8
Svédország;17,8;62,2;20,0;112,6
Szlovákia;15,8;67,6;16,6;104,8
Szlovénia;15,1;64,7;20,2;134,3
EU27_2020;15,1;64,3;20,6;136,0
Egyesült Királyság;17,7;63,7;18,7;105,5
Észak-Macedónia;16,2;69,3;14,5;89,3
Montenegró;17,9;66,5;15,6;87,0
Norvégia;17,3;65,1;17,5;101,3
Oroszország;18,4;66,1;15,5;84,5
Svájc;15,0;66,3;18,7;124,0
Szerbia;14,3;64,8;21,0;146,8
Törökország;23,1;67,8;9,1;39,3
India;26,2;67,3;6,6;25,1
Izrael;27,8;59,8;12,4;44,6
Japán;12,4;59,2;28,4;228,1
Kína;17,7;70,3;12,0;67,6
Koreai Köztársaság;12,5;71,7;15,8;125,9
Dél-afrikai Köztársaság;28,8;65,7;5,5;19,1
Egyiptom;33,9;60,7;5,3;15,7
Brazília;20,7;69,7;9,6;46,3
Egyesült Államok;18,4;65,0;16,6;90,5
Kanada;15,8;66,1;18,1;114,8
Mexikó;25,8;66,5;7,6;29,5
Ausztrália;19,3;64,5;16,2;84,0
Új-Zéland;19,4;64,2;16,4;84,2
