22.1.3.3. Évközepi népesség száma [millió fõ];;;;;;;;;;;;;;;;;;;;;
Ország, országcsoport;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020
Ausztria;8,01;8,04;8,08;8,12;8,17;8,23;8,27;8,30;8,32;8,34;8,36;8,39;8,43;8,48;8,55;8,64;8,74;8,80;8,84;8,88;8,92
Belgium;10,25;10,29;10,33;10,38;10,42;10,48;10,55;10,63;10,71;10,80;10,90;11,04;11,11;11,16;11,21;11,27;11,33;11,38;11,43;11,49;11,54
Bulgária;8,17;8,01;7,84;7,78;7,72;7,66;7,60;7,55;7,49;7,44;7,40;7,35;7,31;7,27;7,22;7,18;7,13;7,08;7,03;6,98;6,93
Ciprus;0,69;0,70;0,71;0,72;0,73;0,74;0,75;0,77;0,79;0,81;0,83;0,85;0,86;0,86;0,85;0,85;0,85;0,86;0,87;0,88;0,89
Csehország;10,26;10,22;10,20;10,19;10,20;10,21;10,24;10,30;10,38;10,44;10,47;10,50;10,51;10,51;10,53;10,55;10,57;10,59;10,63;10,67;10,70
Dánia;5,34;5,36;5,38;5,39;5,40;5,42;5,44;5,46;5,49;5,52;5,55;5,57;5,59;5,61;5,64;5,68;5,73;5,76;5,79;5,81;5,83
Észtország;1,40;1,39;1,38;1,37;1,36;1,35;1,35;1,34;1,34;1,33;1,33;1,33;1,32;1,32;1,31;1,32;1,32;1,32;1,32;1,33;1,33
Finnország;5,18;5,19;5,20;5,21;5,23;5,25;5,27;5,29;5,31;5,34;5,36;5,39;5,41;5,44;5,46;5,48;5,50;5,51;5,52;5,52;5,53
Franciaország;60,76;61,20;61,64;62,08;62,53;63,00;63,44;63,83;64,18;64,50;64,82;65,13;65,44;65,77;66,31;66,55;66,72;66,92;67,10;67,25;67,38
Görögország;10,81;10,86;10,90;10,93;10,96;10,99;11,02;11,05;11,08;11,11;11,12;11,10;11,05;10,97;10,89;10,82;10,78;10,75;10,73;10,72;10,70
Hollandia;15,93;16,05;16,15;16,23;16,28;16,32;16,35;16,38;16,45;16,53;16,62;16,69;16,75;16,80;16,87;16,94;17,03;17,13;17,23;17,34;17,44
