22.1.3.8. Standardizált halálozási arányszám fõbb halálokok szerint, 2019 [százezer lakosra];;;;
Ország, országcsoport;Daganatos megbetegedések;Emésztõrendszer betegségei;Keringési rendszer betegségei;Öngyilkosság
Ausztria;238,3;33,7;362,9;12,3
Belgium;239,9;41,3;228,5;15,2
Bulgária;243,8;55,6;1 051,8;8,0
Ciprus;206,5;35,7;271,2;4,4
Csehország;279,2;49,2;529,5;11,2
Dánia;288,6;40,4;215,4;10,6
Észtország;288,2;47,8;570,3;14,9
Finnország;220,7;40,3;310,9;13,5
Franciaország;249,2;33,8;190,4;12,8
Görögország;245,8;27,3;327,6;4,6
Hollandia;278,0;28,9;238,9;10,5
Horvátország;317,1;52,0;572,8;14,0
Írország;269,7;31,7;258,4;8,2
Lengyelország;308,0;48,9;492,5;12,0
Lettország;300,9;51,0;770,6;15,0
Litvánia;278,2;65,5;731,7;22,9
Luxemburg;226,1;38,8;237,4;11,5
Magyarország;334,4;65,2;714,8;15,7
Málta;206,6;27,9;298,9;4,0
Németország;252,3;44,0;349,8;10,2
Olaszország;243,5;30,3;270,7;5,6
Portugália;250,1;41,7;278,8;8,8
Románia;266,1;81,9;830,0;9,0
Spanyolország;226,2;41,7;214,5;7,4
Svédország;226,5;28,5;272,0;12,8
Szlovákia;297,1;65,2;567,8;7,0
Szlovénia;293,4;42,4;393,6;18,2
EU27_2020;262,4;42,1;367,6;10,5
Egyesült Királyság;270,5;46,5;236,8;8,3
Norvégia;234,3;27,6;208,4;12,4
Oroszország;208,4;68,2;633,8;11,7
Svájc;209,7;30,7;232,9;11,8
Szerbia;299,8;45,5;816,3;13,3
Törökország;172,8;22,5;358,9;4,4
Izrael;189,2;24,0;157,8;6,2
Japán;182,4;24,1;147,4;14,6
Koreai Köztársaság;168,3;24,2;136,5;25,4
Egyesült Államok;187,2;37,8;279,2;14,1
Kanada;204,7;31,1;178,4;10,5
Mexikó;134,9;96,4;427,5;6,3
Ausztrália;193,2;25,7;158,6;12,4
