22.1.3.9. Születéskor várható átlagos élettartam – összesen [év];;;;;;;;;;;;;;;;;;;;;;
Ország, országcsoport;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
Ausztria;78,3;78,8;78,9;78,8;79,3;79,5;80,1;80,3;80,6;80,5;80,7;81,1;81,1;81,3;81,6;81,3;81,8;81,7;81,8;82,0;81,3;81,3
Belgium;77,9;78,1;78,2;78,3;79,0;79,1;79,5;79,9;79,8;80,2;80,3;80,7;80,5;80,7;81,4;81,1;81,5;81,6;81,7;82,1;80,8;81,9
Bulgária;71,6;71,9;72,1;72,3;72,5;72,5;72,7;73,0;73,3;73,7;73,8;74,2;74,4;74,9;74,5;74,7;74,9;74,8;75,0;75,1;73,6;71,4
Ciprus;77,7;79,0;78,7;79,0;79,1;78,7;80,1;79,8;80,6;81,0;81,5;81,2;81,1;82,5;82,3;81,8;82,7;82,2;82,9;82,3;82,4;81,8
Csehország;75,1;75,3;75,4;75,3;75,9;76,1;76,7;77,0;77,3;77,4;77,7;78,0;78,1;78,3;78,9;78,7;79,1;79,1;79,1;79,3;78,3;77,4
Dánia;76,9;77,0;77,1;77,4;77,8;78,3;78,4;78,4;78,8;79,0;79,3;79,9;80,2;80,4;80,7;80,8;80,9;81,1;81,0;81,5;81,6;81,4
Észtország;71,1;70,9;71,4;71,9;72,4;73,0;73,2;73,2;74,4;75,3;76,0;76,6;76,7;77,5;77,4;78,0;78,0;78,4;78,5;79,0;78,9;76,9
Finnország;77,8;78,2;78,3;78,6;79,0;79,1;79,5;79,6;79,9;80,1;80,2;80,6;80,7;81,1;81,3;81,6;81,5;81,7;81,8;82,1;82,0;82,0
Franciaország;79,2;79,3;79,4;79,3;80,3;80,3;80,9;81,3;81,4;81,5;81,8;82,3;82,1;82,4;82,9;82,4;82,7;82,7;82,8;83,0;82,3;82,5
Görögország;78,6;79,1;79,2;79,3;79,4;79,6;79,9;79,7;80,2;80,4;80,6;80,8;80,7;81,4;81,5;81,1;81,5;81,4;81,9;81,7;81,4;80,3
Hollandia;78,2;78,4;78,5;78,7;79,3;79,6;80,0;80,4;80,5;80,9;81,0;81,3;81,2;81,4;81,8;81,6;81,7;81,8;81,9;82,2;81,4;81,5
Horvátország;..;74,6;74,7;74,6;75,4;75,3;75,9;75,8;76,0;76,3;76,7;77,2;77,3;77,8;77,9;77,5;78,2;78,0;78,2;78,6;77,8;76,8
Írország;76,6;77,2;77,7;78,2;78,6;79,0;79,3;79,7;80,2;80,2;80,8;80,9;80,9;81,0;81,4;81,5;81,7;82,2;82,2;82,8;82,6;..
Lengyelország;73,8;74,2;74,5;74,7;74,9;75,0;75,3;75,4;75,6;75,9;76,4;76,8;76,9;77,1;77,8;77,5;78,0;77,8;77,7;78,0;76,5;75,6
Lettország;..;..;70,2;70,6;70,9;70,6;70,6;70,8;72,1;72,8;73,1;73,9;74,1;74,3;74,5;74,8;74,9;74,9;75,1;75,7;75,5;73,4
Litvánia;72,1;71,6;71,8;72,0;72,0;71,2;71,0;70,7;71,7;72,9;73,3;73,7;74,1;74,1;74,7;74,6;74,9;75,8;76,0;76,5;75,1;74,5
Luxemburg;78,0;78,0;78,1;77,9;79,2;79,6;79,4;79,5;80,7;80,8;80,8;81,1;81,5;81,9;82,3;82,4;82,7;82,1;82,3;82,7;82,2;82,8
Magyarország;71,9;72,5;72,6;72,6;73,0;73,0;73,5;73,6;74,2;74,4;74,7;75,1;75,3;75,8;76,0;75,7;76,2;76,0;76,2;76,5;75,7;74,5
Málta;78,5;78,9;78,8;78,7;79,4;79,4;79,5;79,9;79,7;80,4;81,5;80,9;80,9;81,9;82,1;82,0;82,6;82,4;82,5;82,9;82,3;82,9
Németország;78,3;78,6;78,6;78,6;79,3;79,4;79,9;80,1;80,2;80,3;80,5;80,6;80,7;80,6;81,2;80,7;81,0;81,1;81,0;81,3;81,1;80,9
